,feat_name,feat_imp
0,var_max,0.2389200999365513
1,var_sigma,0.17894346968412797
2,var_mean,0.13429030124464605
3,var_index,0.060058653108373355
4,var_min,0.049547973064777866
5,hard_hm_hilim,0.029324883463437968
6,hard_hm,0.020838795011069736
7,hard_hs_hilim,0.018624570714856424
8,hard_hs,0.01584860966485552
9,photflux_aper_lolim_b,0.01315563122548254
10,photflux_aper_lolim,0.012312978662783282
11,hard_ms_lolim,0.012130254949080908
12,photflux_aper_hilim_b,0.011592870936032286
13,hard_hm_lolim,0.010008900352927688
14,hard_hs_lolim,0.009991835630769053
15,photflux_aper_s,0.009136844443223357
16,photflux_aper_b,0.008505452852219438
17,hard_ms,0.00830491660511237
18,var_prob,0.008292082059727169
19,photflux_aper_lolim_s,0.007938787275222615
20,photflux_aper_hilim_s,0.007631760578294504
21,photflux_aper,0.007289363013219997
22,photflux_aper_hilim,0.006572797553241936
23,photflux_aper_lolim_m,0.006492494099183732
24,flux_aper_lolim_m,0.00634420595641244
25,flux_aper_u,0.005756069782911757
26,flux_aper_s,0.005707936791118993
27,flux_aper_lolim_h,0.005195702032767448
28,photflux_aper_u,0.004728530766603839
29,flux_aper_lolim_s,0.004708458852690374
30,flux_aper_hilim_b,0.004625772281966918
31,flux_aper_m,0.004624173160702287
32,flux_aper_hilim_s,0.004522798608534518
33,photflux_aper_hilim_m,0.004461702982931454
34,flux_aper_lolim_b,0.004446029662702033
35,flux_aper_hilim_m,0.004425956178210121
36,photflux_aper_m,0.004091128175095708
37,photflux_aper_lolim_u,0.0040203356000287375
38,hard_ms_hilim,0.003966036120282975
39,photflux_aper_h,0.003859009182745869
40,flux_aper_lolim_u,0.0037248792542511145
41,flux_aper_b,0.003615392775067995
42,flux_aper_hilim_h,0.003467072159962503
43,photflux_aper_hilim_u,0.003316658328687735
44,flux_aper_lolim,0.0032809766585621906
45,photflux_aper_hilim_h,0.0031990974190563987
46,kp_prob,0.003101133357320534
47,flux_aper_h,0.003016647133627094
48,photflux_aper_lolim_h,0.0026740549409634703
49,flux_aper,0.002511120659857272
50,flux_aper_hilim,0.002419524774066929
51,flux_aper_hilim_u,0.002354534597208383
52,ks_prob,0.00208073567644589
