,feat_name,feat_imp
0,var_mean,0.2353125320800255
1,var_max,0.23323839534154292
2,var_sigma,0.1913302283475625
3,var_index,0.06521276826201741
4,hard_hs_hilim,0.032267616122087284
5,hard_hs,0.025201735283662752
6,var_min,0.023959207234448793
7,var_prob,0.016095426219401295
8,hard_hs_lolim,0.01120985064114688
9,hard_hm,0.010592880328758674
10,hard_hm_hilim,0.009809195762085825
11,photflux_aper_lolim_h,0.008976595526410903
12,flux_aper_hilim_h,0.0072441011287076255
13,flux_aper_lolim_h,0.007082196060348802
14,hard_hm_lolim,0.0062962410680123095
15,hard_ms_hilim,0.00625331874444005
16,hard_ms_lolim,0.0062031931964510135
17,photflux_aper_hilim,0.005909875307734087
18,photflux_aper_lolim_u,0.005553355337061483
19,hard_ms,0.004523908386778782
20,flux_aper_hilim_b,0.004362757072127169
21,photflux_aper_hilim_s,0.004151565937688564
22,photflux_aper_h,0.004007817282182573
23,flux_aper_hilim,0.0039364582372261704
24,photflux_aper_lolim,0.0038768191161190468
25,photflux_aper_hilim_h,0.003831172406361032
26,flux_aper_h,0.0035322245096056732
27,photflux_aper,0.0033185026121301353
28,photflux_aper_lolim_b,0.003232983137109051
29,photflux_aper_hilim_u,0.0031472541895614242
30,flux_aper_s,0.0030932500486822727
31,photflux_aper_hilim_b,0.002958133279242113
32,photflux_aper_u,0.0029416344511602305
33,photflux_aper_s,0.0028955323742421756
34,photflux_aper_lolim_s,0.00287628935471854
35,flux_aper_lolim_m,0.0025645715317365154
36,flux_aper_hilim_u,0.0024368457228843027
37,photflux_aper_b,0.0023808439954270096
38,flux_aper_hilim_s,0.0023706882818133376
39,flux_aper_lolim_b,0.002320522589790661
40,flux_aper_u,0.00219715678121547
41,photflux_aper_lolim_m,0.002195464398130503
42,flux_aper_lolim_s,0.0021806725428979213
43,kp_prob,0.002176352082540407
44,flux_aper_lolim_u,0.0021621089955554044
45,flux_aper_m,0.0020229246939465653
46,photflux_aper_m,0.0017734341398684627
47,flux_aper_lolim,0.0017588402926621153
48,photflux_aper_hilim_m,0.0016683552438095297
49,flux_aper,0.0016170271709081024
50,flux_aper_hilim_m,0.0014852503667783352
51,flux_aper_b,0.0014516118289782665
52,ks_prob,0.000802314954216038
