#index,ra,dec,
749,13:43:59.2,+66:34:25.0,
750,13:44:53.0,-58:55:24.7,
751,13:44:39.6,-60:59:31,
752,13:45:44.4,-61:15:30.6,
753,13:46:22.3,-49:18:07.2,
754,13:47:19.3,-59:47:39.8,
755,13:48:42.4,-63:07:04,
756,13:49:36.6,-61:30:17.1,
757,13:49:18,-63:56,
758,13:50:16.1,-51:15:24.5,
759,13:50:44.4,-62:25:43.8,
760,13:52:34.4,-68:03:37.1,
761,13:54:35,-62:49:30,
762,13:55:58.6,-51:53:53.9,
763,13:55:36.9,-57:47:15,
764,13:55:59.1,-59:25:00.9,
765,13:55:21.3,-62:06:20.1,
766,13:56:50.5,-55:21:12.9,
767,13:57:25,-62:28,
768,13:57:02.4,-64:29:30.2,
769,13:58:42,-25:33,
770,13:59:58.2,-60:38:07.5,
771,14:00:37.0,-14:31:47.0,
772,14:00:18,+21:27,
773,14:00:45.6,-63:25:42.6,
774,14:01:52.4,-63:57:42.0,
775,14:02:56.0,-50:21:43,
776,14:03:41,-03:15:28,
777,14:03:14.0,-63:10:27,
778,14:03:04.1,-76:46:57.5,
779,14:04:36.9,+11:59:16.0,
780,14:05:21.4,-46:56:02.3,
781,14:05:12.4,-56:41:24.2,
782,14:05:48,-42:33,
783,14:06:01.2,-58:06:32,
784,14:06:50.0,-61:21:27.9,
785,14:07:58.6,-60:48:58.8,
786,14:07:56.5,-61:53:59,
787,14:09:16.9,-69:53:34.4,
788,14:10:24,-61:32,
789,14:10:07.3,-74:04:53.3,
790,14:11:18.8,+25:51:08.3,
791,14:12:59.6,-61:11:30.5,
792,14:12:07.6,-61:45:28.4,
793,14:12:55.8,+79:22:03.8,
794,14:13:09.8,-61:41:13,
795,14:13:29.9,-62:05:38,
796,14:13:05.4,-62:22:27.8,
797,14:13:31.3,-63:07:35.4,
798,14:14:25.7,-68:02:58,
799,14:15:31.2,-66:21:12.2,
800,14:16:44.6,-50:33:17,
801,14:16:30.5,-60:37:59.5,
802,14:17:30.6,-44:02:57.4,
803,14:18:50.2,-39:21:18.5,
804,14:18:32.3,-59:45:00,
805,14:18:42.7,-60:57:49,
806,14:20:29.1,-54:16:22.7,
807,14:20:03.0,-56:25:55.0,
808,14:20:08.2,-60:48:16.4,
809,14:21:20.9,-44:09:04.5,
810,14:22:27.0,-61:38:28,
811,14:23:26.7,-69:53:42.8,
812,14:24:12.7,-55:56:13.9,
813,14:24:23,-56:40:47,
814,14:24:32.1,-58:22:55.7,
815,14:24:59.2,-64:38:10.0,
816,14:25:36.5,-57:23:30.8,
817,14:25:59.1,-57:59:10.2,
818,14:25:07.7,-62:10:04.9,
819,14:27:00,+52:10,
820,14:27:50.7,-41:58:56.3,
821,14:28:26.2,-55:30:50.0,
822,14:29:58.6,-59:11:36.6,
823,14:29:25.9,-59:35:58.9,
824,14:30:16.1,-57:12:31.4,
825,14:30:40.7,-66:23:05.5,
826,14:31:44.6,-47:15:27.5,
827,14:31:03.4,-57:40:11.6,
828,14:13:21.2,-63:28:08.6,
829,14:32:52.2,-50:32:17.3,
830,14:33:30,+00:28,
831,14:33:13.1,-60:38:34.7,
832,14:34:58.3,-59:43:41.6,
833,14:34:05.3,-60:06:29.0,
834,14:34:39.1,-60:29:49,
835,14:33:59.7,+72:57:26.5,
836,14:35:00.2,-59:54:49.5,
837,14:35:20.2,-61:00:57.9,
838,14:37:01.9,-59:59:01.4,
839,14:37:15.3,-61:46:02.0,
840,14:39:39.7,-55:01:23.6,
841,14:39,+76:55,
842,14:40:31.2,-63:44:48.4,
843,14:41:44.3,-61:37:24,
844,14:43:26.9,-51:22:26,
845,14:44:46.5,-59:41:19,
846,14:44:06.0,-60:26:09.4,
847,14:46:35.7,-47:01:26.7,
848,14:49:25.4,-58:46:40.4,
849,14:52:52.6,-58:51:13.2,
850,14:52:51.8,-60:36:31.3,
851,14:53:45.7,+19:02:12.1,
852,14:53:32.6,-64:13:16.0,
853,14:54:10.9,-58:46:34.7,
854,14:55:47.9,-33:30:46.3,
855,14:55:06,-59:23,
856,14:56,-48:00,
857,14:55:59.9,-68:43:39.5,
858,14:57:40.0,-51:22:54.9,
859,14:57:39.0,-59:00:51,
860,14:57:31.9,-59:02:04,
861,14:59:29.9,-60:53:20.7,
862,15:01:44.9,-00:46:23.5,
863,15:01:51.0,-56:37:48,
864,15:02:09,+28:13,
865,15:02:57.3,-56:53:39.2,
866,15:02:43.8,-58:28:42,
867,15:02:29.8,-61:28:50.3,
868,15:02:18.6,-67:52:16.7,
869,15:03:54.6,+21:11:09.3,
870,15:04:49.1,-56:21:32,
871,15:04:31.9,-56:59:19.4,
872,15:06:39.5,-51:58:10,
873,15:07:34.1,-43:52:04.0,
874,15:07:03.5,-58:00:56.2,
875,15:07:48.6,-66:40:57.8,
876,15:09:25.6,+55:31:32.3,
877,15:09:27.1,-58:50:56.0,
878,15:09:07.5,-60:15:18.6,
879,15:10:48.9,-44:22:07,
880,15:11:51.2,-54:14:40.3,
881,15:11:07.0,-58:35:28,
882,15:12:05.7,-54:31:19,
883,15:12:43.0,-57:59:59.8,
884,15:13:23.3,-25:50:31.2,
885,15:13:58.9,-57:39:01.4,
886,15:13:55.8,-59:08:09.6,
887,15:13:44.7,-59:46:31.9,
888,15:13:54.0,-60:13:26.5,
889,15:14:14.5,-48:34:19.9,
890,15:14:19.1,-49:46:15.5,
891,15:14:40.1,-53:16:02.3,
892,15:14:59.1,-59:25:43.5,
893,15:15:09.2,-57:20:50.1,
894,15:16:32.3,-43:20:00,
895,15:17:01,-32:26:05,
896,15:17:27.3,-43:56:17.9,
897,15:17:29.3,-46:36:00.6,
898,15:18:33.3,+02:05:27.5,
899,15:18:31.4,+02:05:15.4,
900,15:18:32.7,+02:04:47.8,
901,15:18:34,+02:04:58,
902,15:18:34,+02:04:58,
903,15:18:59.1,-06:27:07.7,
904,15:18:56.9,-39:52:30.3,
905,15:18:16.7,+49:04:34.2,
906,15:18:13.5,-54:15:45.0,
907,15:19:47.5,-57:34:13.6,
908,15:19:35.8,-61:06:54.6,
909,15:19:09.5,-63:08:19.5,
910,15:22:06.7,-55:25:17.5,
911,15:22:05.3,-57:35:00,
912,15:22:42.2,-58:29:02.8,
913,15:24:49.8,-56:25:23.4,
914,15:24:21.4,-57:06:34.6,
915,15:24:24.6,-58:19:14.1,
916,15:25:28.3,-54:17:20,
917,15:25:36.0,-55:23:27.2,
918,15:25:28.1,-55:45:49.8,
919,15:25:41.4,-56:05:13,
920,15:26:41.2,-56:33:43,
921,15:27:58.8,-39:31:34.2,
922,15:27:40.7,-55:52:08.3,
923,15:28:34.9,-31:46:06.8,
924,15:28:08.0,-41:09:28.8,
925,15:28:39.1,-55:47:23,
926,15:28:24.3,-58:38:01,
927,15:29:15.1,-38:28:45.8,
928,15:29:12,+40:49,
929,15:29:57.6,-53:55:36,
930,15:29:35.8,-56:11:29,
931,15:30:26.8,-53:27:56.0,
932,15:30:47.6,-63:43:13.6,
933,15:31:08.0,-40:12:30.9,
934,15:31:27.9,-56:10:55.3,
935,15:32:10.3,+27:45:49.6,
936,15:32:35.5,-53:08:06,
937,15:32:18,-56:32,
938,15:34:52.0,-44:28:09.4,
939,15:34:08,-46:14,
940,15:34:08.2,-53:34:19.6,
941,15:34:33.5,-54:05:39.7,
942,15:35:17.0,-41:14:03.1,
943,15:35:55.9,-44:15:08.4,
944,15:35:58.2,-54:50:26,
945,15:35:16.7,-58:48:27.7,
946,15:36:15,+17:49,
947,15:36:17.3,-36:02:58.8,
948,15:36,-49:48,
949,15:36:04.8,-54:33:15,
950,15:36:17.7,-59:07:03.6,
951,15:37:09.9,+11:55:55.4,
952,15:37:28.2,-49:12:03,
953,15:37:15.7,-51:53:06,
954,15:37:37.6,-53:12:25.0,
955,15:37:51.0,-56:45:04,
956,15:38:06.0,+23:45:04.0,
957,15:38:48.9,-54:38:17,
958,15:38:40.8,-55:19:46,
959,15:38:45.0,-55:51:36.9,
960,15:38:43.2,-56:21:55.5,
961,15:38:05.7,-56:38:12,
962,15:38:18.1,-57:32:29.3,
963,15:38:08.4,-57:50:17.1,
964,15:39:40.8,-48:28:57,
965,15:39:07.9,-55:21:11.2,
966,15:39:14.0,-56:26:26.3,
967,15:39:24.7,-63:22:53.2,
968,15:40:59.0,-57:36:57,
969,15:41:55,-42:18:50,
970,15:41:49.6,-55:35:01,
971,15:42:45.3,-50:34:03.6,
972,15:42:19.9,-51:33:35,
973,15:42:54.5,-53:03:41,
974,15:43:30.1,-06:20:45.3,
975,15:43:38.8,+09:29:16.3,
976,15:43:58.2,-50:13:58,
977,15:43:44.1,-51:49:54.6,
978,15:43:56.4,-54:59:15.0,
979,15:44:04.4,+49:37:55.2,
980,15:44:59.8,-53:08:46.9,
981,15:45:55.9,-45:50:37.5,
982,15:46:03.4,-37:47:10.1,
983,15:46:07.4,-53:02:23.0,
984,15:46,-59:00,
985,15:47:46.0,-09:44:07.8,
986,15:47:24.1,-57:09:17.5,
987,15:47:30.6,-57:50:29.4,
988,15:47:34.9,-58:39:09.8,
989,15:48:23.2,-48:21:49.7,
990,15:48:19.4,-49:27:40.4,
991,15:48:44.0,-56:07:34.3,
992,15:49:40.9,+21:13:26.9,
993,15:49:21.0,-48:48:35.5,
994,15:49:05,-57:21:37,
995,15:49:47.9,-57:22:02,
996,15:50:02.9,-52:42:07.0,
997,15:50:04.8,-53:17:21,
998,15:50:54.1,-54:18:24.1,
999,15:51:07.2,-06:58:06.5,
1000,15:51:48.0,-44:24:42,
1001,15:51:41.0,-53:11:00.5,
1002,15:51:36.7,-62:14:23.3,
1003,15:52:13.2,-49:37:49.7,
1004,15:52:53.3,+54:37:05.7,
1005,15:53:59.6,-54:56:06.2,
1006,15:54:17,+18:04,
1007,15:54:27.1,-52:09:38.3,
1008,15:54:40.5,-55:12:33,
1009,15:55:58,+01:08,
1010,15:55:40.0,-05:15:57.4,
1011,15:55:33.1,-23:41:09.9,
1012,15:55:17.9,-31:34:20.1,
1013,15:56:51.5,-53:58:55,
1014,15:57:00.2,-42:58:12.6,
1015,15:57:29.3,-51:51:08.4,
1016,15:58:41.4,-54:19:26,
1017,15:58:30.5,-57:56:26.1,
1018,15:58:21,-67:35:59,
1019,15:59,-44:00,
1020,15:59:41.5,-44:38:45.9,
1021,15:59:20.7,-55:45:47,
1022,16:00:51.9,-30:53:49.3,
1023,16:00:53.0,-50:44:21.3,
1024,16:00:19.9,-57:51:15.3,
1025,16:00:35.0,-59:16:59,
1026,16:01:24,-50:23,
1027,16:01:27.3,-52:44:09,
1028,16:01:54.8,-53:35:44.1,
1029,16:02:18.2,-49:57:32,
1030,16:02:18.7,-51:00:06.1,
1031,16:03:34,+18:51,
1032,16:03:04.8,-25:31:47.9,
1033,16:03:08.0,-27:13:27.6,
1034,16:03:53.6,-35:39:57.1,
1035,16:03:50.8,-53:12:58.0,
1036,16:03:31.4,-56:57:44.1,
1037,16:03:35.6,-72:02:32.7,
1038,16:04:24,-31:39,
1039,16:04:32,-44:43,
1040,16:04:29.4,-47:18:47.9,
1041,16:04:22.9,-49:09:57.9,
1042,16:04:29.1,-72:03:30.4,
1043,16:05:18.5,+32:49:18.0,
1044,16:05:19.0,-52:15:48,
1045,16:05:16.2,-52:57:34.8,
1046,16:07:12.0,-00:32:41.5,
1047,16:07:49.3,-51:40:16,
1048,16:07:48.7,-64:49:43.0,
1049,16:09:05.3,-19:30:08,
1050,16:09:41.1,-46:16:22.5,
1051,16:09:26.7,-51:58:18,
1052,16:10:42.7,-13:22:22,
1053,16:10:11,-17:50,
1054,16:10:44.3,-50:06:42.2,
1055,16:10:12.8,-53:03:49,
1056,16:11,-01:28,
1057,16:11:02.7,-48:11:39,
1058,16:11:46.6,-49:49:57.2,
1059,16:11:03.3,-52:09:22.1,
1060,16:11:51.3,-58:47:42.3,
1061,16:12:23.4,+20:08:18.3,
1062,16:12:26.0,-24:08:04,
1063,16:12:54,-49:27,
1064,16:12:28.0,-50:22:57.3,
1065,16:12:00.6,-51:36:54,
1066,16:12:06,-55:09,
1067,16:12:27.8,-58:05:29.2,
1068,16:13:29.0,-47:14:26.4,
1069,16:13:42.4,-52:11:21.0,
1070,16:13:57.4,-52:34:17,
1071,16:14:40.9,+07:37:31.0,
1072,16:14:36.5,-22:30:31.2,
1073,16:14,-23:15,
1074,16:14:42.5,-38:46:35,
1075,16:14:31.2,-39:37:28.8,
1076,16:14:11.2,-50:48:03.5,
1077,16:14:45.7,-51:44:49,
1078,16:14:50.3,-54:02:47,
1079,16:15:52.8,-29:40:16,
1080,16:15:17.3,-49:58:02.0,
1081,16:15:01.1,-54:44:32.4,
1082,16:15:40.4,-55:37:00.5,
1083,16:16:29.8,-50:17:14.9,
1084,16:16:30.9,-51:09:17,
1085,16:16:23.4,-52:08:48,
1086,16:17:23.3,-42:16:59,
1087,16:17:35.1,-46:08:36.5,
1088,16:17:29.3,-50:55:13.2,
1089,16:18:32.1,-36:03:42,
1090,16:18:18.8,-39:21:01.8,
1091,16:18:52.7,-46:24:34.9,
1092,16:18:06.8,-47:23:19.1,
1093,16:19:06,-42:02,
1094,16:20:41.5,-49:27:37.1,
1095,16:20:14.4,-54:14:51.7,
1096,16:21:04.7,-50:39:48.6,
1097,16:21:55.8,-52:43:44,
1098,16:22:59.6,-03:15:37.3,
1099,16:22:04.5,-37:51:13.9,
1100,16:22:45.4,-43:32:28.2,
1101,16:22:30.0,-43:47:21.4,
1102,16:22:47.1,-48:02:13.1,
1103,16:22:05.4,-48:46:29,
1104,16:22:37.5,-49:44:30,
1105,16:22:44.8,-49:50:54.4,
1106,16:22:03.6,-66:17:16.9,
1107,16:23:42.6,-08:41:36.6,
1108,16:23:17.6,-09:08:48.7,
1109,16:23:38.2,-26:31:53.7,
1110,16:23:48.2,-42:56:52.6,
1111,16:23:54.8,-49:49:04,
1112,16:23:04.1,-50:05:15.1,
1113,16:24:09.9,-40:41:29.7,
1114,16:24:21.3,-44:11:33.8,
1115,16:24:18.7,-46:13:02,
1116,16:24:54.8,-47:21:27,
1117,16:24:00.9,+58:50:15.7,
1118,16:24:32.7,+86:43:13.2,
1119,16:25:10.3,-40:48:21.5,
1120,16:25:18.0,-49:04:33.6,
1121,16:25:16.4,-49:13:44.6,
1122,16:27:00,-44:22,
1123,16:26:48.9,-45:37:25.6,
1124,16:26:42.5,-48:07:54,
1125,16:26:06.8,-66:21:15.2,
1126,16:27:18.7,+14:19:20.7,
1127,16:27:28.7,-47:06:50.2,
1128,16:27:10.3,-48:45:08,
1129,16:27:42,-49:54,
1130,16:27:30,-51:08,
1131,16:27:21.0,-55:47:52.4,
1132,16:27:52.5,-59:36:55.3,
1133,16:28:07.0,-32:05:48.9,
1134,16:28:50.3,+44:06:42.6,
1135,16:28:26.8,-48:04:59,
1136,16:28:30.9,-48:28:42,
1137,16:29:35.8,-36:36:13,
1138,16:29:14.6,-38:25:29.3,
1139,16:29:08.7,-69:02:45.2,
1140,16:30:36.4,+37:34:42.0,
1141,16:30:02.4,-47:19:42,
1142,16:30:37.4,-47:33:05.0,
1143,16:31:52.4,-16:12:52.0,
1144,16:31:18.3,-41:55:03.7,
1145,16:32:54.2,-10:13:18,
1146,16:32:14.0,-45:09:09,
1147,16:32:49.8,-46:21:48.6,
1148,16:32:16.6,-47:57:34.5,
1149,16:32:39.7,-48:18:53.8,
1150,16:33:55.3,-20:10:09,
1151,16:33:47.0,-44:53:07.8,
1152,16:33:05.4,-48:05:36,
1153,16:33:00.0,-50:15:08.3,
1154,16:34:14.6,-42:29:44.3,
1155,16:34:30,-49:52,
1156,16:34:04.9,-51:07:45.6,
1157,16:34:19.1,-56:40:48.7,
1158,16:35:47.3,-15:11:52,
1159,16:35:05.3,+23:32:23.2,
1160,16:35:25.7,+24:18:47.3,
1161,16:35:55.4,-45:13:27,
1162,16:35:51.8,-47:35:23.3,
1163,16:35:55.4,-49:44:36,
1164,16:35:09.0,-59:54:41,
1165,16:36:11.5,-26:14:47.0,
1166,16:36:16.5,-44:40:25,
1167,16:36:32.0,-48:03:55,
1168,16:36:55.1,-49:33:10,
1169,16:37:56.8,-43:35:42,
1170,16:37:53.1,-44:50:26.3,
1171,16:37:58.6,-45:53:26.8,
1172,16:37:36,-46:13,
1173,16:37:13.7,-46:42:14.2,
1174,16:37:11.4,-47:21:03,
1175,16:37:58.6,-48:16:12,
1176,16:38:37.3,-38:15:03.4,
1177,16:38:15.5,-39:51:59,
1178,16:38:16.2,+40:05:56.3,
1179,16:38:24.7,-42:33:55,
1180,16:38:52.8,-43:44:04,
1181,16:38:18,-44:40,
1182,16:38:46.2,-44:17:03.2,
1183,16:38:23.2,-46:08:13.4,
1184,16:38:12.9,-47:25:32,
1185,16:38:59.9,-52:26:57.4,
1186,16:39:06.8,-43:59:52,
1187,16:39:21.2,-46:04:33.1,
1188,16:40:16.7,+22:24:08.8,
1189,16:40:43.5,-46:31:35.4,
1190,16:40:47.6,-46:48:45,
1191,16:40:13.0,-47:15:38.1,
1192,16:40:43.5,-49:51:02.1,
1193,16:41:18.0,-23:47:36,
1194,16:41:40.8,+36:27:15.4,
1195,16:41:41,+36:27:37,
1196,16:41:41,+36:27:37,
1197,16:41:41,+36:27:37,
1198,16:41:41,+36:27:37,
1199,16:41:15.9,-53:17:48.8,
1200,16:41:20.8,+80:49:52.9,
1201,16:43:38.1,-12:24:58.6,
1202,16:43:54.1,+13:38:43.9,
1203,16:43:36.9,-45:05:45.8,
1204,16:43:20.4,-45:22:01,
1205,16:43:13.5,-45:50:54.5,
1206,16:44,-33:00,
1207,16:44:36,-44:10,
1208,16:44:49.2,-45:59:09.7,
1209,16:44:06,-46:26,
1210,16:44:38.5,-46:57:38,
1211,16:45:02.0,-03:17:57.8,
1212,16:45:34.4,+10:12:16.0,
1213,16:46:18.1,-21:42:09.0,
1214,16:46:55.3,-43:08:07,
1215,16:46:51.3,-43:46:38,
1216,16:46:36.3,-51:23:14.6,
1217,16:46:54.9,-68:31:51.7,
1218,16:47:46.5,-36:07:04,
1219,16:47:10.2,-45:52:16.8,
1220,16:47:32.5,+66:08:22.2,
1221,16:48:06.0,-32:56:40.8,
1222,16:48:13.0,-44:58:26,
1223,16:48:22.0,-46:11:15.7,
1224,16:48:51.2,-60:44:25.5,
1225,16:49:44.2,+25:33:07.0,
1226,16:49:48.2,-38:05:59.1,
1227,16:49:06.6,-39:35:44.2,
1228,16:49:20.4,-43:49:22.2,
1229,16:49:24.6,-46:53:09.3,
1230,16:49:18.2,-47:29:53,
1231,16:49:31.1,-55:53:40,
1232,16:50:27.1,-16:54:42.2,
1233,16:50:13.1,-41:26:33.8,
1234,16:50:44.6,-43:41:30.8,
1235,16:50:32.3,-45:02:37.3,
1236,16:50:18.6,-46:01:18.6,
1237,16:50:35.1,-49:21:03.7,
1238,16:51:00,+14:22,
1239,16:51:31.7,-17:09:22,
1240,16:51:48.7,-42:46:09.9,
1241,16:51:57.2,-45:19:11,
1242,16:51:42.9,-52:22:58.3,
1243,16:51:41.4,-52:55:47.7,
1244,16:51:07.8,-76:42:39.5,
1245,16:52:16.6,-14:00:27.4,
1246,16:52:58.5,-24:03:51,
1247,16:52:03.0,+26:51:40.4,
1248,16:52:59.5,-44:06:05,
1249,16:52:54,-48:45,
1250,16:53:31.0,-20:54:55.1,
1251,16:53:39.7,-38:38:20.8,
1252,16:53:34.2,-40:30:01.4,
1253,16:53:25.3,-41:05:25.6,
1254,16:53:40.2,-42:49:03.3,
1255,16:53:29.7,-43:15:01,
1256,16:53.9,-45:17,
1257,16:53:56.7,-48:54:51,
1258,16:54:03,-23:35,
1259,16:54:39,-26:36:18,
1260,16:54:23.6,-27:13:02,
1261,16:54:44.4,-37:10:57.1,
1262,16:54:23.5,-41:40:24,
1263,16:54:22.0,-42:45:39,
1264,16:55:24.5,-30:48:42,
1265,16:55:38.6,-38:44:09,
1266,16:56:41,+00:26,
1267,16:56:32.9,-36:21:59.7,
1268,16:56:10.2,+62:03:50.4,
1269,16:57:50.6,+33:04:33.6,
1270,16:57:36.7,-44:32:20,
1271,16:58:26.5,+36:30:30.0,
1272,16:58:16.6,-43:06:50,
1273,16:58:24,-47:12,
1274,16:58:54.9,-49:58:58.4,
1275,16:58:39.3,-53:24:07.0,
1276,16:59:53.0,-13:05:09.0,
1277,16:59:56.3,-43:16:06,
1278,16:59:39.4,-44:39:01,
1279,16:59:23,-54:00,
1280,17:00:52.9,-33:12:46.5,
1281,17:00:49.3,-36:11:53,
1282,17:00:22.2,-39:19:00.0,
1283,17:00:38.5,-40:12:38.6,
1284,17:00:53.6,-44:22:27,
1285,17:00:22.5,-49:39:15,
1286,17:01:12.5,-30:06:30.1,
1287,17:01:12.6,-30:06:49.0,
1288,17:01:12.8,-30:06:59.4,
1289,17:01:13.5,-30:06:42.5,
1290,17:01:13.2,-30:06:46.8,
1291,17:01:12.8,-30:06:51.8,
1292,17:01:43.5,-31:30:36.7,
1293,17:01:18.4,-37:26:27.2,
1294,17:01:29.1,-45:33:48.7,
1295,17:01:12.8,-49:58:33,
1296,17:02:14.3,-39:32:40,
1297,17:02:52.5,-41:28:48.2,
1298,17:02:36.4,-42:17:01.2,
1299,17:02:27.3,-43:06:45.1,
1300,17:02:26.9,-43:10:40,
1301,17:02:52.6,-44:28:03,
1302,17:03:26,-18:48:54,
1303,17:03:51.0,-18:46:14.8,
1304,17:03:22.5,-32:41:48.0,
1305,17:03:26,-38:12,
1306,17:03:20.5,-44:42:42,
1307,17:03:54.5,-48:52:01.0,
1308,17:04:57.4,-37:56:42.9,
1309,17:04:40.5,-52:36:57.4,
1310,17:04:14.8,-60:16:54,
1311,17:05,-04:41,
1312,17:05:27,-19:08:04,
1313,17:05:36.0,-19:06:38.6,
1314,17:05:42.3,-34:23:43.1,
1315,17:05:37.1,-39:36:29,
1316,17:05:29.8,-39:50:59,
1317,17:05:20.4,-41:08:44,
1318,17:05:35.9,-43:31:13.6,
1319,17:05:15.3,-61:35:15,
1320,17:06:21.3,-38:39:51,
1321,17:06:04.5,-43:10:21,
1322,17:06:23.1,-44:34:30.0,
1323,17:07,+59:10,
1324,17:06:09.7,-61:18:11.7,
1325,17:07:00,+35:56,
1326,17:07:21.7,-40:53:55.1,
1327,17:07:40.1,-43:41:12.0,
1328,17:07:41.4,-44:17:19,
1329,17:07:15.5,-47:29:34.5,
1330,17:08:39,+01:48:06,
1331,17:08:57.7,-34:26:44.0,
1332,17:08:17.6,-35:06:22.6,
1333,17:08:35.9,-36:41:21.5,
1334,17:08:16.5,-38:27:36,
1335,17:08:46.8,-40:08:52.4,
1336,17:08:12.9,-45:22:51,
1337,17:08,-52:00,
1338,17:08:02.5,-75:39:23,
1339,17:09:26.4,-16:40:57.7,
1340,17:09:05.7,+23:13:27.8,
1341,17:09:45.1,-36:26:03.6,
1342,17:09:15.9,-38:41:17,
1343,17:09:47,-43:54:43,
1344,17:09:30.9,-43:42:14,
1345,17:09:41.3,-44:01:11.2,
1346,17:09:42.7,-44:29:08.2,
1347,17:10:04.9,-26:16:35,
1348,17:10:30,-37:30,
1349,17:10:23.7,-41:48:19,
1350,17:10:04.4,+49:23:11.4,
1351,17:11:55.0,-15:09:39.7,
1352,17:11:44.4,-38:26:14,
1353,17:11:10.5,-43:22:53.1,
1354,17:11:53.1,-53:50:18.3,
1355,17:12:11.7,-27:15:53,
1356,17:12:35,-39:43,
1357,17:12:35,-39:43,
1358,17:13:49.5,+07:47:37.5,
1359,17:13:02.3,-38:44:29,
1360,17:13:28,-39:49,
1361,17:13:27.0,+78:10:33.9,
1362,17:14:40.1,-10:54:10.9,
1363,17:14:05.7,-38:10:30.9,
1364,17:15:23.4,-32:47:30,
1365,17:15:09.6,-37:00:04,
1366,17:15:37.8,-38:59:25.1,
1367,17:15:14.0,-39:02:57.1,
1368,17:15:40.9,-40:34:18,
1369,17:15:10.5,-42:54:54,
1370,17:15:48,+46:03,
1371,17:16:11.3,-37:20:44,
1372,17:16:42.0,-40:05:27,
1373,17:16:44.3,-41:11:09.5,
1374,17:16:01.1,-47:11:00.9,
1375,17:17:56,+03:11,
1376,17:17:20.2,-34:24:59.6,
1377,17:17:15.9,-37:37:36,
1378,17:17:18.4,-38:47:03,
1379,17:17:25.5,-39:53:55,
1380,17:17:47.9,-40:43:50,
1381,17:17:02.0,-40:43:31,
1382,17:17:52.3,-41:03:17.8,
1383,17:17:35.6,-58:00:05.4,
1384,17:18:18.5,-37:14:16,
1385,17:18:10.0,-37:18:53,
1386,17:18:13.5,-38:25:18.0,
1387,17:18:12,-41:07,
1388,17:18:11.9,-45:39:15.9,
1389,17:19:10.0,-14:38:00.9,
1390,17:19:36.1,-23:30:14,
1391,17:19:12.1,-34:58:22.4,
1392,17:19:01.7,-40:06:59.5,
1393,17:19:48.7,-43:02:11.4,
1394,17:20:55,+00:40,
1395,17:20:57.2,-02:12:23.9,
1396,17:20:25.2,-16:33:33.7,
1397,17:20:01.3,+21:50:12.8,
1398,17:20:22.4,-24:46:27,
1399,17:20:34.1,-29:33:16.2,
1400,17:20:54,-36:53,
1401,17:20:01.9,-36:59:06.5,
1402,17:21:01.4,-19:36:51,
1403,17:21:46.6,-19:39:49,
1404,17:21:05.4,-24:57:06.1,
1405,17:21:32.7,-35:32:49.6,
1406,17:22:02.9,-32:07:45.3,
1407,17:22:06,+35:18,
1408,17:22:09.8,-36:32:53.3,
1409,17:22:59.2,-37:12:04.5,
1410,17:22:46.5,-44:00:33.2,
1411,17:23:23.1,-28:37:57.1,
1412,17:23:58.2,-28:52:51,
1413,17:23:07.5,-36:59:14.2,
1414,17:23,-38:20,
1415,17:24:44.8,-31:49:04,
1416,17:24:43,-35:49,
1417,17:24:47.8,-35:05:36,
1418,17:24:25.8,-45:00:15,
1419,17:25:12.2,-07:32:59.2,
1420,17:25:09.9,-28:52:22,
1421,17:25:42.2,-35:46:16,
1422,17:25:00.1,-38:48:36,
1423,17:25:27.2,-38:53:04.2,
1424,17:25:41.4,-40:43:11,
1425,17:26:23,-00:15,
1426,17:26:36,-31:57,
1427,17:26:07.5,-35:29:58,
1428,17:26:49.6,-36:35:45.6,
1429,17:26:33.3,-40:06:02,
1430,17:26,-52:00,
1431,17:27:30.9,-27:38:53,
1432,17:27:19,-29:59,
1433,17:27:15.0,-29:46:36.7,
1434,17:27:00.4,-29:51:40.8,
1435,17:28:34.8,-00:07:45.0,
1436,17:28:46.2,-37:33:08,
1437,17:28:27.6,-40:28:10,
1438,17:29:10.8,-21:17:28,
1439,17:30:21.6,-23:04:31.1,
1440,17:30:08.2,-29:00:46,
1441,17:30:32.5,-33:50:39.4,
1442,17:30:55.5,-33:53:38,
1443,17:30:06,-34:48,
1444,17:31:17.6,-18:47:32.6,
1445,17:31:00.5,-31:23:43,
1446,17:31.8,-33:48,
1447,17:31:14.3,-33:22:45,
1448,17:31:42.1,-47:44:36.2,
1449,17:32:20.0,-19:30:09,
1450,17:32:33.5,-31:31:23,
1451,17:32:07.1,-34:26:05,
1452,17:32:30,-35:05,
1453,17:32:20.8,-37:29:05,
1454,17:32:50.0,-41:28:48,
1455,17:32:48.8,-41:56:29.6,
1456,17:32:47.7,-50:49:00.1,
1457,17:33:26.4,-22:28:37,
1458,17:33:25.8,-25:33:11,
1459,17:33:33.9,-28:37:33,
1460,17:33:58.8,-30:30:49,
1461,17:33:55.2,-33:22:03,
1462,17:33:26.7,-37:16:55.1,
1463,17:33:58.6,-40:05:39.7,
1464,17:33:00.4,-55:15:40,
1465,17:34:45.6,-02:12:39.1,
1466,17:34:41.6,-24:15:20,
1467,17:34:00.1,-28:59:53.4,
1468,17:34:50.8,-30:58:41.4,
1469,17:34:26.9,-33:33:20,
1470,17:35:48.1,-02:43:48,
1471,17:35:04.9,-07:24:52.1,
