#index,ra,dec,
175,04:56:30,-69:10,
176,04:56:02.5,-70:31:06.6,
177,04:57:06,+23:34:00,
178,04:57:07.7,-63:37:30.4,
179,04:57:02,-69:46,
180,04:58:37.1,-05:05:05.1,
181,04:58:59,-67:43,
182,04:59:51.9,-02:10:06.6,
183,05:01:06.7,+45:16:33.9,
184,05:02:04.5,+46:54:06.0,
185,05:02:50.5,-66:17:58.8,
186,05:09:22.2,+08:56:25.0,
187,05:09:31.7,+38:01:18.0,
188,05:11:56.5,-65:08:36.5,
189,05:14:06.6,-40:02:48.8,
190,05:14:52.1,-44:08:37.3,
191,05:17:17.1,+22:12:51.9,
192,05:18:26.1,+51:25:58.7,
193,05:18:53.1,+54:16:50.0,
194,05:19,+44:00,
195,05:19:46.9,-69:32:23.4,
196,05:20:36.1,-25:53:12.2,
197,05:21:44,-68:35,
198,05:22:23.0,-68:47:02.2,
199,05:25:56.4,+11:15:19.0,
200,05:26:00.9,-66:04:36.3,
201,05:28:52.2,+22:00:04,
202,05:29:08.9,-07:15:26.4,
203,05:29:50.9,-66:52:39.9,
204,05:32:59.5,-66:39:37.3,
205,05:32:04,-69:46,
206,05:33:25.8,+04:01:59.7,
207,05:33:13.8,-45:24:50.2,
208,05:33:55.1,+67:59:17.4,
209,05:34:31.9,+22:00:52.0,
210,05:34:30,+34:07,
211,05:34:36.1,-67:03:48.8,
212,05:35:40,-66:52,
213,05:35,-69:35,
214,05:36:30.8,-75:43:54.8,
215,05:37:43,-69:21,
216,05:37:47.4,-69:10:19.8,
217,05:38:25.0,+28:17:09.1,
218,05:40:37.1,+32:07:37.3,
219,05:40:11.2,-69:19:54.1,
220,05:40:30.8,-71:25:31.4,
221,05:42:35,-68:16,
222,05:43:11.0,+23:16:40.1,
223,05:43:52.7,-68:51:25.3,
224,05:44:12,+20:50,
225,05:45,-03:10,
226,05:46:28.7,+24:41:21,
227,05:50:28,+09:51,
228,05:54:05.0,+31:07:41,
229,05:55,+39:48,
230,05:55:01.8,-70:56:45.6,
231,05:57:31.4,+15:50:06.0,
232,05:57:32.9,-29:48:16.8,
233,06:00:46.5,-57:56:54,
234,06:01:58.9,-05:27:50.8,
235,06:05:05.5,+37:57:35.9,
236,06:08:49,+00:39,
237,06:09:13,+16:34,
238,06:09:58.8,+21:30:02.8,
239,06:10:13.5,-21:00:27.9,
240,06:11:18,+04:06,
241,06:11:18.6,+14:36:52,
242,06:11:16,+30:16,
243,06:12:48.6,+37:21:37.3,
244,06:12:44.1,+37:21:40,
245,06:13:43.9,-02:00:47.2,
246,06:13:12.1,+37:31:38.3,
247,06:14:17.0,+22:29:56.8,
248,06:14:10.3,-33:29:54.1,
249,06:14,+83:14,
250,06:21:11.2,+03:36:45.5,
251,06:21:22.1,+10:02:38.7,
252,06:21:10.8,+25:14:03.8,
253,06:20:42,-56:05,
254,06:22:10.5,+37:49:13.6,
255,06:23:46.7,+03:40:06.8,
256,06:24:20.0,-04:24:50.4,
257,06:25:45,+10:16,
258,06:27:53.6,+06:49:54.1,
259,06:27:44.1,+07:06:33.0,
260,06:27:13,+16:12,
261,06:28:36.1,+09:09:13.9,
262,06:29:05.7,+24:15:41.5,
263,06:30:26.9,-00:46:05.8,
264,06:30:04,+19:37,
265,06:30:49.4,-28:34:42.7,
266,06:31:52.3,+06:46:14.2,
267,06:31:27.5,+10:37:02.5,
268,06:33:44.2,+06:32:34.9,
269,06:33:54.1,+17:46:12.9,
270,06:33:08.8,-20:15:07.1,
271,06:35:18,+05:33:11,
272,06:37:09,-30:50:42,
273,06:36:33.7,-45:49:32.6,
274,06:36:04.8,+51:28:59.9,
275,06:41:10,+07:44,
276,06:45:59.0,+51:58:14.9,
277,06:46,+80:09,
278,06:46:31.0,+09:05:49.6,
279,06:47:15.6,+09:13:59.5,
280,06:52:11.1,-01:42:30.3,
281,06:53,+47:06,
282,06:53:15.0,+80:52:00.2,
283,06:56:30.2,-22:28:25.5,
284,06:56:48.9,-54:49:14.9,
285,06:58:15.2,+00:22:35.3,
286,06:59:48.1,+14:14:19.4,
287,07:00:37.8,+64:18:11.2,
288,07:02:39.3,-49:56:34.2,
289,07:09:08.3,+04:58:51.4,
290,07:09:32.5,-59:23:55.6,
291,07:11:36.1,+09:31:25,
292,07:11:54.1,-68:30:47.4,
293,07:19:07.3,-25:45:00.2,
294,07:20:24.9,-31:25:50.0,
295,07:21:42.9,-20:38:07.0,
296,07:25:00.4,-16:35:45.8,
297,07:26:08.1,-26:12:38.1,
298,07:29:16.4,-14:48:36.8,
299,07:29:32.3,-18:36:42.2,
300,07:32:37.5,+23:14:54.2,
