SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,DOWNLOADED
NS0071,4U0142+614            ,26.592144,61.752053,XRBCAT          ,             ,2CXO J014622.4+614503 ,26.593348,61.750834,0.081,
NS0072,AX J0049-729          ,12.259471,-72.848676,XRBCAT          ,             ,2CXO J004903.3-725052 ,12.263883,-72.847902,0.091,
NS0073,AX J0057.4-7325       ,14.3625,-73.425278,INTREFCAT       ,INTEGRAL     ,2CXO J005727.1-732519 ,14.362974,-73.422094,0.191,
NS0074,AX J163904-4642       ,249.773,-46.704,IBISCAT         ,INTEGRAL     ,2CXO J163905.4-464212 ,249.772776,-46.703498,0.032,
NS0075,AX J1740.2-2848       ,265.038333,-28.789722,INTREFCAT       ,INTEGRAL     ,2CXO J174009.1-284725 ,265.038037,-28.790512,0.05,
NS0076,AX J1820.5-1434       ,275.122742,-14.573339,XRBCAT          ,             ,2CXO J182030.0-143423 ,275.125384,-14.573205,0.154,
NS0077,BW ANT                ,142.334167,-31.384167,RITTERLMXB      ,             ,2CXO J092920.1-312303 ,142.334101,-31.384266,0.007,
NS0078,CEN X-3               ,170.316,-60.623,IBISCAT         ,INTEGRAL     ,2CXO J112115.1-603725 ,170.312986,-60.623829,0.102,NO
NS0079,E1048.1-5937          ,162.532607,-59.88764,XRBCAT          ,             ,2CXO J105007.5-595321 ,162.531367,-59.889177,0.099,
NS0080,E1048.1-5937          ,162.532607,-59.88764,XRBCAT          ,             ,2CXO J105007.1-595321 ,162.529818,-59.889314,0.131,
NS0081,E2259+587             ,345.28267,58.879437,XRBCAT          ,             ,2CXO J230108.2+585244 ,345.284506,58.878949,0.064,
NS0082,GRO J1744-28          ,266.153139,-28.760357,XRBCAT          ,             ,2CXO J174436.8-284537 ,266.153406,-28.760354,0.014,
NS0083,GRS 1722-30           ,261.888,-30.802,IBISCAT         ,INTEGRAL     ,2CXO J172733.1-304807 ,261.888321,-30.802216,0.021,NO
NS0084,GRS 1741.9-2853       ,266.26,-28.914,IBISCAT         ,INTEGRAL     ,2CXO J174502.3-285449 ,266.259684,-28.913859,0.019,
NS0085,GX 301-2              ,186.657,-62.771,IBISCAT         ,INTEGRAL     ,2CXO J122637.5-624613 ,186.656634,-62.770296,0.043,
NS0086,HER X-1               ,254.4575,35.3425,INTREFCAT       ,INTEGRAL     ,2CXO J165749.7+352033 ,254.457353,35.342512,0.007,
