index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,36978.6,2001-06-14T10:51:54,0.925561797752809,0.0002403,1.2949000000000001e-05,6.2,1.37298e-15,2.0101e-15,7.84564e-16,1.988
1,40580.4,2010-01-27T01:02:52,-2.4535057185479863,0.0004136,2.322e-05,6.8,1.27358e-15,1.89734e-15,7.246400000000001e-16,1.7100000000000002
2,75682.2,2010-01-29T14:46:35,-2.498666666666667,0.0002347,7.267e-05,10.2,6.4432e-16,9.57428e-16,3.2873400000000004e-16,1.9440000000000002
3,171955.9,2012-01-18T14:26:38,-0.5887669464170432,0.0001033025,4.557999999999999e-06,15.0,3.9480000000000003e-16,6.2342e-16,2.19252e-16,2.1079999999999997
7,160215.7,2012-01-21T08:54:47,-0.27650567635174134,0.00013752,3.088733333333333e-05,16.2,1.60984e-15,2.59046e-15,5.837999999999999e-16,2.29
4,75554.3,2012-01-26T22:21:59,0.3932633420822397,0.00013933666666666666,6.255666666666666e-06,7.4,6.652e-16,1.034446e-15,2.9791200000000003e-16,1.556
5,184208.0,2012-01-31T15:24:33,-0.08100558659217877,0.0001515533333333333,1.929866666666667e-05,22.6,5.910799999999999e-16,8.0028e-16,4.0228000000000005e-16,3.166
6,158013.8,2012-02-03T10:00:00,0.040032025620496396,0.00014158,7.770666666666667e-06,16.6,8.722999999999999e-16,1.1701259999999999e-15,5.741999999999999e-16,2.5200000000000005
8,119479.4,2012-04-04T03:00:56,-1.025987525987526,0.00015146333333333333,1.0328333333333334e-05,14.2,7.47925e-16,1.0215e-15,4.66725e-16,2.3480000000000003
10,46281.0,2012-04-05T19:03:53,-1.2664783427495292,,,3.6,7.228749999999999e-16,1.235e-15,1.862575e-16,1.134
9,69689.2,2012-04-06T18:15:48,-0.8088994835121177,0.00017940333333333334,2.3097e-05,9.4,8.595599999999999e-16,1.2617e-15,4.9814e-16,1.922
