index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,40580.4,2010-01-27T01:02:52,-1.0,,,0.4,0.0,3.5321999999999995e-16,0.0,0.194
1,75682.2,2010-01-29T14:46:35,-1.0,,,1.0,1.2232e-16,6.282140000000001e-16,0.0,0.0
2,171955.9,2012-01-18T14:26:38,-1.0,,,2.0,2.554e-17,1.6226199999999998e-16,7.568e-18,0.4720000000000001
6,160215.7,2012-01-21T08:54:47,0.0162097258355013,,,1.4,8.316000000000001e-18,1.51452e-16,0.0,0.20400000000000001
3,75554.3,2012-01-26T22:21:59,2.7493810178817055,,,1.2,6.984e-17,2.67624e-16,7.716000000000001e-18,0.476
4,184208.0,2012-01-31T15:24:33,-1.0,,,3.8,3.0458e-17,1.0475999999999999e-16,8.462e-18,1.216
5,158013.8,2012-02-03T10:00:00,-133.25333333333333,,,3.6,5.504e-17,1.76166e-16,1.3289e-17,0.96
7,119479.4,2012-04-04T03:00:56,-1.0,,,1.0,0.0,1.0724399999999999e-16,0.0,0.0
9,46281.0,2012-04-05T19:03:53,-1.0,,,0.8,8.592e-17,5.238000000000001e-16,3.906e-18,0.2
8,69689.2,2012-04-06T18:15:48,-1.0,,,0.8,3.1240000000000003e-17,2.5953e-16,5.432e-18,0.45199999999999996
