"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
A039...,0338.8+0216,3 38 48.7,+2 16 29,0.231 ± 0.026,-0.10 ± 0.11,+0.09 ± 0.17,13.8,2,-2,1,st,K4,8.8,1.4,-2.97,*,SAO 111315,
A040...,0339.1+0346,3 39 09.1,+3 46 04,0.038 ± 0.013,+0.76 ± 0.40,+0.61 ± 0.26,12.9,-9,12,1,S1,0.199,17.41,0.17,0.45,*,,
A041...,0339.4-0146,3 39 29.5,-1 46 22,0.045 ± 0.012,+1.89 ± 0.50,+0.48 ± 0.20,13.2,-21,15,2,QSO,0.852,17.62,0.26,0.54,2469,PKS 0336-01,
A042...,0339.9+0314,3 39 59.1,+3 14 12,0.037 ± 0.012,-0.12 ± 0.34,-0.73 ± 0.34,2.2,2,-20,1,st,K2,12.48,0.96,-2.29,*,,
A043...,0340.7-0240,3 40 43.0,-2 40 07,0.179 ± 0.023,+0.96 ± 0.06,+0.39 ± 0.11,26.3,-18,11,1,G,0.036,12.5,*,-1.21,*,,R
A044...,0341.2+0453,3 41 14.5,+4 53 16,0.073 ± 0.015,+1.04 ± 0.16,+0.31 ± 0.20,26.2,2,-9,1,S1,0.085,16.32,*,0.32,*,,
A045...,0341.4-0013,3 41 24.5,-0 13 11,0.160 ± 0.022,+0.61 ± 0.13,+0.44 ± 0.14,9.6,26,14,1,st,K3,*,*,*,*,HD 22993,R
A047...,0341.8+0348,3 41 53.9,+3 48 28,0.035 ± 0.011,+0.92 ± 0.25,+0.84 ± 0.60,12.2,2,1,1,QSO,0.85,17.39,0.23,0.41,*,,R
A050...,0342.6+0606,3 42 41.6,+6 06 43,0.103 ± 0.018,+0.27 ± 0.17,+0.16 ± 0.21,6.2,-8,6,1,st,M4e,16.75,1.34,-0.14,*,,
A051...,0342.7+0109,3 42 47.8,+1 09 20,0.062 ± 0.014,+0.76 ± 0.19,+0.55 ± 0.19,19.5,2,-12,1,S1,0.361,18.3,0.26,0.98,46,,R
A056...,0343.9+0327,3 43 55.7,+3 27 04,0.039 ± 0.012,-1.11 ± 0.46,+0.00 ± 0.00,2.3,26,21,1,st,K1,8.44,1.05,-3.89,*,HD 23261,R
A057...,0344.4-0123,3 44 25.9,-1 23 29,0.407 ± 0.034,-0.24 ± 0.08,+0.33 ± 0.12,24.4,-2,3,1,st,G9,11.16,1.04,-1.78,*,BD-1 524,
A058...,0344.8+0359,3 44 53.6,+3 59 38,0.047 ± 0.013,+0.85 ± 0.15,-0.07 ± 0.26,2.8,8,7,1,st,K1e,12.86,0.79,-2.04,*,,
A059...,0344.9+0819,3 44 59.0,+8 19 30,0.128 ± 0.022,+0.46 ± 0.17,+0.41 ± 0.18,7.7,2,18,1,st,F6,8.49,0.68,-3.35,*,HD 23376.,
A061...,0345.0+0237,3 45 03.4,+2 37 13,0.084 ± 0.017,-0.17 ± 0.19,+0.41 ± 0.26,5,9,-8,1,st,F5,6.71,1.69,-4.25,*,HD 23412.,
A063...,0347.1-0052,3 47 09.9,-0 52 02,0.032 ± 0.011,+0.72 ± 0.29,+0.80 ± 0.57,1.9,20,-17,1,st,K3,13.15,0.81,-2.08,*,,
A064...,0347.3-0158,3 47 23.3,-1 58 17,0.455 ± 0.036,-0.24 ± 0.08,+0.03 ± 0.13,27.2,8,-9,1,st,M3e,12.63,1.42,-1.14,*,G80-21,
A065...,0347.4-0217,3 47 25.7,-2 17 47,0.080 ± 0.017,+0.03 ± 0.20,-0.57 ± 0.23,4.8,-14,36,1,st,K7e,*,*,*,*,,R
A067...,0347.6+0105,3 47 38.7,+1 05 33,0.030 ± 0.011,+1.16 ± 0.17,+0.37 ± 0.29,10.3,-21,20,1,NL1,0.031,15,0.52,-0.62,*,IF 03450+00,R
A069...,0348.5+0831,3 48 32.5,+8 31 33,0.051 ± 0.014,+0.84 ± 0.23,-0.15 ± 0.26,3.1,18,-4,1,st,G4,10.9,0.75,-2.79,*,,R
A070...,0348.8-0058,3 48 50.2,-0 58 36,2.220 ± 0.079,-1.01 ± 0.01,+0.00 ± 0.00,91.4,5,-11,1,WDA,,14.53,-0.23,0.15,*,WD 0346-01,R
A071...,0348.9+0110,3 48 59.0,+1 10 51,0.090 ± 0.018,-0.03 ± 0.19,+0.40 ± 0.24,5.4,5,-8,1,st,K3e,11.23,*,-2.41,*,,
A072...,0349.6-0219,3 49 38.3,-2 19 45,0.119 ± 0.021,-0.05 ± 0.16,+0.08 ± 0.23,7.1,-9,-4,1,st,G0,7,0.7,-3.98,*,HD 24031,
A073...,0349.9+0640,3 49 59.7,+6 40 57,0.061 ± 0.015,+0.82 ± 0.23,-0.11 ± 0.27,21.4,28,-29,3,BLL,,19.14,0.69,1.35,79,,R
A074...,0350.2-0131,3 50 15.5,-1 31 14,0.119 ± 0.020,-0.04 ± 0.16,+0.12 ± 0.23,7.1,-5,5,1,st,F4,8.72,-1.12,-3.29,*,HD 24098,R
A075...,0350.4+0528,3 50 29.3,+5 28 10,0.059 ± 0.015,-0.34 ± 0.20,-0.80 ± 0.43,3.5,9,-23,1,st,M3e,14.36,1.3,-1.33,*,,
A076...,0350.6+0133,3 50 41.0,+1 33 46,0.073 ± 0.016,-0.16 ± 0.22,+0.17 ± 0.35,4.4,-14,-5,1,st,F5,10.68,*,-2.72,*,HD 24133,R
A077...,0350.9+0618,3 50 57.3,+6 18 19,0.047 ± 0.014,+0.96 ± 0.15,+0.57 ± 0.27,11.3,*,*,1,C,0.13,*,*,*,*,Abell 465,
A082...,0353.1-0149,3 53 07.5,-1 49 42,0.062 ± 0.016,+0.10 ± 0.24,+0.08 ± 0.30,3.7,-14,29,1,st,F7,8.94,0.41,-3.49,*,HD 24435,
A085...,0353.5+0204,3 53 34.1,+2 04 38,0.037 ± 0.012,+0.64 ± 0.30,-0.33 ± 0.36,13.7,-5,-18,1,S1,0.247,18.37,0.33,0.86,*,,
A087...,0354.1+0249,3 54 10.3,+2 49 26,0.315 ± 0.031,+0.98 ± 0.04,+0.51 ± 0.09,114.8,14,-4,1,S1,0.036,16.33,0.58,0.96,*,EX351+026,
A089...,0354.2-0257,3 54 17.1,-2 57 20,0.203 ± 0.025,+0.13 ± 0.12,-0.05 ± 0.16,12.1,*,*,1,"st, st","G5, A2",*,*,*,*,"HR 1212, 11",R
A090...,0354.3+0535,3 54 21.3,+5 35 27,0.042 ± 0.012,+0.76 ± 0.28,+0.42 ± 0.29,2.5,0,-14,1,st,G1,9.8,0.58,-3.31,*,,
A093...,0354.7+0509,3 54 42.2,+5 09 03,0.047 ± 0.013,-1.04 ± 0.34,+0.00 ± 0.00,1.9,30,16,1,WDA,,16.31,-0.48,-0.82,*,,
A094...,0355.2+0329,3 55 14.8,+3 29 20,0.049 ± 0.014,-0.06 ± 0.28,+0.66 ± 0.56,3,8,10,1,st,K3e,11.6,0.73,-2.52,*,,
A095...,0355.3-0143,3 55 20.2,-1 43 44,0.414 ± 0.037,-0.03 ± 0.09,-0.04 ± 0.13,24.8,-3,-2,1,st,G5,11.24,0.92,-1.74,*,HD 24861,R
A096...,0356.8-0034,3 56 53.7,-0 34 41,0.044 ± 0.014,-0.12 ± 0.29,+0.67 ± 0.73,2.6,12,1,1,st,K4e,12.61,0.92,-2.17,*,,
A098...,0357.4-0109,3 57 28.7,-1 09 20,0.436 ± 0.037,-0.35 ± 0.08,+0.08 ± 0.15,26.1,-11,3,1,"st, st","M3e, K5",11.48,1.52,-1.62,*,"GJ 157B, A",R
A099...,0357.9-0011,3 57 58.1,-0 11 18,0.037 ± 0.012,+0.52 ± 0.37,+1.16 ± 0.77,13.2,-8,8,1,AGN,0.014,11.82,1.25,-1.78,*,,R
A100...,0358.1-0121,3 58 10.1,-1 21 36,0.041 ± 0.013,+0.04 ± 0.36,-0.97 ± 0.71,2.4,0,8,1,st,K4,11.52,1.11,-2.64,*,,
A101...,0358.9-0017,3 58 55.1,-0 17 53,0.032 ± 0.012,-0.34 ± 0.33,+0.06 ± 0.89,1.9,27,-14,1,st,K3,10.95,0.92,-2.96,*,,
A104...,0400.1+0818,4 00 09.8,+8 18 24,0.347 ± 0.033,+0.26 ± 0.09,+0.17 ± 0.12,20.8,4,7,1,"st, st","G5, G5",9.9,1.1,-2.35,*,BD +07 582,R
A106...,0402.2-0137,4 02 15.3,-1 37 40,0.034 ± 0.012,-0.62 ± 0.27,-0.10 ± 1.43,2,-26,13,2,st,F6,8.23,0.75,-4.03,*,HD 25414,
A107...,0402.5+0551,4 02 34.5,+5 51 51,0.040 ± 0.012,+0.64 ± 0.28,+0.58 ± 0.63,2.4,-16,17,1,st,G4,12.57,0.86,-2.22,*,,
A108...,0402.6-0016,4 02 36.7,-0 16 06,1.550 ± 0.070,-0.07 ± 0.05,-0.08 ± 0.07,92.8,0,3,2,st,F5,5.38,0.5,-3.51,*,,
A109...,0402.7+0159,4 02 42.0,+1 59 54,0.034 ± 0.012,+1.04 ± 0.36,+0.79 ± 0.55,12.6,-3,-14,1,S1,0.151,17.68,0.85,0.54,*,,
A110...,0403.1+0444,4 03 07.3,+4 44 23,0.032 ± 0.012,+0.04 ± 0.40,+1.71 ± 3.73,1.3,11,9,1,ES,,17.47,0.37,-0.52,*,,R
A111...,0403.3+0639,4 03 22.1,+6 39 59,0.045 ± 0.013,-0.26 ± 0.29,+1.29 ± 1.02,2.7,-3,19,1,st,M4e,15.59,1.12,-0.96,*,,R
A113...,0403.5+0837,4 03 30.8,+8 37 10,0.047 ± 0.014,+0.83 ± 0.18,+0.75 ± 0.38,15.9,10,26,1,"QSO, st","0.589, G6",18.42,-0.12,0.94,*,,R
A115...,0403.8+0846,4 03 49.1,+8 46 14,0.074 ± 0.017,-0.27 ± 0.22,-0.39 ± 0.62,4.4,0,-6,1,st,K9e,13.44,1.14,-1.61,*,,
A116...,0403.9+0811,4 03 56.7,+8 11 49,0.155 ± 0.024,-0.24 ± 0.14,-0.38 ± 0.23,9.3,5,-2,1,st,F2,5.5,0.33,-4.46,*,HR 1254,
A117...,0403.9-0211,4 03 58.3,-2 11 14,0.045 ± 0.014,+0.51 ± 0.32,-0.24 ± 0.31,10.4,*,*,1,C,,*,*,*,*,,R
A118...,0404.1+0249,4 04 09.6,+2 49 44,0.235 ± 0.030,+0.26 ± 0.12,-0.26 ± 0.14,14.1,5,1,2,st,F6,5.36,0.5,-4.34,*,HR 1257,R
A120...,0404.4+0518,4 04 28.1,+5 18 49,0.046 ± 0.013,+5.48 ± 4.27,-0.03 ± 0.28,2.8,-5,6,1,st,G7,12.44,0.84,-2.21,*,,
A122...,0405.5+0323,4 05 30.1,+3 23 57,0.074 ± 0.017,+2.90 ± 0.95,+0.12 ± 0.22,4.4,-2,5,1,st,G4,11.28,0.9,-2.47,*,,R
A123...,0405.6+0140,4 05 37.0,+1 40 33,0.051 ± 0.014,-0.40 ± 0.26,+1.01 ± 1.41,3.1,-2,-5,1,st,M3e,15.58,1.18,-0.91,*,,
