"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
B054...,0724.3+5857,7 24 21.3,+58 57 13,0.040 ± 0.013,+0.68 ± 0.30,+0.27 ± 0.32,2.4,-18,9,3,st,G8,15.06,0.63,-1.22,*,,R
B055...,0724.8+6659,7 24 53.9,+66 59 02,0.051 ± 0.014,+0.42 ± 0.32,+0.12 ± 0.34,11.9,-1,-9,1,"Gr, C","0.088,",*,*,*,250,4C 67.13,R
B056...,0725.9+6840,7 25 56.9,+68 40 44,0.046 ± 0.011,+0.49 ± 0.21,-0.09 ± 0.27,2.8,-7,-13,1,st,K6,12.21,0.82,-2.3,*,,
B059...,0726.5+6857,7 26 30.1,+68 57 41,0.172 ± 0.023,+0.38 ± 0.12,+0.15 ± 0.14,37.9,-3,-10,2,QSO,0.111,17.27,0.26,0.86,*,HB 890721+6,R
B063...,0728.1+6718,7 28 11.3,+67 18 15,0.111 ± 0.018,+0.55 ± 0.16,+0.21 ± 0.19,25.7,-8,1,1,S1,0.135,17.99,1.02,0.98,*,,R
B064...,0730.9+6343,7 30 54.7,+63 43 59,0.104 ± 0.019,+0.92 ± 0.08,+0.28 ± 0.17,6.2,-3,9,1,"st, S2","G5, 0.098",9.48,*,-3.04,*,,R
B066...,0731.1+6118,7 31 07.7,+61 18 15,0.043 ± 0.017,+0.34 ± 0.34,+0.26 ± 0.95,2.6,-12,7,1,"st, st","K0, K9",*,*,*,*,,R
B068...,0732.3+6441,7 32 20.9,+64 41 22,0.033 ± 0.011,+0.64 ± 0.30,+0.35 ± 0.39,2,28,25,1,st,K5e,13.76,1.07,-1.83,*,,
B069...,0732.3+6804,7 32 21.1,+68 04 02,0.033 ± 0.011,-0.75 ± 0.21,-0.96 ± 32.69,7.5,*,*,4,,,*,*,*,*,,R
B073...,0733.8+6430,7 33 51.4,+64 30 12,0.041 ± 0.013,+0.65 ± 0.38,+0.12 ± 0.33,7.7,*,*,1,C,0.117,*,*,*,48,,
B075...,0735.1+6540,7 35 08.9,+65 40 32,0.069 ± 0.016,-0.03 ± 0.23,-0.79 ± 0.42,4.1,-6,1,1,st,F5,8.6,0.1,-3.57,*,HD 59581,
B077...,0736.3+6535,7 36 23.7,+65 35 21,0.050 ± 0.014,+1.05 ± 0.17,+0.72 ± 0.18,11.3,*,*,4,,,*,*,*,*,,R
B079...,0736.9+5846,7 36 56.7,+58 46 08,0.112 ± 0.020,+0.44 ± 0.20,+0.45 ± 0.19,26.7,-2,-6,2,S1,0.039,14.79,*,-0.29,*,Mrk 9,
B080...,0737.4+5941,7 37 29.8,+59 41 02,0.061 ± 0.016,+0.81 ± 0.18,+0.35 ± 0.26,8.2,-1,0,1,Gr,0.044,14.17,*,-1.05,357,UGC 3927,R
B084...,0741.3+6241,7 41 19.6,+62 41 60,0.038 ± 0.014,-0.71 ± 0.33,+0.81 ± 1.98,2.2,15,23,1,st,K7,18.69,1.02,0.2,*,,R
B086...,0742.8+6109,7 42 49.8,+61 09 24,0.436 ± 0.034,+0.63 ± 0.06,+0.06 ± 0.09,26.1,-5,-3,1,st,K0,7.9,1.2,-3.05,29,HD 61396,R
B092...,0746.5+6540,7 46 31.8,+65 40 36,0.044 ± 0.015,+0.85 ± 0.20,+0.11 ± 0.38,10,14,26,1,S1,0.262,15.8,*,-0.31,*,,R
B094...,0747.3+6822,7 47 18.3,+68 22 57,0.103 ± 0.023,+0.84 ± 0.19,-0.04 ± 0.23,21.2,-5,6,1,S1,0.119,17.72,0.89,0.78,*,,
B095...,0747.4+6055,7 47 29.2,+60 55 52,0.548 ± 0.037,+0.40 ± 0.06,-0.08 ± 0.08,132.3,1,-9,2,S1,0.029,14.25,-0.91,0.19,*,Mrk 10,R
B098...,0748.1+5958,7 48 09.9,+59 58 01,0.047 ± 0.013,+0.90 ± 0.22,+0.19 ± 0.30,9,*,*,1,C,0.068,*,*,*,*,,R
B099...,0748.6+5940,7 48 36.3,+59 40 49,0.036 ± 0.011,+0.33 ± 0.31,+0.26 ± 0.36,6.7,*,*,1,C,,*,*,*,*,,R
B100...,0748.7+5941,7 48 45.6,+59 41 41,0.037 ± 0.011,+0.53 ± 0.32,+0.17 ± 0.34,6.9,*,*,1,C,,*,*,*,*,,R
B107...,0750.6+6241,7 50 39.5,+62 41 59,0.087 ± 0.015,+0.18 ± 0.18,+0.41 ± 0.21,20.4,-9,-12,1,S1,0.193,*,*,*,*,,R
B108...,0751.2+6329,7 51 14.5,+63 29 17,0.040 ± 0.011,+0.63 ± 0.22,+0.13 ± 0.27,9.3,-5,4,1,S1,0.345,17.38,0.54,0.29,*,,
B110...,0752.5+5732,7 52 30.3,+57 32 11,0.044 ± 0.012,+0.37 ± 0.25,+1.16 ± 0.45,2.6,-5,2,1,"st, st","G1, M4",11.84,0.6,-2.48,*,,R
B114...,0752.8+6304,7 52 48.3,+63 04 54,0.038 ± 0.011,-0.03 ± 0.29,-0.57 ± 0.73,2.3,-16,-5,2,st,F5,8.5,0.6,-3.88,*,HD 63408,
B116...,0753.3+5832,7 53 19.9,+58 32 54,0.040 ± 0.012,+0.87 ± 0.28,+0.11 ± 0.35,7.3,*,*,1,C,0.232,*,*,*,*,,
B118...,0753.9+6407,7 53 56.2,+64 07 34,0.048 ± 0.012,-0.30 ± 0.22,+0.87 ± 0.83,10.9,-7,-9,1,S1,0.219,16.8,0.19,0.13,*,,
B122...,0755.1+5819,7 55 11.5,+58 19 22,0.047 ± 0.013,-0.06 ± 0.26,-0.42 ± 0.33,2.8,-2,-10,1,st,G2,11.69,0.5,-2.5,*,,
B124...,0755.8+6509,7 55 52.4,+65 09 04,0.055 ± 0.013,+1.33 ± 0.21,+0.01 ± 0.22,3.3,-12,-8,2,st,G5,9.9,1,-3.15,*,BD +65 601,
B125...,0755.8+6855,7 55 53.6,+68 55 14,0.072 ± 0.020,-0.71 ± 0.17,+0.79 ± 1.78,4.3,2,46,1,st,M5e,15.51,1.08,-0.79,*,,R
B129...,0757.0+6305,7 57 00.1,+63 05 58,0.146 ± 0.019,+0.79 ± 0.08,+0.44 ± 0.12,6,-8,-3,1,ES,,16.21,0.15,-0.37,*,,R
B130...,0757.0+5832,7 57 04.3,+58 32 47,0.101 ± 0.018,+0.20 ± 0.17,-0.24 ± 0.20,23.2,-4,7,1,NL1,0.168,17.23,0.38,0.63,*,,R
B132...,0757.6+6557,7 57 36.3,+65 57 52,0.038 ± 0.010,+0.46 ± 0.24,+0.96 ± 0.58,8.7,25,-13,1,S1,0.383,17.13,0.3,0.16,*,,R
B133...,0758.7+6334,7 58 44.8,+63 34 17,0.033 ± 0.010,+0.40 ± 0.30,+0.96 ± 0.59,7.6,-44,36,1,S1,0.446,16.67,0.26,-0.08,*,,
B134...,0759.2+5722,7 59 15.2,+57 22 44,0.061 ± 0.014,+0.06 ± 0.23,+0.72 ± 0.23,3.7,-5,-12,1,st,G5,13.48,0.48,-1.67,*,2E 0755+573,
B136...,0759.4+6119,7 59 25.0,+61 19 32,0.039 ± 0.012,+0.41 ± 0.31,-0.41 ± 0.37,7.2,*,*,1,C,0.119,*,*,*,*,Abell 604,R
B138...,0800.1+6210,8 00 06.5,+62 10 13,0.034 ± 0.010,+0.15 ± 0.29,+1.04 ± 0.84,8,18,-1,1,BLL,,19.83,0.38,1.21,*,,R
B140...,0800.9+6417,8 00 58.1,+64 17 21,0.030 ± 0.010,+1.27 ± 0.25,+0.13 ± 0.29,6.9,-6,-4,1,S1,0.166,18.62,0.93,0.66,*,,
B141...,0801.0+6444,8 01 00.7,+64 44 44,0.054 ± 0.013,+1.13 ± 0.17,+0.12 ± 0.22,12.4,-9,-6,1,BLL,,18.76,0.92,0.97,*,,R
B142...,0801.0+6206,8 01 02.9,+62 06 41,0.078 ± 0.016,+0.85 ± 0.18,+0.81 ± 0.17,10.4,-8,30,1,Gin,0.075,16,*,-0.21,*,MC +111205,R
B143...,0801.3+5902,8 01 20.9,+59 02 53,0.102 ± 0.018,+0.23 ± 0.17,+0.03 ± 0.20,6.1,2,4,2,st,F2,5.7,0.46,-4.56,*,HD 65301,
B144...,0801.4+6845,8 01 27.8,+68 45 35,0.043 ± 0.012,+0.20 ± 0.27,+0.17 ± 0.35,2.6,-4,-4,1,st,F8,12.43,0.92,-2.25,*,,R
B146...,0801.9+6232,8 01 55.8,+62 32 13,0.031 ± 0.010,+0.59 ± 0.26,-0.43 ± 0.33,4.1,*,*,3,G,0.075,*,*,*,*,,R
B147...,0802.5+5943,8 02 30.0,+59 43 56,0.061 ± 0.013,+0.16 ± 0.23,+0.12 ± 0.27,3.6,0,-8,1,st,M2e,13.1,*,-1.83,*,,
B149...,0802.5+5716,8 02 35.0,+57 16 29,1.330 ± 0.055,+0.03 ± 0.04,+0.10 ± 0.06,79.6,-7,1,2,st,F8,6.49,0.62,-3.13,*,HR 3119,R
B150...,0802.7+6747,8 02 47.9,+67 47 41,0.075 ± 0.014,+0.61 ± 0.18,+0.17 ± 0.20,17.5,-6,-3,1,S1,0.209,17.98,1.12,0.8,83,,R
B153...,0803.2+6141,8 03 17.9,+61 41 06,0.048 ± 0.013,+0.03 ± 0.25,-0.61 ± 0.28,2.9,-26,-35,2,st,F8,9.1,0.7,-3.53,*,SAO 14417,
B155...,0804.4+6040,8 04 26.3,+60 40 08,0.034 ± 0.010,+0.73 ± 0.30,+0.14 ± 0.30,8,10,1,2,QSO,0.689,18.25,0.24,0.57,241,HB 890800+6,
B158...,0806.4+5931,8 06 24.7,+59 31 03,0.188 ± 0.022,+0.72 ± 0.10,+0.29 ± 0.12,42.2,-8,-3,1,BLL,,16.72,0.44,0.68,42,,R
B160...,0809.2+6639,8 09 17.0,+66 39 13,0.049 ± 0.012,+0.54 ± 0.23,-0.05 ± 0.27,2.9,-7,-11,1,st,G5,8.16,1.4,-3.9,*,,
B161...,0809.6+6518,8 09 40.2,+65 18 13,0.031 ± 0.010,-1.25 ± 0.53,+0.00 ± 0.00,1.3,-33,-6,1,ES,,15.45,-0.06,-1.35,*,PG 0805+655,R
B162...,0810.9+5714,8 10 59.9,+57 14 09,0.069 ± 0.015,+0.35 ± 0.19,+0.65 ± 0.20,15.8,-6,-3,1,QSO,0.613,17.44,0.29,0.55,407,,
B163...,0811.1+5730,8 11 09.1,+57 30 03,0.057 ± 0.014,+0.74 ± 0.22,+0.27 ± 0.25,13.1,2,-21,1,AGN,0.082,19.33,1,1.22,44,,R
B164...,0811.2+6319,8 11 16.4,+63 19 19,0.042 ± 0.012,+0.03 ± 0.26,+0.03 ± 0.37,2.5,-34,-25,1,st,M3,15.23,1.38,-1.14,*,,R
B167...,0811.9+5730,8 11 54.5,+57 30 56,0.040 ± 0.012,+0.32 ± 0.30,+0.04 ± 0.33,2.4,1,-5,1,st,F8,13.08,0.67,-2.01,*,,
B168...,0812.1+5717,8 12 08.8,+57 17 35,0.042 ± 0.012,+0.76 ± 0.27,+0.40 ± 0.26,9.5,-2,-2,3,"BLL, S2",",",18.15,1.16,0.61,*,,R
B169...,0812.4+6236,8 12 27.9,+62 36 24,0.936 ± 0.049,+0.19 ± 0.05,+0.34 ± 0.06,38.5,-2,1,1,ES,,13.28,0.22,-0.73,*,SU UMa,R
B174...,0814.5+6256,8 14 35.9,+62 56 05,0.046 ± 0.012,-0.26 ± 0.23,+0.20 ± 0.36,2.7,-27,-8,2,st,G7,9.2,0.7,-3.51,*,SAO 14468,R
B176...,0815.0+6625,8 15 00.3,+66 25 32,0.036 ± 0.011,+1.12 ± 0.24,+0.16 ± 0.30,6.5,*,*,1,C,0.146,*,*,*,114,Abell 629,R
B177...,0816.0+5819,8 16 00.9,+58 19 16,0.033 ± 0.011,+1.18 ± 0.30,+0.24 ± 0.28,7.8,-3,-45,1,LI,0.025,14.44,1,-0.96,*,I08119+582,
B178...,0816.2+6600,8 16 17.8,+66 00 52,0.031 ± 0.010,+0.75 ± 0.32,+0.76 ± 0.49,6.9,-20,3,1,S1,0.251,18.95,1.26,0.79,59,,
B179...,0816.3+5739,8 16 23.8,+57 39 03,0.104 ± 0.017,+0.31 ± 0.17,+0.09 ± 0.20,24.4,10,-6,1,BLL,,17.34,0.47,0.69,65,,R
B181...,0816.6+6208,8 16 40.9,+62 08 44,0.031 ± 0.010,+0.46 ± 0.40,+0.95 ± 0.86,7.1,-15,14,1,BLL,,18.57,0.22,0.65,33,,R
B183...,0818.3+5923,8 18 18.6,+59 23 03,0.031 ± 0.010,+0.90 ± 0.19,-0.05 ± 0.31,1.9,-15,-6,1,st,K0e,13.94,1.01,-1.78,*,,R
B184...,0818.8+6029,8 18 53.0,+60 29 49,0.040 ± 0.012,-0.38 ± 0.26,-0.75 ± 0.76,2.4,-10,13,2,st,F0,8.5,0.2,-3.85,*,HD 69135,
B185...,0819.1+6842,8 19 09.6,+68 42 19,0.048 ± 0.012,-0.28 ± 0.22,+0.95 ± 0.78,2.9,3,-22,2,st,K0e,13.67,1.02,-1.7,*,,
B186...,0819.2+6429,8 19 17.9,+64 29 44,0.156 ± 0.020,+0.38 ± 0.13,+0.12 ± 0.15,34.8,2,3,1,S1,0.038,15.5,*,0.11,78,MC +111073,
B188...,0819.3+6230,8 19 18.9,+62 30 35,0.038 ± 0.012,-0.40 ± 0.25,+0.06 ± 0.53,2.3,11,9,2,st,G8,5.7,0.9,-4.99,*,HD 69148,
B189...,0819.4+6754,8 19 24.2,+67 54 55,0.030 ± 0.010,+0.65 ± 0.23,-0.15 ± 0.32,1.8,-4,-8,1,"st, C","M5e, 0.291",*,*,*,*,,R
B190...,0819.4+6337,8 19 26.3,+63 37 24,0.086 ± 0.016,+1.11 ± 0.09,+0.38 ± 0.15,11.3,5,-3,1,G,0.119,15,*,-0.58,*,K81501+634,R
B192...,0820.4+5744,8 20 25.7,+57 44 44,0.110 ± 0.019,-0.21 ± 0.16,-0.40 ± 0.28,6.6,0,9,2,st,F4,5.9,0.38,-4.45,*,HD 69548,
B193...,0820.6+6504,8 20 41.3,+65 04 12,0.041 ± 0.012,-0.33 ± 0.31,+0.75 ± 0.77,2.5,-11,-17,1,st,M3e,14.11,1.47,-1.59,*,,
B194...,0821.0+6526,8 21 04.9,+65 26 33,0.077 ± 0.016,-0.26 ± 0.18,-0.25 ± 0.30,4.6,8,0,2,st,G0,8.03,0.73,-3.76,*,HD 69433,
B195...,0823.2+6127,8 23 15.0,+61 27 46,0.197 ± 0.025,+0.07 ± 0.12,+0.06 ± 0.16,11.8,-8,9,2,st,G5,8.5,0.6,-3.16,*,HD 70050,
B196...,0824.1+6136,8 24 07.3,+61 36 10,0.065 ± 0.014,+0.64 ± 0.18,+0.12 ± 0.23,14.7,6,-10,1,S1,0.401,18.18,0.23,0.81,*,,
B197...,0824.4+6249,8 24 26.8,+62 49 28,0.035 ± 0.011,+0.90 ± 0.26,-0.06 ± 0.32,7.8,10,19,1,LI,0.097,18.05,0.75,0.48,*,,
B199...,0824.5+6453,8 24 32.3,+64 53 29,0.295 ± 0.027,-0.11 ± 0.09,+0.36 ± 0.13,17.7,37,1,1,st,K5e,8.6,0.6,-2.94,*,AG +65 432,R
B200...,0825.2+6011,8 25 13.5,+60 11 48,0.035 ± 0.012,-0.37 ± 0.27,-0.86 ± 1.07,2.1,6,-6,1,"st, LI","K8e, 0.12",15.62,1.1,-1.06,*,,R
B201...,0825.2+6442,8 25 17.5,+64 42 26,0.036 ± 0.011,-0.82 ± 0.20,-1.89 ± 2.83,2.2,15,-25,2,st,F5,7.5,0.4,-4.3,*,HD 70312,
B203...,0825.5+6157,8 25 34.7,+61 57 21,0.063 ± 0.014,+0.67 ± 0.22,-0.29 ± 0.24,14,-27,-7,1,QSO,0.536,17.48,0.2,0.51,615,HB 890821+6,
B204...,0826.5+6835,8 26 33.9,+68 35 49,0.036 ± 0.011,-0.27 ± 0.27,+0.68 ± 0.91,2.1,28,0,2,st,F5,9,-0.2,-3.7,*,HD 70399,
B205...,0827.5+5735,8 27 34.3,+57 35 02,0.032 ± 0.010,-0.35 ± 0.28,+0.26 ± 0.46,1.9,27,27,1,st,G1,12.73,0.69,-2.25,*,,
B206...,0828.1+6432,8 28 07.1,+64 32 23,0.041 ± 0.013,-0.33 ± 0.23,+0.33 ± 0.42,2.5,-1,-13,1,st,M1e,11.81,1.43,-2.51,*,,
B207...,0828.6+6602,8 28 38.6,+66 02 29,0.046 ± 0.013,-0.27 ± 0.23,-0.02 ± 0.40,2.7,-14,10,1,"st, C","M0e,",12.69,1.63,-2.11,*,Abell 665,R
B209...,0830.2+6043,8 30 15.8,+60 43 00,0.093 ± 0.017,-0.38 ± 0.16,+0.45 ± 0.27,5.6,-7,-10,2,st,G3,3.4,0.8,-5.52,*,HR 3323,R
C001...,1015.9+0109,10 15 57.7,+1 09 13,0.049 ± 0.013,+0.34 ± 0.26,+0.06 ± 0.30,9.9,11,0,2,QSO,0.779,16.12,*,-0.19,193,LBQS 1013+1,
C003...,1016.3-0639,10 16 21.0,-6 39 30,0.033 ± 0.011,-0.16 ± 0.28,-0.12 ± 0.42,2,3,-5,1,st,M4e,13.44,*,-1.96,*,,
C005...,1016.4-0051,10 16 27.4,-0 51 28,0.070 ± 0.014,-0.13 ± 0.19,+0.54 ± 0.25,4.2,8,12,1,st,M0e,12.65,*,-1.95,*,,
C006...,1016.4-0520,10 16 28.7,-5 20 26,3.980 ± 0.108,-1.00 ± 0.00,+0.79 ± 2.81,238.2,3,8,1,st,K9,11.69,*,-0.58,*,REJ 1016-05,R
C007...,1016.8-0047,10 16 53.2,-0 47 55,0.030 ± 0.010,+0.33 ± 0.33,+0.19 ± 0.41,6.8,*,*,1,"G, st","0.071, G1",*,*,*,*,,R
C009...,1017.5-0808,10 17 31.0,-8 08 58,0.080 ± 0.014,+0.66 ± 0.18,+0.24 ± 0.18,4.8,3,8,1,st,G8,9.4,*,-3.19,*,BD-07 3000,
C011...,1018.1+0043,10 18 07.7,+0 43 00,0.051 ± 0.012,+0.38 ± 0.24,+0.17 ± 0.27,3,-9,1,1,st,F8,9.8,0.6,-3.23,*,BD +01 2420,R
C015...,1018.7-0101,10 18 46.7,-1 01 00,0.082 ± 0.017,+1.50 ± 0.32,+0.15 ± 0.27,14.9,*,*,1,C,0.094,*,*,*,*,,
C017...,1019.1-0537,10 19 06.8,-5 37 03,0.123 ± 0.017,+0.35 ± 0.14,+0.20 ± 0.17,28.6,-5,11,1,S1,0.076,17.1,*,0.67,*,,
C018...,1019.5-0320,10 19 32.8,-3 20 14,0.254 ± 0.029,+0.23 ± 0.11,+0.09 ± 0.15,58.4,0,0,1,S1,0.049,15.9,*,0.5,*,Mrk 1253,
C020...,1019.5-0506,10 19 33.4,-5 06 06,0.118 ± 0.018,+0.21 ± 0.15,-0.11 ± 0.19,7.1,8,12,1,st,K0,6.37,0.9,-4.23,*,HR 4059,
C021...,1019.5-0513,10 19 34.7,-5 13 44,0.036 ± 0.011,-0.15 ± 0.27,+0.22 ± 0.39,2.2,-17,-7,2,st,F2,7.6,0.3,-4.26,*,HD 89507,
C022...,1019.7-0016,10 19 44.3,-0 16 30,0.031 ± 0.011,+0.21 ± 0.34,-0.36 ± 0.36,7.3,-44,7,1,S2,0.075,19.35,0.25,0.97,*,,R
C023...,1019.9-0841,10 19 56.4,-8 41 49,0.088 ± 0.016,+0.57 ± 0.17,+0.09 ± 0.20,3.6,-6,10,1,ES,,10.39,-0.02,-2.92,*,RW Sex,R
C024...,1020.0-0754,10 20 00.6,-7 54 01,0.052 ± 0.013,+0.30 ± 0.22,+0.38 ± 0.24,3.1,-4,0,1,st,K2,10.87,*,-2.79,*,,
C026...,1020.5-0228,10 20 32.1,-2 28 30,0.062 ± 0.016,+0.73 ± 0.21,-0.21 ± 0.25,8.2,0,-5,1,G,0.058,14.74,*,-0.82,*,,R
C027...,1020.5-0550,10 20 33.0,-5 50 00,0.032 ± 0.010,+0.90 ± 0.34,-0.82 ± 0.18,6,*,*,1,C,0.404,*,*,*,*,,R
C031...,1021.6-0327,10 21 39.8,-3 27 08,0.398 ± 0.031,+0.35 ± 0.08,+0.16 ± 0.10,92.3,-6,5,1,S1,0.041,15.7,*,0.62,*,Ark 241,
C035...,1022.3+0128,10 22 23.4,+1 28 03,0.038 ± 0.013,+0.41 ± 0.32,-0.53 ± 0.32,2.3,-36,-1,1,st,F2,8.6,0.8,-3.83,*,HD 89895,
C038...,1022.7-0112,10 22 43.9,-1 12 56,0.391 ± 0.036,+0.40 ± 0.09,+0.14 ± 0.11,92.5,5,7,1,BLL,,17.19,0.38,1.21,51,PMN 1022-1,R
C039...,1023.2-0637,10 23 15.4,-6 37 04,0.064 ± 0.016,+0.96 ± 0.15,+0.27 ± 0.32,11.9,*,*,1,C,,*,*,*,*,Abell 1001,
C040...,1023.7-0555,10 23 45.9,-5 55 17,0.034 ± 0.011,+0.12 ± 0.30,-0.75 ± 0.25,4.6,8,7,1,G,0.423,18.09,*,0.27,*,,
C041...,1024.4-0143,10 24 26.9,-1 43 01,0.050 ± 0.013,+0.51 ± 0.23,-0.04 ± 0.28,11.9,-20,-6,1,AGN,0.093,*,*,*,*,,R
C042...,1024.8+0035,10 24 48.5,+0 35 57,0.062 ± 0.016,+0.70 ± 0.21,-0.44 ± 0.26,14.1,-2,20,1,S1,0.095,16.54,0.95,0.13,*,,
C045...,1026.3+0134,10 26 23.0,+1 34 12,0.059 ± 0.016,+0.40 ± 0.26,+0.46 ± 0.22,13.3,2,14,1,S1,0.149,17.31,0.57,0.42,*,,
C046...,1026.9-0621,10 26 59.7,-6 21 01,0.044 ± 0.013,-0.43 ± 0.23,-0.66 ± 1.89,2.7,8,22,1,st,M6e,15.97,*,-0.82,*,,
C047...,1027.0+0048,10 27 03.4,+0 48 39,0.031 ± 0.012,-0.23 ± 0.34,+1.28 ± 2.08,1.8,-9,8,1,st,G0,9.1,0.7,-3.73,*,SAO 118308,
C049...,1027.1-0318,10 27 07.4,-3 18 53,0.036 ± 0.011,+0.73 ± 0.24,+0.41 ± 0.25,6.8,*,*,1,C,0.034,*,*,*,*,MKW 02s,R
C052...,1027.4-0131,10 27 29.0,-1 31 17,0.040 ± 0.012,-0.42 ± 0.25,-0.08 ± 0.56,9.6,-18,5,2,QSO,0.322,17.25,0.41,0.25,*,LBQS 1024-1,
C053...,1027.4-0351,10 27 29.9,-3 51 03,0.065 ± 0.015,-0.42 ± 0.21,+0.72 ± 0.91,3.9,-2,-2,1,st,K7e,12.47,*,-2.05,*,,
C054...,1027.9-0648,10 27 58.8,-6 48 10,0.169 ± 0.023,+0.75 ± 0.14,+0.38 ± 0.17,31.3,*,*,1,C,0.116,*,*,*,*,Abell 1023,R
C055...,1028.0-0117,10 28 01.7,-1 17 34,0.032 ± 0.010,+0.84 ± 0.32,+1.15 ± 0.65,1.9,-3,3,1,"st, st","K1, K3",11.98,0.93,-2.55,*,,R
C057...,1028.6-0844,10 28 37.7,-8 44 24,0.035 ± 0.011,+0.73 ± 0.32,+0.72 ± 0.26,8.3,-15,15,1,QSO,4.28,21,*,1.69,270,PKS B1026-0,R
C058...,1028.6-0127,10 28 38.4,-1 27 45,0.059 ± 0.013,+0.27 ± 0.24,-0.21 ± 0.26,3.5,*,*,1,"st, st","K5e, G4",*,*,*,*,,R
C059...,1028.8+0139,10 28 48.6,+1 39 03,0.049 ± 0.014,+0.29 ± 0.29,-0.26 ± 0.36,11.2,-8,14,1,S1,0.141,19.74,1.39,1.32,*,,
C060...,1028.9+0050,10 28 55.8,+0 50 32,0.031 ± 0.011,-0.53 ± 0.26,+1.05 ± 1.67,1.8,-6,-6,1,st,M2,9.63,1.52,-3.52,*,BD +01 2447,R
C061...,1029.2-0159,10 29 13.8,-1 59 54,0.048 ± 0.013,-0.30 ± 0.24,+0.25 ± 0.41,2.9,2,3,1,st,K4e,11.58,1.18,-2.54,*,G162-61,R
C062...,1029.7+0129,10 29 42.1,+1 29 32,0.363 ± 0.032,-0.15 ± 0.08,-0.12 ± 0.13,21.7,0,4,1,st,G5,6.85,0.45,-3.55,*,HD 90905,
C065...,1030.4-0834,10 30 29.8,-8 34 05,0.036 ± 0.011,+0.84 ± 0.20,+0.62 ± 0.28,8.4,-16,-13,1,AGN,0.207,16.61,*,-0.06,*,,R
C066...,1030.8-0243,10 30 51.4,-2 43 35,0.033 ± 0.011,+0.94 ± 0.28,-0.05 ± 0.34,7.9,9,-20,1,S2,0.029,15.34,*,-0.6,*,,R
C068...,1030.9+0255,10 30 54.2,+2 55 46,0.035 ± 0.012,+0.73 ± 0.31,+0.83 ± 0.51,7.1,*,*,4,,,*,*,*,*,,R
C071...,1032.6-0653,10 32 39.5,-6 53 25,0.226 ± 0.025,+0.50 ± 0.10,+0.39 ± 0.11,13.5,-3,10,1,st,G0,9.6,0.9,-2.66,*,HD 91351,
C074...,1034.8-0102,10 34 53.5,-1 02 07,0.034 ± 0.011,+1.14 ± 0.36,+0.14 ± 0.30,8.4,-56,3,1,S1,0.329,17.55,0.34,0.31,*,,
C077...,1035.7+0216,10 35 46.3,+2 16 01,0.064 ± 0.014,+0.33 ± 0.21,-0.43 ± 0.26,3.8,-11,2,1,st,M2e,14.16,1.21,-1.39,*,,
C078...,1035.9-0713,10 35 54.9,-7 13 08,0.054 ± 0.013,+0.71 ± 0.23,+0.15 ± 0.25,12.6,-12,35,1,S1,0.223,19.65,*,1.33,*,,
C080...,1036.2-0305,10 36 14.6,-3 05 58,0.096 ± 0.017,+0.53 ± 0.17,+0.53 ± 0.16,13,-2,7,1,G,0.132,17.01,*,0.29,*,,R
C082...,1036.9-0850,10 36 59.9,-8 50 26,0.135 ± 0.021,-0.27 ± 0.14,-0.59 ± 0.20,8.1,-6,-5,1,st,F9,7.03,0.62,-3.91,*,HD 91962,
C084...,1037.7-0548,10 37 43.0,-5 48 49,0.072 ± 0.015,-0.10 ± 0.20,-0.29 ± 0.30,4.3,-12,8,1,st,M2e,12.86,*,-1.85,*,,
C085...,1038.1-0615,10 38 06.8,-6 15 51,0.039 ± 0.012,+0.81 ± 0.25,+0.27 ± 0.33,2.3,-6,-7,1,st,F7,11.14,*,-2.81,*,,
C086...,1038.4-0806,10 38 28.0,-8 06 14,0.064 ± 0.016,-0.19 ± 0.22,-0.17 ± 0.34,14.1,-6,17,1,S1,0.216,15.67,*,-0.21,*,,
C089...,1039.7-0841,10 39 44.1,-8 41 25,0.195 ± 0.025,+0.85 ± 0.09,+0.66 ± 0.12,25.4,9,-14,1,G,0.065,13.94,*,-0.65,*,MC-012730,R
C090...,1039.7-0528,10 39 46.4,-5 28 39,0.038 ± 0.012,+1.05 ± 0.29,+0.27 ± 0.30,8.7,-2,22,1,S1,0.021,13.91,*,-1.12,*,MC-012731,
C091...,1039.7-0507,10 39 47.3,-5 07 03,0.150 ± 0.021,-0.24 ± 0.14,-0.17 ± 0.22,6.2,6,-5,1,ES,,18.5,*,0.56,*,,R
C092...,1039.7+0232,10 39 47.3,+2 32 02,0.044 ± 0.013,+0.93 ± 0.32,+0.23 ± 0.29,9,-9,29,1,S1,0.155,19.83,1.3,1.26,*,,
C095...,1041.3-0144,10 41 23.6,-1 44 26,0.152 ± 0.022,-0.38 ± 0.13,-0.11 ± 0.25,9.1,-15,-3,2,st,K1,6.26,0.88,-4.17,*,HR 4182,
C097...,1041.5-0051,10 41 32.8,-0 51 01,0.036 ± 0.012,+0.91 ± 0.39,+0.17 ± 0.31,8.6,0,-2,1,S1,0.304,19.18,1.02,0.98,*,,
