index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
38,NS,NS0044,XMMU J004245.2+41172,3904.6,49.26,9049.175,2013-01-21T17:34:10,7.351e-06,1.0,8.0,0.005513666666666667,0.0050669999999999995,0.005226333333333333,0.00014375666666666665,0.4623333333333333,0.49533333333333335,0.20400000000000004,0.0,12.998540619535657,13.298243832664415,13.179709194108623,4.36444e-05,8.604019999999999e-06,1.16022e-05,0.4347,0.6633,0.2773,,,,,,,,,,,,,,,,,0.594,0.2592,0.8463,0.4428,0.604,-0.0456,,,,,,,,,,,,,,,,,,,,
39,NS,NS0044,XMMU J004245.2+41172,3907.5,49.26,9049.175,2013-02-18T08:21:42,7.351e-06,1.0,8.0,0.0035540000000000003,0.0024823333333333334,0.002783666666666667,0.00028683333333333333,0.318,0.4343333333333333,0.36533333333333334,0.3333333333333333,13.339096594003276,13.934390412215969,13.739985885393285,3.93346e-05,4.7666e-06,7.218599999999999e-06,-0.6209,-0.8607,-0.5072,,,,,,,,,,,,,,,,,-0.3092,-0.8601,-0.7064,-0.965,-0.2842,-0.6889,,,,,,,,,,,,,,,,,,,,
40,NS,NS0044,XMMU J004245.2+41172,3907.5,49.26,9049.175,2013-03-12T01:10:47,7.351e-06,1.0,8.0,0.007100500000000001,0.005149999999999999,0.005430249999999999,0.00037819000000000004,0.33075,0.11975,0.33325,0.25,12.97256068807604,13.271581281602767,13.15507571253133,5.641999999999999e-05,1.2568e-05,1.6357999999999998e-05,0.1062,-0.0625,-0.1699,,,,,,,,,,,,,,,,,0.2867,-0.0806,0.1543,-0.268,0.0443,-0.3616,,,,,,,,,,,,,,,,,,,,
41,NS,NS0044,XMMU J004245.2+41172,4401.1,49.26,9049.175,2000-12-13T01:57:13,7.351e-06,1.0,8.0,0.001485,0.001067,0.001122,9.383e-05,0.078,0.278,0.425,0.0,13.724688645458189,14.33542401965842,13.969246501065527,6.0688e-06,6.70918e-07,1.71778e-06,0.6109,0.4272,-0.326,,,,,,,,,,,,,,,,,0.8688,0.2342,0.7739,-0.0194,0.2005,-0.7314,,,,,,,,,,,,,,,,,,,,
42,NS,NS0044,XMMU J004245.2+41172,4694.2,49.26,9049.175,2001-01-13T10:51:51,7.351e-06,1.0,8.0,,,,,,,,,14.166996401162896,16.022162121724858,14.743402507237155,1.3181e-06,9.7675e-09,1.85575e-07,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.1918,,,,,,,,,,,,,,,,,,,,,,,,
43,NS,NS0044,XMMU J004245.2+41172,3891.2,49.26,9049.175,2003-11-09T07:38:49,7.351e-06,1.0,8.0,0.010160250000000001,0.008018174999999999,0.00910625,0.000905225,0.58175,0.60925,0.37075,1.5,13.018961014502029,13.226052734990343,13.126423664160406,3.8012e-05,1.90784e-05,2.3922e-05,0.2911,0.3848,0.0987,,,,,,,,,,,,,,,,,0.4366,0.1368,0.5603,0.2017,0.3167,-0.1118,,,,,,,,,,,,,,,,,,,,
44,NS,NS0044,XMMU J004245.2+41172,3817.9,49.26,9049.175,2003-11-26T22:40:42,7.351e-06,1.0,8.0,0.013451000000000001,0.0107855,0.011371,0.0006503499999999998,0.29725,0.43075,0.22649999999999998,0.0,12.896695833916915,13.053636174994407,12.976599370371593,4.4854e-05,2.6614e-05,3.1628e-05,0.2186,0.0924,-0.1299,,,,,,,,,,,,,,,,,0.3454,0.0868,0.2392,-0.0531,0.0231,-0.2742,,,,,,,,,,,,,,,,,,,,
45,NS,NS0044,XMMU J004245.2+41172,3894.7,49.26,9049.175,2004-10-31T01:59:14,7.351e-06,1.0,8.0,0.01148825,0.00650275,0.0081765,0.0012313250000000001,0.46625,0.5235,0.40675000000000006,0.25,13.263507883776198,13.678625298129921,13.504566678426013,5.0888e-05,1.5105200000000002e-05,2.1512e-05,-0.0162,-0.3373,-0.3161,,,,,,,,,,,,,,,,,0.2492,-0.2917,-0.0793,-0.5653,-0.0781,-0.5215,,,,,,,,,,,,,,,,,,,,
46,NS,NS0044,XMMU J004245.2+41172,23238.3,49.26,9049.175,2006-12-04T21:35:40,7.351e-06,1.0,8.0,0.0052657500000000005,0.0034135000000000003,0.003853,0.00047774749999999995,0.70675,0.7425,0.43675,1.0,13.355246390493395,13.509960010166678,13.425575150338883,1.8631200000000002e-05,1.0522400000000001e-05,1.4581199999999999e-05,0.0362,-0.0762,-0.1112,13.113452876608894,1.798,12.34,1.895e-05,0.723,13.281083313985139,13.22643295107394,13.378719832449585,0.6037,1.775e-06,4.29e-05,3.226,13.119357873595716,7.165,4.131,0.794,0.1305,-0.0593,0.0319,-0.1805,-0.0094,-0.2092,13.066107964235789,13.160584807316106,2.075,1.546,23.36,2.677,2.514e-05,1.438e-05,2.9e-05,6.358e-05,13.203356296214883,13.076755981369724,14.68,4.449,11.91,,0.6773,0.5375,1.867,
47,NS,NS0044,XMMU J004245.2+41172,4134.2,49.26,9049.175,2007-11-03T04:48:22,7.351e-06,1.0,8.0,0.013528,0.003001,0.004197333333333333,0.0024969099999999998,0.222,0.07866666666666668,0.241,0.0,13.474312653403434,14.079613671126442,13.853580464447923,3.72614e-05,5.13e-06,8.443400000000001e-06,0.9994,-0.1162,-0.9994,,,,,,,,,,,,,,,,,1.0,0.6202,0.1993,-0.4041,-0.669,-1.0,,,,,,,,,,,,,,,,,,,,
