ID,Name,RA,DEC
 NGC-6517,              ,18 01 50.52,-08 57 31.6
 Terzan-10,              ,18 03 36.4,-26 04 21
 NGC-6522,              ,18 03 34.02,-30 02 02.3
 NGC-6535,              ,18 03 50.51,-00 17 51.5
 NGC-6528,              ,18 04 49.64,-30 03 22.6
 NGC-6539,              ,18 04 49.68,-07 35 09.1
 NGC-6540, Djorg 3      ,18 06 08.6,-27 45 55
 NGC-6544,              ,18 07 20.58,-24 59 50.4
 NGC-6541,              ,18 08 02.36,-43 42 53.6
 2MS-GC01, 2MASS-GC01   ,18 08 21.81,-19 49 47
 ESO-SC06, ESO280-SC06  ,18 09 06.0,-46 25 23
 NGC-6553,              ,18 09 17.60,-25 54 31.3
 2MS-GC02, 2MASS-GC02   ,18 09 36.50,-20 46 44
 NGC-6558,              ,18 10 17.60,-31 45 50.0
 IC-1276, Pal 7        ,18 10 44.20,-07 12 27.4
 Terzan-12,              ,18 12 15.8,-22 44 31
 NGC-6569,              ,18 13 38.80,-31 49 36.8
 BH-261, AL 3         ,18 14 06.6,-28 38 06
 GLIMPSE-02,              ,18 18 30.5,-16 58 38
 NGC-6584,              ,18 18 37.60,-52 12 56.8
 NGC-6624,              ,18 23 40.51,-30 21 39.7
 NGC-6626, M 28         ,18 24 32.81,-24 52 11.2
 NGC-6638,              ,18 30 56.10,-25 29 50.9
 NGC-6637, M 69         ,18 31 23.10,-32 20 53.1
 NGC-6642,              ,18 31 54.10,-23 28 30.7
 NGC-6652,              ,18 35 45.63,-32 59 26.6
 NGC-6656, M 22         ,18 36 23.94,-23 54 17.1
 Pal-8,              ,18 41 29.9,-19 49 33
 NGC-6681, M 70         ,18 43 12.76,-32 17 31.6
 GLIMPSE-01,              ,18 48 49.7,-01 29 50
 NGC-6712,              ,18 53 04.30,-08 42 22.0
 NGC-6715, M 54         ,18 55 03.33,-30 28 47.5
 NGC-6717, Pal 9        ,8 55 06.04,-22 42 05.3
 NGC-6723,              ,18 59 33.15,-36 37 56.1
 NGC-6749,              ,19 05 15.3,+01 54 03
 NGC-6752,              ,19 10 52.11,-59 59 04.4
 NGC-6760,              ,19 11 12.01,+01 01 49.7
 NGC-6779, M 56         ,19 16 35.57,+30 11 00.5
 Terzan-7,              ,19 17 43.92,-34 39 27.8
 Pal-10,              ,19 18 02.1,+18 34 18
 Arp-2,              ,19 28 44.11,-30 21 20.3
 NGC-6809, M 55         ,19 39 59.71,-30 57 53.1
 Terzan-8,              ,19 41 44.41,-33 59 58.1
 Pal-11,              ,19 45 14.4,-08 00 26
 NGC-6838, M 71         ,19 53 46.49,+18 46 45.1
 NGC-6864, M 75         ,20 06 04.69,-21 55 16.2
 NGC-6934,              ,20 34 11.37,+07 24 16.1
 NGC-6981, M 72         ,20 53 27.70,-12 32 14.3
 NGC-7006,              ,21 01 29.38,+16 11 14.4
 NGC-7078, M 15         ,21 29 58.33,+12 10 01.2
 NGC-7089, M 2          ,21 33 27.02,-00 49 23.7
 NGC-7099, M 30         ,21 40 22.12,-23 10 47.5
 Pal-12,              ,21 46 38.84,-21 15 09.4
 Pal-13,              ,23 06 44.44,+12 46 19.2
 NGC-7492,              ,23 08 26.63,-15 36 41.4
