index,class,c0,c1,c2
0,NS,0.2369491909394301,0.14036833599358914,-0.1625186383410594
1,BH,-0.4439728879675548,-0.3099151798551674,0.3261203144080582
2,NS,0.21592711139484255,0.15533716335340014,-0.14835293309814332
3,NS,0.18350694358712424,0.15337414292284907,-0.13077186414103467
4,NS,0.21780352755410695,0.09138343309708837,-0.16772725480870754
5,NS,0.2266384942039429,0.13843760985383494,-0.16765341563714384
6,NS,0.2369491237923668,0.14036833971073975,-0.16251873139639825
7,BH,-0.5010968902950155,-0.2903080035064425,0.3333178032818771
8,NS,0.2369491854871713,0.14036838598013515,-0.1625186038813264
9,NS,0.23694912478908356,0.14036838593207707,-0.16251869088179816
10,BH,-0.4942009320048014,-0.28906958070748034,0.34110024102232755
11,NS,0.2382499217997048,0.14084137515158165,-0.161316458153065
12,NS,0.2369491063599903,0.14036838221756492,-0.16251872042527865
13,NS,0.2152196309115358,0.15668928702611648,-0.1191149365114299
14,BH,-0.4984516325620994,-0.2912572157415009,0.3402769732712774
15,NS,0.23636614454124985,0.1416893072259254,-0.1612679448643895
16,NS,0.2369491486147649,0.14036837716490785,-0.16251866416173458
17,NS,0.1804482368783863,0.024964950184518338,-0.1266663172184081
18,NS,0.236949132893815,0.14036834508940482,-0.1625187138088202
19,NS,0.2369491512261981,0.14036837811683864,-0.16251865961543474
20,NS,0.2357314720550535,0.14101189898848862,-0.16366112355366588
21,BH,-0.4990426915433913,-0.292673245852945,0.3406704593434289
22,NS,0.23694914552216245,0.14036835386447458,-0.16251868829623287
23,BH,-0.4996321115179009,-0.29092740875024103,0.3388271853133164
24,BH,0.03341225827324132,-0.1059534721618305,0.07549297237460842
25,BH,-0.4914528995029758,-0.2926044075629045,0.34190157521625764
26,BH,-0.4999404149033312,-0.292929539081768,0.34145887862691965
27,NS,0.23600048879028585,0.14178611885230175,-0.16313487745238167
28,NS,0.2369491795702243,0.14036834166201226,-0.16251864983585934
29,NS,0.23770068523118296,0.13957149217217554,-0.16097017175101347
30,NS,0.17579274533898331,0.021129881234983588,-0.10905575193481692
31,NS,0.2369491257967615,0.1403683245715445,-0.16251874132717933
32,BH,-0.4903263521064493,-0.30237414606337776,0.33363797850210586
33,BH,-0.03438616446979602,-0.05281006646540386,0.19747010121910935
34,NS,0.2369491018662889,0.14036840031006992,-0.16251871156344186
35,BH,0.06993722029700261,-0.040615490563601635,0.07897057725959071
36,NS,0.21284316194053024,0.14386836172365966,-0.16846375528666568
37,NS,0.2373854942968313,0.1392700286569764,-0.16127600308849488
38,NS,0.23558288331571065,0.1325010849404349,-0.16408377178779515
39,NS,0.2369490812371693,0.1403683901257181,-0.16251874972970887
40,NS,0.23032095312245865,0.13449920855259234,-0.16900395820641612
41,BH,-0.4968299612419762,-0.3029874925233144,0.32390739112313155
42,NS,0.2369491749877923,0.14036836056502916,-0.16251864041568378
43,BH,-0.4723795895708266,-0.2574493052278005,0.3041605631043331
44,NS,0.13382933492378976,0.04166602943122577,-0.10350756340070806
45,NS,0.23372069769390605,0.14029574099302894,-0.1617065979616054
46,BH,-0.4982276755246176,-0.2957328414826103,0.3392370388436473
47,BH,-0.5006557384755682,-0.2935546432286722,0.3399287382077608
48,BH,-0.4741977526103941,-0.2972962220231539,0.278270594790073
49,BH,-0.4995826248593775,-0.2947023575068238,0.33813442481823525
50,NS,0.22331919682762288,0.1238299315355664,-0.17103220859239548
51,NS,0.2209401025263157,0.15100321619881368,-0.15844016409304698
52,NS,0.2323418363139264,0.1376964908916093,-0.16345726421469156
53,NS,0.2369491600088826,0.14036832903262342,-0.16251868854068788
54,NS,0.2392609944521901,0.1374654492549716,-0.1548586747583296
55,BH,-0.49983794449466,-0.2980476139486522,0.33712401915373497
56,NS,0.2369490812237064,0.14036837843288172,-0.16251875963685875
57,BH,0.2256764171015735,0.13284566895629174,-0.1737630555142333
58,NS,0.2371902313808729,0.14298563377086373,-0.15933422635941885
59,NS,0.2372082147974773,0.13667158065534435,-0.16164484054281447
60,BH,-0.5006739379603461,-0.3014647424044955,0.33246349791772484
61,BH,-0.5030972216337949,-0.2929275937497033,0.3343043206845801
62,NS,0.23355149615601534,0.14131083099984024,-0.16174311954632256
63,NS,0.2395773787152453,0.1380710141530444,-0.15723754822473107
64,BH,0.2398492958976829,0.1331394220546737,-0.1500283901702732
65,NS,0.2199893230371248,0.13843417816174985,-0.14963693650301566
66,NS,0.2369491040943252,0.14036841422769678,-0.16251869660220472
67,NS,0.2404868996900883,0.13298980994048465,-0.15027021643125493
68,NS,0.2369491715886017,0.14036835341070367,-0.16251865133559798
69,BH,-0.4963124291046558,-0.28864076271477523,0.3305932057062745
70,NS,0.1196826633055866,-0.046478371717043776,-0.08634461163830097
71,NS,0.22551022652643435,0.14511242234139352,-0.16516902705844413
72,NS,0.2325022875199862,0.14366080491875227,-0.1621139708645986
73,NS,0.16933490335427648,0.009399271892140569,0.018782379096076
74,NS,0.2369491112056793,0.14036838211113745,-0.1625187135731422
75,NS,0.2379101364575547,0.12990358010332256,-0.15826948199113816
76,NS,-0.3159530212626502,-0.19897608829531366,0.28036199300401304
77,BH,-0.4965478235301403,-0.2951872943489686,0.32576504945688944
78,NS,0.13399493242142246,0.17786889604855333,-0.027446324572436454
79,NS,0.21966162646564494,0.10987871651920833,-0.16602269322236193
80,NS,0.2382318681004339,0.1417632517748797,-0.15889279982551965
81,NS,0.2369598254142113,0.14291512688385422,-0.15931007752708215
82,NS,-0.12348410721114993,-0.0171978770213963,0.24645473006400706
83,NS,0.2389712267736037,0.13099956335086976,-0.1541184283912559
84,NS,-0.4874247150738296,-0.2862406303623585,0.3336197636525788
85,NS,0.23694912847820054,0.14036834889511418,-0.16251871691654268
86,NS,0.23189220767138394,0.138175589778392,-0.16534931986895754
87,NS,0.23694919406076995,0.14036835767258432,-0.16251861553636168
88,BH,-0.49803307375606104,-0.289900818308159,0.3347297637840373
89,BH,0.07971420371163944,-0.06384861062104281,0.09368021294460452
90,NS,0.2371165452327549,0.13178206803691558,-0.16078082064248572
91,BH,-0.1028696593433216,-0.01009837307050612,-0.07427360433610225
92,BH,-0.5010651768608281,-0.2929964970491773,0.33740405207556645
93,NS,0.23694914224621624,0.1403683880248726,-0.16251866410203847
94,NS,0.2380775904087901,0.13941873108436392,-0.16279079806548352
95,NS,0.232452409411477,0.14000006557335154,-0.16653515136115846
96,NS,0.236949122506988,0.14036836224506524,-0.1625187141819263
97,BH,-0.4915566505322338,-0.2977451240917524,0.33752958042462905
98,NS,0.2309824523573976,0.1332150712774056,-0.16733027643874887
99,NS,0.19752968428550705,0.09827105967067593,-0.16968187800057385
100,BH,-0.4444439703390669,-0.2585972699876189,0.3322862478124205
101,NS,0.02989492916477971,0.017841721860902982,0.13522103025158946
102,BH,-0.499479579115401,-0.2960808790702726,0.3367822713601877
103,NS,0.2369490728628671,0.14036838076921254,-0.16251876963915654
104,NS,0.2328460463455939,0.13742985354782594,-0.1690378708359997
105,NS,0.23999635460079394,0.1303182735330224,-0.15844314327747705
