obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_hilim_m,hard_hs,hard_hm,flux_aper_hilim_s,hard_ms,flux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_u,flux_aper_hilim_u,flux_aper_b,photflux_aper_b,var_inter_prob_b,var_inter_sigma_b,flux_aper_lolim_b,photflux_aper_lolim_b,var_inter_sigma_s,var_inter_prob_m,var_inter_sigma_m,var_inter_prob_s,var_inter_index_b,var_inter_sigma_h,var_inter_prob_h,photflux_aper_h,photflux_aper_lolim_h,flux_aper_h,photflux_aper_m,flux_aper_lolim_h,flux_aper_m,var_max_b,var_mean_b,var_min_b,var_sigma_b,ks_prob_b,kp_prob_b,var_prob_b,photflux_aper_s,var_inter_index_h,var_inter_index_m,flux_aper_lolim_m,photflux_aper_lolim_m,flux_aper_s,photflux_aper_lolim_s,flux_aper_lolim_s,var_inter_index_s
CV_0_obs_12,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3942.6,11.31,304.4646,CV,5.790484985457369,5.958607314841775,14.526951194911462,5.831207979685818,5.865504144165326,-0.9994,-0.5372,14.69702006325175,-0.2024,14.100562545713823,14.408156588775215,3.9336740746379624,13.169796401074295,,,,,,,,,,,,,,,,,6.156642621562044,,14.698319050706424,,,,,,,,,,,15.999132278468773,,,,,
CV_0_obs_13,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3974.8,11.31,304.4646,CV,5.914352711703144,6.081026569507046,14.119987161633228,5.862013267276469,6.150519162756014,-0.9994,0.9981,14.741362717275923,-0.9994,14.237321436272564,14.658763376761307,3.958212681028248,13.193684330191886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_14,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3974.8,11.31,304.4646,CV,5.875495775165718,6.013049212141484,14.09685572959046,5.826522356547005,6.171984935776023,-0.9994,0.9994,14.707079700399994,-0.9994,14.155150199193361,14.723538195826755,3.958607314841775,13.181708109200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_15,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3971.8,11.31,304.4646,CV,5.6356366453842694,,14.714217726220605,5.8735438865681955,5.924088238517222,,,14.708187312532882,,,14.533577277566208,4.030025269878285,13.265440178420524,,5.946153573147748,,,,,,,,,,,,,,,,,14.858236769724211,,,,,,,,,,,,,,,,
CV_0_obs_16,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,41475.4,11.31,304.4646,CV,6.387004343967653,6.877129077135565,14.701583619938706,6.49254893909803,7.050463626623857,-0.9994,0.9994,15.303381540767775,-0.9994,14.562883906951921,15.674689628288938,4.824198367151721,12.768020973168495,14.918292729902651,6.651889931519762,,,15.370590400897282,7.572676213642753,,,,,,,,,,14.895171596346344,,,,,,,,,,,6.772370350428991,,,,,15.604498875694373,7.793713955587568,,
CV_0_obs_17,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3971.3,11.31,304.4646,CV,5.855425792390384,5.959002307576509,14.0768596439748,5.906578314837765,6.129596094720973,-0.9994,0.9994,14.788345599446817,-0.9994,14.101165161931727,14.720789487398605,4.00850811108984,13.259716280318122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_18,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3971.3,11.31,304.4646,CV,5.860120913598763,6.052272273036684,14.081288334617678,5.88706002391592,6.125518182300533,-0.9981,0.9994,14.75300930075845,-0.9994,14.17855198098247,14.71669877129645,4.001522696963494,13.252743602557855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_19,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4108.6,11.31,304.4646,CV,5.879755204453635,6.029420694285149,14.101110344073414,5.960982678002588,6.208730519089731,-0.9994,0.9994,14.799696817018415,-0.9994,14.171468993354898,14.79997073344623,4.403402904373539,13.618343517414212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_20,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4132.7,11.31,304.4646,CV,5.453951133598266,5.996539467890494,14.121880515302832,5.442011851775087,6.186953034839892,-0.9994,0.9994,14.106848786870135,-0.9994,14.157141237554706,14.820735535660974,4.37202001017002,13.620513186282727,14.389020620077003,5.7115271994002175,,,15.389020620077003,6.431680914904888,,,,,,,,,,,,,,,,,,,,,5.705313375720557,,,,,14.365724305374057,6.580374639112257,15.194975155570194,
CV_0_obs_21,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4117.4,11.31,304.4646,CV,5.983802646487561,6.07104115911917,14.140561464544945,5.907630300370879,6.201280314814994,-0.9994,0.9994,14.75448733218585,-0.9994,14.213106674738684,14.784891418946907,4.249800272170818,13.456801414362353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
