obs_id,class,src_n,src_id,significance,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_s,photflux_aper_lolim_u,photflux_aper_h,photflux_aper_hilim_u,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_b,photflux_aper_u,photflux_aper_lolim_b,photflux_aper_hilim_h,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_lolim_m,flux_aper_u,photflux_aper_hilim,flux_aper_hilim_m,flux_aper_b,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim_s,flux_aper_h,flux_aper_hilim,flux_aper_lolim_u,flux_aper_lolim,flux_aper_s,photflux_aper_lolim,flux_aper,photflux_aper,flux_aper_hilim_u,flux_aper_lolim_b,flux_aper_lolim_s,var_inter_index,var_max,var_inter_sigma,var_index,var_min,var_prob,ks_prob,var_mean,var_inter_prob,var_sigma,kp_prob,hard_hs_lolim,hard_ms_lolim,hard_ms,hard_hs,hard_hs_hilim,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_ms_hilim
NS_OBS_196,NS,XMMU J004245.2+41172,NS0044,49.26,1.3107058610380713,1.028196656050931,1.4676802287567918,1.2519664755381168,1.4717280725872324,1.5142815200448596,1.139272923735876,1.0904657509581754,1.4711563225641555,1.3117209064802926,1.3285561461126256,1.279344982265349,1.2460764090930667,1.1558284411944961,1.1870709817515166,0.8248294624007588,0.8693516254798914,0.8836860217565061,0.9375987990988677,1.0769639870928371,0.8971519993519904,0.8312903697786221,0.8123199888952845,0.8829813504234348,1.143717187154618,0.8294685064787184,0.7747248381807631,1.078498890087453,0.7626174992176223,1.159786892447686,1.0820573749780378,0.751665040267964,1.12969785640105,1.0229523406692833,0.8446673450570573,1.1941704782344298,0.8330060421463156,-0.049556512986247685,-0.348119157787823,-0.3853468512266233,0.08240142924217526,-0.2834692975565783,0.08735667954229191,0.08909833043058525,0.6897551118446097,-0.06909656010793404,-0.19140933895811993,-0.6737718808482762,-0.3206575158824887,-0.2973937209275313,-0.7205143113399101,-0.84723913960984,-0.4494380397075189,-0.4072379646539206,-0.44930220343108745,-0.6702291033566371
NS_OBS_217,NS,XMMU J004245.2+41172,NS0044,49.26,-0.3378031496136439,-0.42720446353628516,-0.23365025873370723,-0.9561256199533047,0.06892826159126438,0.23895997627132515,-0.02746421828348346,0.9484753208990463,0.08117980658283719,-0.20316003674968822,-0.17024200233179965,-0.49562365292454313,0.7778634421009105,-1.2489426334918332,0.1160556331375804,0.4638388309583359,0.7043401059751281,-1.021244899142944,1.00237052073892,0.5490509598440159,-0.14650775342348793,0.24177326185789078,-0.4839843978564754,-0.27900247793143806,0.012737086950496492,0.5026043021626017,0.47194405412315554,0.9500338619286826,-1.006299818454277,-0.022496451066518257,-1.0169916427039618,0.19982308143432073,-0.5752288571983015,0.9764895280513817,-0.9118785637891987,-0.25343494030551583,0.8330060421463156,-0.06394980355288572,-0.348119157787823,-0.2136497731535446,-0.13591294570479276,0.11067872630764249,-0.7439012601640284,-0.12040781238332028,0.6897551118446097,-0.022017911879929224,-0.6614093681105085,0.11937581370247763,-1.27900852769514,-1.3774631291781891,0.5039206102907539,1.0704171954451283,1.1904009429335418,1.0766993100994595,0.5924875241242371,-0.43765696413492583
NS_OBS_334,NS,J1748-2446          ,NS0057,18.31,0.27578809900977896,0.31626000026772266,-0.23049990924140948,-0.31590856511560655,-0.3308494579470542,0.26100877603907846,0.7005852312910846,0.016332594640420934,-0.29893309949552405,-0.284799444558944,-0.23459615420112512,0.09230203536238889,-0.060206350856240154,-0.4934804900876221,0.8431757000911121,0.6958229211350122,0.9668170535947642,-0.31764782315116824,0.011245356866496433,0.012356935575699453,-0.31450348272897105,0.47923653900281177,0.23683959327775356,-0.290762856711232,-0.33337864660932803,0.7849632169815675,0.4749289240690641,0.05878684642488088,-0.12318405814994761,-0.3369253489848471,-0.3347615734731586,0.43397072296885597,0.014052181590585472,0.07778995657286489,-0.20597455569058087,-0.19975152620810124,-0.18544906608852202,-0.07412564789887514,-0.34627982032647747,-0.18543214750922257,-0.14119137318647673,0.09968913485909342,0.16128258567842102,-0.11080461535969251,-0.09005155403917875,-0.02433201775462566,0.14135934369902464,1.468154697941753,-1.27900852769514,-0.40598550835153274,1.2677050275129915,1.0704171954451283,1.1904009429335418,1.0766993100994595,1.5358947622681107,0.13708066048851175
NS_OBS_51,NS,1A 1744-361         ,NS0004,11.5,0.8433097714827351,1.148493608305806,0.818499769726487,1.134447363795646,0.6383540215183752,0.501312477934935,1.026559412520049,0.12604813151862898,0.5452738316238815,1.0053248895796667,0.9163366582377128,0.9016117929827084,0.0707988940811932,0.938445244614241,0.9166531116625334,0.8661398234007047,0.9528607955130594,1.1618196398140765,0.2326432260418544,0.37920672850377934,0.9555015481446472,0.9356288527359602,1.1672642347995874,1.0412293228507044,0.5175235521817185,1.0506399046865105,0.7454183402656126,0.1564736966257536,1.0259883185260261,0.6083277012619582,0.9662097395090864,0.9505526978664434,0.8617562912075332,0.3253747075571991,0.9935215559777284,0.8139130614267874,-0.08985316615647886,-0.1257346385114494,-0.3153852529754695,-0.6244792719412176,-0.060082872459051945,-1.3239800016272985,0.07500894175439662,-0.1530627553555584,0.11246259272966012,-0.14548840583489583,-0.40581994394195436,0.7564607903610443,0.9901904198152754,0.5833536437399159,0.33866949295211596,0.13601946858011596,-0.18931785449338454,-0.4293744823380413,0.22064508919438436,0.2259683935543636
NS_OBS_367,NS,SAXWFC J1734.2-2605.,NS0066,2.56,-1.4483642710732036,-1.5982006084811138,-1.156278473438042,-1.097293315119982,-0.9340685433443896,-1.1650555310190744,-1.7112012298751136,-1.2018576579561735,-0.871356542653874,-1.5172972293969584,-1.6592241232904223,-1.4909961098050037,-1.2335771780825004,-1.3686813173617447,-1.4630600113074363,-1.7854512651816683,-1.8636971429085571,-1.046146201684865,-1.0629873692198224,-1.5044727264913735,-1.6525116703548361,-1.9084829229958649,-1.465283198912315,-1.5432244605657452,-0.8497423588996996,-1.6644629854940258,-1.854529564359367,-1.0018608050394697,-1.8266401437792457,-0.9529047276531336,-1.3997225343329045,-1.6619399868776643,-1.5768341979607208,-1.074551394439067,-2.3997602253464945,-1.188622398475005,-1.9445987984941504,-0.08202124332114347,-0.35106136549503086,-0.1430259982358345,-0.1363577624445153,0.14175274350698938,0.5217945467764932,-0.1285168721144515,-2.485917411325685,-0.028107200961391448,0.1604294765494837,-1.4176366118541288,-1.27900852769514,-1.3774631291781891,-0.8636030376043293,-0.6674310963340476,1.1904009429335418,1.0766993100994595,0.4668970516691384,-1.503682318103507
NS_OBS_422,NS,1WGA J1747.4-3002   ,NS0077,17.15,0.7748304065476773,1.2339628745231603,0.4483295962194289,0.8816350295543037,0.3208652642132706,0.4534481055732574,1.1372093611607363,0.07020391312960242,0.2740762391040458,0.7288877924218,0.651135294725715,0.8286856952770884,0.014462696648015477,0.8752621789752544,1.0271376178698357,0.8880831509585791,1.0601987027149828,0.9364645204208941,0.2083357575616221,0.30927523753576736,0.7160540495504513,0.9395753610428058,1.2374922048767942,0.7951964395409531,-0.2491518274909471,1.1533691618776085,0.76354835324091,0.12249049614319492,1.0186079224899107,-0.367696687406709,0.9019148016360247,0.9557847296166879,0.7887221391646021,0.2816872175149167,0.9803558260927508,-0.7367517864442424,-0.09286223806717309,-0.15589507100370856,-0.18762952320203902,-0.6244792719412176,-0.12851153421140804,-1.6130107527580535,0.025617990602814392,-0.2265179076889141,0.1264823528804984,-0.1618074889370806,-0.3647352771187046,1.2395365059417944,0.9403201163792565,0.6326704380285453,0.7585649963247306,0.6331567265699057,0.3210731482762485,0.17048561740576643,0.8610184872071955,0.41671101133332106
NS_OBS_405,NS,SAXWFC J1748.1-2446.,NS0072,19.47,-0.4252900598989688,0.30267533271635244,-1.1817104954143205,-0.3829333355291379,-0.890015235379323,-1.0861901879884146,-0.013538709140504967,-0.7996373176916929,-0.8166153939522797,-0.5156678905314557,-0.4853310069793176,-0.34565726519829126,-0.8431253536793992,-0.0720925648820494,-0.09169766739975685,-0.1864252445118459,-0.0721821485962158,-0.3303803240914904,-0.9143790843456343,-0.7519193075207266,-0.4741045112510086,-0.128712625970063,0.3454042085700777,-0.47116791046946055,-0.5558331015112739,0.015671192617429563,-0.49860502877286494,-0.8458247491367661,0.08845474973112993,-0.6624923001790395,-0.10299719480370452,-0.15123416139767898,-0.4154937599425772,-0.7412155533642684,0.1092240216577118,-0.9298530522862841,-1.0187305182806616,-0.2089088176661552,-0.350711149061064,-0.6244792719412176,-0.4079038899712634,-0.9443862818089063,-0.639513484905159,-0.4849474830463984,-0.7794974110112508,-0.164926763058792,-0.9133867653208518,1.2929263831154376,0.5173238077171209,0.6208154394014709,0.9202463325507427,0.9018027358910502,0.5590726225193485,0.600171237452896,0.9645271183515077,0.7797912574564242
NS_OBS_149,NS,XB 1732-304         ,NS0042,5.9,0.07904845242255672,0.5644091542041553,-0.1928114581354894,0.4185823155641345,-0.2769804965478636,-0.9937108295885992,0.31275302049308223,-1.1710842966185915,-0.2916231620685408,0.25527480264355656,0.2094219865363133,0.14773469254910251,-1.004109302684037,0.3311739755534362,0.23665082432076145,0.19965257055351962,0.29922313018663266,0.4628415771875224,-0.8735328926113667,-0.4197051324359584,0.24040545548251965,0.2617428563147098,0.6266475902072176,0.3011770176482237,-0.29589239352942875,0.3780562494185528,-0.09616257252453166,-0.8779547878518691,0.4042903512190204,-0.30205364645187377,0.2839953040808984,0.21359544629051905,0.03834543732628545,-1.0881558991531888,0.4394567230799931,-0.17818371605871722,-1.0187305182806616,-0.19588089981547066,-0.3511573633195923,-0.14621443051202906,-0.36661333237183635,0.3061534347501618,1.5863720469928118,-0.4366868107965848,-0.8174442074046225,-0.15336435890681327,1.0603891033127695,1.0172498057861465,1.1003457085293733,0.8400538806781669,0.6712540999450903,0.6176989204780144,-0.019941023773566435,-0.09851260195216519,0.284721860855149,0.7484191163743588
NS_OBS_254,NS,XMMU J004245.2+41172,NS0046,4.71,-0.24720435128256096,-0.7338322284017854,-0.22506872459997865,-0.9744366507750093,0.06599297732467656,0.3517555223154486,0.059785152576653025,0.4963881209664241,0.09062464493795626,-0.1980989130146186,-0.08743719011812033,-0.42461169874469146,0.47703503402293207,-1.1738306294940535,0.25071193980488576,-0.5488112973120745,-0.39138191011730233,-0.9859706589037311,0.32396784060972106,0.14259510015259655,-0.0601187809958184,-0.7117623533770872,-0.8325858356233886,-0.18176338760701855,0.021889898026699425,-0.5226441561729108,-0.31796583136671586,0.15963843794935165,-1.0829052694739294,-0.019525229178872193,-1.395578921471408,-0.6914000332304158,-0.5043751921780072,0.546967209706419,-1.1563587843541527,-0.28712027812850005,-0.17804211984681412,-0.0597653091967959,0.1939543329393678,-0.1508376573125111,-0.1362227160646759,0.08144166010437155,-0.7685827416369926,-0.12043582258768996,-0.0887091861167657,-0.005786642295512919,-0.6992714563798105,0.2903260934988537,-1.27900852769514,-1.3774631291781891,1.2677050275129915,1.0704171954451283,1.1904009429335418,1.0766993100994595,0.6492694017805455,-0.2939725579790664
NS_OBS_229,NS,XMMU J004245.2+41172,NS0044,49.26,1.2599408624263615,1.3268637981892002,1.145851993342277,1.0989654303028196,1.2461981154643222,1.6179799425976633,1.4202012078646233,1.5315903366744061,1.2833530306503163,1.1880629889291163,1.2175867878812139,1.2214485082299251,1.5401257620149165,1.1059866935627007,1.4226751483788396,0.864459060417893,1.0154365409112238,0.7801669988000124,1.5972358847455481,1.344398463120727,0.8423498054483376,0.8640145817434421,1.0360735730276773,0.8157980131056678,0.76677136064245,1.0193694803310258,0.9770155213509711,1.2611342521579127,0.8005360092122102,0.7393920964566549,1.0314500879773372,0.7836791872915,1.0796712923242948,1.4346284571902959,0.863467739779713,0.7039705096689707,0.8330060421463156,-0.08715841806239402,-0.348119157787823,-0.3853468512266233,-0.05043721173476273,-0.379812881266831,0.5639793581550602,-0.04902359667163137,0.6897551118446097,-0.05950354252236046,0.14882305817191657,-0.01752130725558125,-0.288211776297609,-0.18469220064614403,-0.08315964185650443,-0.05498215841739091,0.08307367403314847,0.15823147368777105,0.2624428602469447,-0.3776316008645741
