obs_id,class,src_n,src_id,significance,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_s,photflux_aper_lolim_u,photflux_aper_h,photflux_aper_hilim_u,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_b,photflux_aper_u,photflux_aper_lolim_b,photflux_aper_hilim_h,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_lolim_m,flux_aper_u,photflux_aper_hilim,flux_aper_hilim_m,flux_aper_b,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim_s,flux_aper_h,flux_aper_hilim,flux_aper_lolim_u,flux_aper_lolim,flux_aper_s,photflux_aper_lolim,flux_aper,photflux_aper,flux_aper_hilim_u,flux_aper_lolim_b,flux_aper_lolim_s,var_inter_index,var_max,var_inter_sigma,var_index,var_min,var_prob,ks_prob,var_mean,var_inter_prob,var_sigma,kp_prob,hard_hs_lolim,hard_ms_lolim,hard_ms,hard_hs,hard_hs_hilim,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_ms_hilim
TUC_OBS_682,TUC,CXOGLB J002406.3-720416,TC0065,4.5,-5.8623294627632445,-7.1079610796587085,-6.646083769079637,-6.728623128105926,-6.453333974929817,-7.195996945270388,-6.747389659432629,-6.195996945270388,-6.3263341237542985,-6.548367052543008,-6.421360790031928,-5.953895212753961,-6.455683858252572,-6.070070439915413,-6.552997101533838,-14.434979071654706,-14.521722168080395,-15.31821623353212,-15.60049933868539,-6.201985035648513,-15.01103992960966,-14.530619864150074,-15.076652343502175,-15.138047625078551,-15.129947418306456,-14.716020715761518,-14.750209937343865,-16.922632094715844,-15.106476804894559,-15.259006068415115,-6.551179325786247,-14.89283074736845,-6.341778665552289,-15.309981219211304,-14.653255945395152,-15.443576878628715,2.25,0.0011124000000000002,1.435125e-06,4.666666666666667,0.00017219999999999998,0.8236666666666667,0.9026666666666668,0.0002579,0.43475,0.00015969566666666668,0.937,-0.5753,-0.3492,-0.1187,-0.2973,-0.0156,-0.1786,0.1068,-0.4791,0.1243
TUC_OBS_1762,TUC,CXOGLB J002403.0-720426,TC0193,7.26,-5.413075291855179,-7.267928059000133,-7.225045310919862,,-5.99481948749622,,-6.037441264204036,-4.910448117113546,-5.706637445288553,,-6.2711594316600285,-5.65856547542186,,-6.278354233710254,-5.7493360805367555,-13.969805214643246,-13.975925012692572,,,-5.388603863364646,,-14.215382707367125,-15.494443061336176,,-14.517698232776553,-14.264002115908207,-14.091050552313488,,-15.204282149535535,-14.805763251276169,-6.892572937379901,-14.359883112579842,-6.08360922615117,,-14.83505262737816,-16.036212172654444,3.75,,5.551749999999999e-07,,,,,,0.5895,,,-0.5628,-1.0,-0.9994,-0.0849,0.4291,0.9994,1.0,0.3254,-0.3691
TUC_OBS_482,TUC,CXOGLB J002406.0-720456,TC0047,25.99,-4.875495775165717,-5.71331903064507,-5.425505731714672,-5.653842697767992,-5.3811155150045495,-5.6058986979599545,-5.6416843599178055,-5.3910463007241365,-5.34084471905937,-5.6010189333418685,-5.5540845860488774,-4.9044819576768495,-5.485319455875019,-4.935542010773082,-5.580044251510242,-13.530472520812983,-13.744968836654445,-14.25204469309327,-14.463820467862776,-5.261726943159013,-14.152303979265834,-13.559563233894224,-13.87876854485038,-14.19935164463601,-14.139003563242804,-13.806597096937585,-13.879143211491876,-14.584525831890767,-13.974333737950868,-14.179273237176163,-5.356823780702553,-13.924059067743304,-5.306677643247047,-14.369572124974976,-13.590912630552163,-14.223734781731892,5.6,0.00199772,2.3292e-06,0.4,0.0017464199999999998,0.26060000000000005,0.31860000000000005,0.00176696,0.8390000000000001,3.4992599999999994e-05,0.477,-0.3704,-0.3192,-0.2511,-0.2898,-0.20800000000000002,-0.0412,0.0518,-0.1343,-0.1793
TUC_OBS_161,TUC,CXOGLB J002406.0-720501,TC0017,7.63,-6.091568601033994,,-6.6649434805609085,-7.557206774060232,-6.462558716592053,-7.270106596036763,,-6.248874928464416,-6.3312414582490435,-7.080033298516612,-6.858236769724213,-6.218531857158202,-6.510463370517905,-6.398700689805662,-7.019996628416253,-15.109355463704754,-15.742081549685944,-16.182632983712402,-16.012736045877766,-6.382119374409967,-15.483596851552598,-15.281664421091492,,-15.705533773838408,-15.095338542084475,,-15.341111356034224,-17.355167671174364,-15.848456099054852,-15.226652458019178,-6.8557309953719185,-15.549655418991515,-6.571486173999287,-15.721703791908727,-15.593971055036386,-15.415668775632467,0.75,0.00030125,9.6655e-07,0.0,0.0002086,0.447,0.3215,0.00021175,0.21750000000000005,1.0576500000000001e-05,0.28550000000000003,-1.0,-0.8214,-0.6209,-0.9994,-0.5603,-0.2661,0.133,-0.9088,-0.3704
TUC_OBS_754,TUC,CXOGLB J002411.0-720444,TC0075,9.39,-6.3950183703925685,,-7.0204061041510695,,-6.741602195904491,,,-6.5100415205751645,-6.573326111978627,,-7.2351516428065885,-6.567190994966833,,-6.8566728700079524,-7.382580253262822,-15.46331532737907,,,,-6.666178043678495,-15.997833938243492,-15.706416486503885,,,-15.33161408331,,-15.565391181027865,,-16.282891448098663,-15.500038134403805,-7.328808637659239,-15.8921119748172,-7.043639446326678,-15.750801642608886,-16.375408540873153,-15.778846678045294,6.0,0.00013644999999999998,1.5914199999999996e-06,0.0,9.2455e-05,0.4855,0.0595,9.3305e-05,0.8554,3.6055e-06,0.1105,-1.0,-1.0,-0.9994,-0.9994,-0.6215,-0.9994,0.208,-1.0,-0.5141
TUC_OBS_954,TUC,CXOGLB J002405.1-720502,TC0098,4.05,-6.326518302926653,-8.162096055407059,-7.689731633367553,-7.192397330083505,-7.008552401996198,-7.402414498247795,-7.120674699215193,-6.277448337999044,-6.7552282385047056,-6.866461091629782,-6.682563503464902,-6.519993057042849,-6.5371529641683255,-6.877456475931246,-6.850472986245652,-15.303818412831475,-15.395126229447365,-15.772884917410874,,-6.516013535280668,-15.263125638351578,-15.604848408495455,,-15.447088549783489,-15.567832730557413,,-15.43542861516444,,-16.410139722920164,-15.829444941478794,-7.277835171349728,-15.821771489064231,-6.743720135803491,-15.924088238517225,,-16.589054141312225,0.0,,1.8234400000000003e-07,,,,,,0.031999999999999994,,,-0.5765,-0.2979,0.08,-0.1262,0.3542,-0.1999,0.1955,-0.6002,0.4953
TUC_OBS_899,TUC,CXOGLB J002403.4-720505,TC0093,45.84,-4.570893991667304,-5.837435593476981,-5.664542099310617,-5.3223930472795065,-5.363612414186843,,-5.497436330892636,-4.90031935889075,-5.195179321278838,-5.161025045044532,-5.049391775215769,-4.65856547542186,,-4.777283528852417,-5.3172233536855655,-13.283078926833241,-13.549442990581673,-13.891096872332687,,-4.9240007320728605,-13.617982957425133,-13.377371573870676,-14.06966236426227,-13.729554091982038,-13.931072388317927,-13.729787145103755,-13.537040777191708,,-13.845302206403613,-14.0993052255476,-5.299659788889474,-13.661712874420948,-5.138322241857703,,-13.497982785172852,-14.40033522121158,8.0,0.004701250000000001,2.1402e-05,0.75,0.002355175,0.5010000000000001,0.5115,0.00271735,1.0,0.000479975,0.49125,-0.4791,-0.0556,0.1999,-0.1699,0.1643,-0.3523,-0.0943,-0.594,0.4541
TUC_OBS_2189,TUC,CXOGLB J002413.7-720302,TC0242,15.64,-5.427709393848582,-6.426780172885578,-6.0943659986730445,-6.23500240071512,-5.9931062920521,-6.562725202589875,-6.254690940059173,-5.990549104201306,-5.915781313260761,-6.13353543402826,-6.051342567858679,-5.4825401734597685,-6.182566855888616,-5.5492891218530795,-6.131708311982144,-14.138167002342055,-14.392866795608434,-14.856048883576035,-15.501551596826,-5.818276431060196,-14.67223251009727,-14.19531548509306,-14.693789491832238,-14.75448733218585,-14.703554205793605,-14.517841304588725,-14.49621203980077,-15.96537154337468,-14.685361853695559,-14.780939667551136,-6.012530373793704,-14.580239149794359,-5.902645496982538,-15.282412703144539,-14.26106096879652,-14.882397308309915,0.8,0.001044375,4.432200000000001e-07,0.5,0.0005172250000000001,0.528,0.513,0.000552425,0.3846,6.270249999999999e-05,0.61175,-0.4553,-0.2954,-0.1599,-0.2836,-0.1131,-0.1262,0.0518,-0.3167,-0.0169
TUC_OBS_1303,TUC,CXOGLB J002346.3-720401,TC0134,2.83,-6.825068406471558,,,,,-6.804653941651582,,-6.068694718578326,-7.0982693082707815,,-7.13123804178795,-7.137987948749784,-6.296536658116707,,-7.2923446764688125,-15.813891620186794,,,-15.489053051327026,-6.616910260416421,-15.813326132500254,,,,-15.957424487559807,,-15.604018726964537,-16.151872489432126,-16.753932480760092,,-7.503623945987599,-16.091113042654992,-6.93705719366621,-15.23807216157947,,,0.0,,2.7503333333333337e-07,,,,,,0.04766666666666666,,,-1.0,-0.9638,-0.2349,-0.9994,0.1518,-0.9994,0.2005,-1.0,0.3279
TUC_OBS_1380,TUC,CXOGLB J002352.2-720723,TC0144,10.46,-5.673050005834002,-6.848630149752539,-6.415781887882595,-6.4554359025039565,-6.2739251297846295,,-6.578396073130169,-6.723308471154961,-6.167171870460646,-6.313631896526964,-6.212468683872767,-5.7447274948966935,,-5.830325565941192,-6.4129628822565445,-14.33208031468264,-14.518414063632376,-15.075927570089636,,-6.0977685927366565,-14.832978204209745,-14.406492410668235,-14.96697855531709,-14.934047019686131,-14.930701987884472,-14.687188173787911,-14.5880437620696,,-14.840944396486512,-15.037535953942099,-6.327163545828602,-14.695821949196615,-6.210151461502213,,-14.49634548075704,-15.17940450345551,1.5,0.0005876000000000001,2.585e-07,0.3333333333333333,0.00037013333333333335,0.4533333333333333,0.5990000000000001,0.0003779333333333333,0.36275,2.3666666666666665e-05,0.4423333333333333,-0.5428,-0.228,-0.045,-0.3173,-0.0793,-0.2748,-0.0381,-0.5066,0.1455
