obs_id,class,src_n,src_id,significance,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_s,photflux_aper_lolim_u,photflux_aper_h,photflux_aper_hilim_u,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_b,photflux_aper_u,photflux_aper_lolim_b,photflux_aper_hilim_h,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_lolim_m,flux_aper_u,photflux_aper_hilim,flux_aper_hilim_m,flux_aper_b,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim_s,flux_aper_h,flux_aper_hilim,flux_aper_lolim_u,flux_aper_lolim,flux_aper_s,photflux_aper_lolim,flux_aper,photflux_aper,flux_aper_hilim_u,flux_aper_lolim_b,flux_aper_lolim_s,var_inter_index,var_max,var_inter_sigma,var_index,var_min,var_prob,ks_prob,var_mean,var_inter_prob,var_sigma,kp_prob,hard_hs_lolim,hard_ms_lolim,hard_ms,hard_hs,hard_hs_hilim,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_ms_hilim,powlaw_stat,powlaw_ampl,powlaw_gamma,powlaw_ampl_lolim,flux_powlaw,powlaw_gamma_lolim,powlaw_nh,flux_powlaw_lolim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_gamma_hilim,flux_powlaw_hilim,powlaw_nh_hilim,bb_ampl_lolim,bb_ampl,bb_nh,bb_stat,bb_kt_hilim,bb_kt_lolim,flux_bb_lolim,bb_nh_lolim,bb_ampl_hilim,bb_nh_hilim,flux_bb,bb_kt,flux_bb_hilim,brems_kt_hilim,brems_kt_lolim,brems_stat,brems_kt,brems_nh,brems_nh_lolim,brems_nh_hilim
PULSAR_OBS_49,PULSAR,PSR J0418+5732,PL0011,73.32,-0.5202965800421874,-0.8852289544165227,0.3944739574305732,0.14563435565236932,0.26372924833416733,-0.9993933523341112,-1.0840103913646462,-0.6038527403740162,0.21254270822521182,0.11735710681228466,0.07544089834298183,-0.49350978219189207,-0.6954738126909996,-0.4207175588944393,-1.1022824940549305,-0.9407815508816726,-1.338987607055415,0.13032539926299566,-0.9641761275727683,-0.7387855239284565,0.06038294110424997,-0.8941808916734378,-1.150761770280496,0.10543885140848516,0.16847527307974786,-1.3191842238486045,-1.120204763000248,-1.0303801605180873,-0.8540572901804537,0.2093371936952051,-0.4490618402769911,-1.0116576161407835,-0.526792169005484,-0.8198365790730049,-0.772484300653629,0.35385997358544813,1.0860991766579924,-0.09255747645879299,-0.2160251153433782,-0.19283834853968548,-0.6133428020703764,0.2703758478797713,-1.166006428299506,-0.07766039540861491,1.0705249095977625,-0.07762368433303342,-1.0653409578138495,-1.163996766856067,-0.08575854440888181,-0.24796226524692414,-1.1723683641392184,-1.208465729483157,-1.3983851487678676,-1.5591003234541987,-1.3472246643703223,-0.46120797837043437,-0.036017709896371215,-0.06781507924092986,-0.36489807196257185,-0.039414152321168724,-1.0356338278772046,-0.4647715996637199,-0.19139046436619292,-0.5591357016939595,-0.18000755286244133,-0.14285267019773631,-0.38195065962036717,-1.1758691625466489,-0.25319025868181644,-0.0888183809586032,-0.06475798602745644,-0.2402648844365953,-0.3225983109248614,-0.1115401910585687,-0.047183810913179636,-0.48398840015894445,-0.2833149293860485,-0.027483144322390518,-0.27978653447255386,-0.7086995643867532,-0.06313455182648532,-0.6948375296752177,-0.345803471498669,-0.26689228113936503,-0.12927973524157324,-0.30304407243544246,-0.303473250729759,-0.28444259163419394,-0.3612684966764194
PULSAR_OBS_200,PULSAR,PSR J1702-4128,PL0070,2.61,-1.3584605079891354,-1.0653351569853922,-1.0590989178727213,-0.9418968397379681,-1.2926069835104805,-1.2497918207161798,-1.083108611107119,-1.2040427687876105,-1.2233815477891075,-0.6965414322883463,-0.6293226192778504,-1.4345154791852253,-1.22798480779104,-1.474722983951758,-1.0065724555391347,-1.4476790715650747,-1.2417951577580875,-0.9304063845608705,-1.034342541860941,-1.5849607900802831,-0.6070663070055691,-1.5269517782682733,-1.4104145378418105,-0.6760316508943383,-1.4233192699875634,-1.339634662219371,-1.3262778520869152,-1.1898252690420905,-1.4418683653268185,-1.2492517118769118,-1.5046121358821114,-1.3449868724635887,-1.4996063161257467,-0.8726727530666275,-1.5917463442657778,-1.0064905106762896,-0.7322886274631627,-0.09257032883807455,-0.27356847996851835,-0.19283834853968548,-0.6689182598036153,0.7214565127598627,-1.2004827459828804,-0.07859386161597097,-0.0906089313779537,-0.07763649750047068,-1.0121567577151982,0.702356975877288,1.1985351030760756,1.5685346438697427,1.033782122617057,0.9729403915657505,0.08728498085627183,0.4803087657017027,-0.36170789367171724,1.4218429225948368,-0.06006009391907416,-0.047319142279127605,-0.37162523341275316,-0.021363936057485117,-1.0432411586247348,-0.45222857324216625,0.44207421237674277,-0.5739524046603484,0.47592132552703836,-0.08656384309338168,-0.28682787779442115,-1.173089288823302,0.4507628644875156,-0.08099213389219603,-0.059711235200067526,0.5120437889033704,-0.3341602740859628,-0.04998125401233018,-0.08292893388604199,-0.48256860045952654,0.47035920530509007,-0.010730289424248692,0.48977364849775895,-0.7006740900223208,-0.05248751749095168,-0.739488616907032,-0.33966318574104587,-0.2518648217410885,-0.10266533287703923,-0.2803162875299471,0.548593275869741,0.6863681896098431,0.6534609484717019
PULSAR_OBS_235,PULSAR,PSR J1745-2900,PL0081,107.91,-0.27627142126037796,0.30209478647413124,-1.4961837893461305,-1.3685100763275972,-1.4332744893912077,-0.8254256855542954,0.2277630427923042,-0.6475368686386416,-1.5780554387066565,-1.248306273748943,-1.2358722666040936,-0.24811319152761357,-0.5982900421574258,-0.18230893204602958,0.18882419984209683,0.10021901069458035,0.32531319595355646,-1.23035212781371,-0.5759427283375914,-0.5176353390090005,-1.085686476059604,0.11636150200186504,0.40268644038692253,-1.1028864946255321,-1.5549077684977535,0.35508051757630454,-0.04421522526974018,-0.7073614213425621,0.09247230594886892,-1.3535064984381273,-0.21518104449519956,0.02448176666038161,-0.3420925123778884,-0.5305571485448767,0.14781747695761274,-1.4309124859281221,0.5390328140609542,-0.09254306230845466,0.18955543829990631,-0.4263150637233508,-0.3985390562870524,-1.0587011111419267,-0.9462199030679931,-0.0744572669411659,0.22243371260942396,-0.07764186749801384,-1.381317676047015,1.1282627157253384,0.8630766817123972,1.5685346438697427,1.033782122617057,0.9729403915657505,1.2163152256933851,1.201336963990296,1.3048445845791568,1.4218429225948368,2.2033061132826495,-0.17826023046009573,1.0228583625068965,-0.2654339265622977,-0.6241522153389687,0.48462207360671467,1.896397458491899,-1.2859181600241207,1.6183618127159778,0.1578887007875523,1.6104686604803986,-0.38695940322483796,2.1679630165405315,-0.3003054349479069,-0.30196060974647565,1.7712899986691464,0.3133672998407772,0.8366964671730153,0.23260482905168645,-1.2681289556265645,1.4555911263958938,-0.31634905662432955,2.0015873958853487,-0.7398814327102543,0.5043439719411205,-0.6254772668729935,-0.3816072248878965,-0.44369992937447295,1.5396768427364869,-0.4671620417998991,1.6874563052411338,1.4509097647643643,1.8100137680845059
PULSAR_OBS_428,PULSAR,PSR J2047+105,PL0127,3.75,-1.5839855823129034,-2.363274006991613,-0.46621129627004215,-0.6000259432476456,-0.24710898804491072,0.0835626227025371,-1.6444083795901805,-0.11636096324474217,-0.14926883306469604,-1.2119225136759217,-1.1201426734638693,-1.7813267024246051,-0.014914843967529486,-2.3014614414794083,-1.656704795134581,-2.0339869713416987,-1.953988032456148,-0.5946640332502575,-0.07168963861942369,-1.1801882842882694,-1.0930785527771483,-2.222607019768902,-2.2634081320639434,-1.0893039361255106,-0.12641031568751668,-1.9837951081425347,-1.7266008840497038,-0.03137806430215187,-2.2403828682617353,-0.25584834212367047,-2.173038086975748,-1.8106126541112386,-1.7861751272189967,-0.042150786867749104,-2.727068664517959,-0.46782007856874236,0.387069935561777,-0.09024553580225758,-0.28680921699275436,-0.232918517979548,-0.4606562631174064,-0.012751106941320416,0.19282879174065115,-0.07424158763431579,0.5240561048437697,-0.07262926683048271,0.13556106128691217,-1.654714249724473,-1.671945591108493,-1.8266533325117738,-1.8313037021691447,-1.1640008018264163,1.2747071463763995,1.2374089864890108,-0.644890617202333,-1.576277936983407,0.1406974888760252,-0.07032451767663768,-0.35722866965780575,-0.031831768513889254,-1.0628553407681776,-0.48668610587872646,-0.1238040747320719,-0.5405203391740335,-0.04575700320581432,-0.05532859168907392,-0.36294238443306887,-1.204318561369365,-0.2044717663818777,0.0021805810481579425,-0.019240312470987217,-0.2124152993311017,-0.0578950606074537,-0.09215536741018936,-0.06886460402669246,-0.48088392100071253,-0.25259155456671,0.02636612738311329,-0.2558872193513318,-0.7131758189969393,-0.06845951835912194,-0.7294894507086347,-0.34066570783516936,-0.2549400475435309,0.10370536086762103,-0.27401127268269787,-0.16384614881133552,-0.0833040312888506,-0.26722447662868665
PULSAR_OBS_7,PULSAR,PSR J0100-7211,PL0003,65.51,1.3545924550086983,0.5765983330711985,1.5884179078487572,1.5161122295649352,1.6906142561848037,1.2968492059601586,0.6325507672156393,1.2623592678652817,1.7051893166655236,1.5674995992304077,1.5875711691131762,1.3413042153052233,1.2562107444120818,1.2847330808412945,0.675006078260996,0.8905538061652523,0.4152879340105041,1.5284812956943088,2.2274927938269897,1.3463794046994968,1.604148911026068,0.86963542061252,0.012512610791436434,1.5803775342086999,1.6888682599197706,0.25498918106103563,1.1210151109173736,2.1894115550013047,0.9455297189868236,1.6995343400333478,1.219903418352089,1.057853925866012,1.2970465831271631,2.1676318579706932,0.8246125199709232,1.5982670508250918,0.47824766266128355,-0.09012194816402543,-0.13975608247083277,-0.16186377099198576,2.6662709843673933,-0.4671752729996375,0.06031547344150896,-0.024146434665358436,0.7144922034701615,-0.07254784065269673,-0.06965208664406784,-1.1552990870567985,-0.24629525034450142,-0.494091311563555,-1.229561142010426,-1.368570347469406,-1.2659702394036165,-1.5203486649984368,-1.1599696624689102,-0.874465120686443,-0.2707801936410132,-0.2399510896720469,1.4928831608990094,-0.2058866400066667,0.5954937554599103,1.5968658563784155,-0.8420028751838744,0.5686684066060629,-0.8421187191057676,-0.3864605539405359,1.3876200381025412,0.6139530585464529,-0.7941440252084064,-0.14969468862636967,-0.1805460632819875,-0.81329842961049,-0.7333188965978674,-1.2436386518773894,-1.2523679858659256,0.2477698777155801,-0.7996888469333799,-0.19483502465213018,-0.7751644260701485,0.4680309337016738,-1.256924218167564,0.6357235249249475,-0.38750293069361585,-0.49956242847160703,-0.5160740052858193,-0.5379672008168563,-0.8387435267109559,-0.8853053801936426,-0.7886986387057613
PULSAR_OBS_227,PULSAR,PSR J1745-2900,PL0081,107.91,-0.022738648402619823,0.5262748869143228,-1.5444279665894014,-1.015921516961933,-1.5961748895627526,-0.9782631742157603,0.47689350532280267,-0.9932722327159992,-1.5917433504283514,-1.0838265935844467,-1.1674915494561935,0.02251642419954519,-1.0318743908309067,0.09144559174963111,0.4285467854584909,0.32190980179854284,0.5326796525048129,-0.9369130236093364,-0.12193569597380409,-0.28190086905385714,-1.0742155962167446,0.35526751973180476,0.6183985252869165,-0.9940819757152188,-1.3641351480408321,0.576809646008128,0.1934736978388607,-0.3671266595482172,0.33672342395214183,-1.4286696122212175,0.04918014937223744,0.2724292133220353,-0.062044329839976375,-0.024524544403974214,0.3933866430363627,-1.4175700393920638,0.5390328140609542,-0.09208089292831279,0.18955543829990631,4.243219239949957,-0.5879470421198855,2.682851903800974,1.9476360124802599,-0.07232402010006835,0.22243371260942396,-0.0768405894311944,1.8973318359169171,1.136960395524607,1.1049366413119386,0.9891376963293509,1.026615107846229,0.9690805888177696,1.222962921278836,1.1910306718478063,1.328357951514912,1.1160600441971082,-0.45091426353590075,-0.26700429317932073,-0.004841546331802693,-0.2622674534219688,0.06277345619063449,0.04963564371085135,1.716926621417424,-0.12541698255633435,1.8381113809806269,-0.38663229100691343,0.03017683147212438,0.11975734664167295,1.6358947637913752,-0.3000761999137818,-0.302502984306854,1.799100186009242,-0.7021949678491413,1.2235676150251862,1.3258285776325351,-0.0019630372949122894,1.915154110313679,-0.31849241403996587,1.634949518124354,0.032698658686645475,1.2841022720386128,0.0003182825018819442,-0.37796487680918495,-0.30885421701121374,-0.4750103179345621,-0.3634710743295683,1.783556012531126,1.859170567090669,1.6091898616034477
PULSAR_OBS_250,PULSAR,PSR J1745-2900,PL0081,107.91,-0.2689579627003586,0.15518369882286834,-0.6383116022820312,-0.5764753203022133,-0.5508132956283734,0.36135544538079056,0.0677473154498241,0.8657295176851172,-0.49325283625306404,-1.0954912834993757,-1.0251643921722444,-0.3468513946647521,0.7972372485364587,-0.4124204167024142,0.06317809202203699,0.3111053618597672,0.5252930194990714,-0.564753784319751,0.5927295999353259,0.014107316865313307,-0.9719538773843034,0.23480610817906677,0.3977496039166461,-0.9934324949639632,-0.5532484827680295,0.466997264260674,0.2122912104795081,0.567191054108882,0.084822019739029,-0.6367761071270314,-0.5982777104443998,0.14348439048140996,-0.628114338113787,0.5458394334655807,0.13975745763926853,-0.7788181468758093,0.5390328140609542,-0.09253533227362783,0.18955543829990631,-0.4263150637233508,-0.45130289033004456,-0.04779712109815035,-2.2627842846018593,-0.07488922308769874,0.22243371260942396,-0.07759665035646648,-2.2572927364953936,0.09279411566136088,-0.5260338169395337,-0.2475800772868051,0.07108719755512724,0.16439508760310007,-0.003682444869934199,0.21877217377702213,-0.12101791347521725,0.03608268403584906,-0.026312527355094085,-0.13431012157902375,-0.36888616116105,-0.09340207957584154,0.09958945567846167,-0.4399938916316783,-0.12378569887844644,-0.21502692093779074,-0.0836146727304314,-0.1540261699647046,-0.36451962354122214,0.2100227053625524,-0.20567523549394537,-0.0788278888579473,-0.055215750319292656,-0.22009971759629213,-0.4816992237359429,-0.07938346124909505,-0.05523097645531265,-0.009640160462771052,-0.2594823055213508,-0.02825048627741294,-0.2620421864580137,0.11006364897681209,-0.04986706580586789,0.18295086024519625,-0.35182311798192495,-0.26458523378030374,-0.16854688627121245,-0.29911690288105647,-0.26221353753342247,-0.26924643313085894,-0.3317122098751111
PULSAR_OBS_177,PULSAR,PSR J1614-2230,PL0061,9.04,-0.39892099841678386,-1.4097091369452273,0.618243365342694,0.0020525172879779243,0.5307440099389973,0.3603873550480841,-1.4932099136264072,0.0050587711549499705,0.4921463217420226,-0.0044954955504396535,-0.02895503223036924,-0.3809696302252833,0.0670415368417446,-0.31921058100480504,-1.4515222471132392,-0.903803904687307,-1.6633687436812314,-0.04574187550355692,-0.16497484459345757,-0.48884437461741637,-0.08502922282177222,-0.8629367900531257,-1.7041482609072813,-0.055885733557266934,0.5092071195240622,-1.7283272843546171,-1.0269060782661688,-0.03368160802893495,-0.7968792164089377,0.5412275234587796,-0.25273885475613694,-0.925438482546827,-0.3109541417406193,-0.17714436836979014,-0.7493356551678407,0.6298525175707972,-0.390372150840013,-0.09256446938159528,-0.26259365087983166,-0.4263150637233508,-0.5975599847827661,-0.16298379088003087,-1.1604040266759577,-0.0774959282033736,-0.23883563758519488,-0.07763907803713313,-1.4589040385438712,-1.547816959288302,-0.8213120297889313,-0.9206130750563501,-1.6324907124263761,-1.7792533598545779,-1.6946567709410691,-1.8241781573590392,-1.6728336804154524,-1.2560085457806642,0.05787257877945603,-0.06078244073095943,-0.35797369731026807,-0.02708953519831046,-0.9991695134419799,-0.4637584667130766,-0.20587369966525776,-0.5533971898668084,-0.18695271116871767,-0.12523645438561365,-0.41996720999496423,-1.1618516270806634,-0.2667344297794536,0.8528219739559019,0.8752624844159969,-0.2385573389339135,-0.2831977226051778,-0.11033831135924052,-0.015093323530881511,-0.4685571263456999,-0.2868842198531708,0.9016699621087735,-0.27727173018587126,-0.7141038734097762,-0.05974013930078234,-0.7237825750271205,-0.34610637223820084,-0.2599013046582372,-0.03878563424124037,-0.3050605094047927,-0.3167750801783936,-0.3002738656577987,-0.3897296124284008
PULSAR_OBS_262,PULSAR,PSR J1745-2900,PL0081,107.91,0.17422990483444056,0.6584133616419519,-1.467965208253068,-1.1209065922336383,-1.5804218708020652,-0.5481123418432621,0.6448648129125708,-0.5269560052297332,-1.5115820417126549,-1.1033174866861044,-1.1379807659841243,0.2089624308081295,-0.5503958535190675,0.2565985875930212,0.6116883739890994,0.5347312570984194,0.7335053540409522,-1.1066169028848523,-0.5301043255971417,-0.050859808829650126,-1.1197396401677404,0.5569540932695052,0.7754314451085076,-1.0887560350451697,-1.2401460320686148,0.7651045599150605,0.4084923452308058,-0.4601059893179598,0.5107731086089073,-1.4026092622091506,0.2004917117945198,0.4699719640550002,0.10413180918377879,-0.509691334760983,0.5710082356509374,-1.528872537179589,0.5390328140609542,-0.09204151084993427,0.18955543829990631,4.243219239949957,-0.493686123625615,2.682851903800974,1.9476360124802599,-0.07079129765780912,0.22243371260942396,-0.07637423177685637,1.8973318359169171,1.1387841025792922,0.8845582958877727,0.9510887616330601,1.0283351913912278,0.9710876862467197,1.2387736567253138,1.2091697460185884,1.3411369552843442,1.1822281702524426,-1.149393310067098,-0.27488734585693697,-0.3707815991592287,-0.27563700668113555,0.36354500730177386,-0.38424955471692124,1.8060495115004824,0.13390351448127752,1.839897962836437,-0.38554462291985553,-0.24049775095942758,0.4160579741854087,1.8085630220256828,-0.30020132068854216,-0.302552776069774,1.9664248131721511,-0.929284373904662,1.770345503989587,1.6995261510176443,0.25608630462099435,2.014286102155265,-0.3184557469613158,1.8631825608525445,0.369826927041984,1.7450003007207735,0.35834152590474994,-0.3597687430487923,-0.22862001334350698,-0.9703410466091004,-0.22689429840586403,1.957418380490406,1.9691018773269628,1.83412398284565
PULSAR_OBS_315,PULSAR,PSR J1824-2452,PL0094,5.53,-1.9586880943284282,-1.4440458559282385,-1.0423443033727966,-1.4516410661509918,-1.0895562685606426,-1.406412191936482,-1.6831166582485517,-1.68933747163216,-1.0672956326442968,-1.3128610892137822,-1.2962800850846474,-1.9761940418877768,-1.6189981518308338,-1.9018586489045601,-1.6970772410679422,-1.796111162510426,-1.4841691811542521,-1.5729189953696205,-0.311096458836876,-2.2284993657229775,-1.3817728235711324,-1.8071199299695075,-1.3941642936731475,-1.3950078833334467,-1.0274209595752213,-1.5088851908968228,-1.7919284628677885,-0.7539793730691244,-1.807495197554693,-1.0956129774087844,-1.9059925146389054,-1.912452798784557,-2.0221522294510716,-0.23478316055197906,-1.7199228326538303,-1.0422195625655999,-0.8286330924316406,-0.09257297185690155,-0.2889994810005529,-0.4263150637233508,-0.6773012278706185,0.08511057480401933,-2.1981411889455322,-0.07874810937091627,-0.3704612838904424,-0.07764000885638254,-2.061241175347423,-0.23516873538902372,-0.5650670606969506,-0.21178180502232627,0.08286260282359777,0.4464632967411505,0.1255541473346781,0.4932946938012399,-0.2105748757585667,0.18187573196025655,0.09033347341561684,-0.02192406723847497,-0.38165023785398283,0.08631242286733797,-1.0665358070888942,-0.4938110734772744,0.4038034345596329,-0.5572123618441989,0.4049082699222963,-0.11408671157949411,-0.29372702692557173,-1.1705589082152696,0.14326595874574188,-0.0797323169169717,-0.06117120081997108,0.3742772193548814,-0.13207375745858493,-0.046945605072183524,-0.07045123524928475,-0.4830145287758262,0.4187351430319342,-0.019086383311522806,0.3020997764235826,-0.7191270676079479,-0.05020041972598288,-0.7498508352301384,-0.3398657718446328,-0.2580680259532688,0.1126880424757098,-0.2892407576913498,0.17207020823336414,0.36887335835220514,0.11925290555613198
