obs_id,class,src_n,src_id,significance,photflux_aper_lolim_h,photflux_aper_h,flux_aper_lolim_b,photflux_aper_lolim_b,flux_aper_b,flux_aper_hilim_u,photflux_aper_b,flux_aper_lolim,photflux_aper_lolim,flux_aper,photflux_aper,var_inter_prob,var_inter_index,var_inter_sigma,photflux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_s,hard_ms_lolim,hard_ms_hilim,hard_ms,hard_hm_lolim,hard_hm,hard_hm_hilim,hard_hs,hard_hs_hilim,hard_hs_lolim,photflux_aper_hilim_m,photflux_aper_hilim_s,flux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim,photflux_aper_hilim_b,photflux_aper_hilim
CV_OBS_709,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.183758700008217,-4.132179091954427,-12.134777543709822,-3.5863650028014438,-12.103473782510445,-13.65403845818686,-3.5550188879120554,-12.540999760731307,-4.040357692779879,-12.495472050903242,-3.901931099721114,0.9572,5.8,2.16814e-05,-3.5821962773601186,-12.718058066559177,-12.249183157350245,-12.864549300654485,-0.0631,0.1193,0.0262,-0.0319,0.045,0.1193,0.0712,0.1655,-0.0219,-4.129420539447315,-4.134659094375416,-12.074275473063937,-4.0860802350485335,-12.454351521211738,-3.5259294967849564,-3.801788430761864
PULSAR_OBS_143,PULSAR,PSR J1119-6127,PL0040,19.93,-5.302683458267618,-5.257117828562726,-13.332920794535784,-4.769295686387432,-13.304781081094847,-15.335358024443874,-4.741602195904491,-13.735900300399914,-5.237192442217387,-13.698566298162135,-5.195799211711089,0.6044,2.8,9.34854e-07,-5.947306058075032,-13.796423225022027,-13.434506370131135,-14.626720106722505,0.5753,0.6927,0.6334,-0.1143,-0.0512,0.0106,0.6034,0.6677,0.5365,-5.178945244953113,-5.787279845582157,-13.279840696594045,-5.215953584191887,-13.66524877860353,-4.717151397165356,-5.159316903287337
NS_OBS_414,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.0,0.0,-14.851397345193904,-6.038009712559935,-14.588211995456133,0.0,-5.819300798703965,-15.280689433667149,-6.593527949534324,-14.954354354669109,-6.307611401848615,0.7164999999999999,3.75,7.310000000000002e-07,-5.771086594005313,-14.813043664534588,-14.743522793758324,-14.841939206063394,-0.6277,0.0931,-0.2961,-0.8526,-0.1961,0.1905,-0.9994,-0.1943,-1.0,-6.237096471500943,-6.034093084504808,-14.43226803745193,-6.38636956507476,-14.673766579095759,-5.6742791419805885,-5.941149000130133
CV_OBS_752,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.644931793651149,-4.4687766254669725,-13.035363296211498,-3.8483237691529517,-12.95546023960759,-13.299642472177341,-3.7687853520373986,-13.463820467862776,-4.218919921685582,-13.299175181757803,-3.681786358345084,0.9572,5.8,2.16814e-05,-2.8507808873446203,-13.382265964635982,-13.067120542176198,-13.656985502849233,-0.1443,0.2605,0.0525,-0.3779,-0.1986,-0.0169,-0.1537,0.0806,-0.3691,-4.194431182451444,-4.22395292881822,-12.88806572366732,-4.349886835556428,-13.182117453517664,-3.7018021328901853,-3.449282576530717
CV_OBS_258,CV,[HPH2013] 273         ,CV0035,9.19,-5.195724232870906,-4.84043280676638,-13.656394491895828,-4.288277108172766,-13.514420523015321,-13.151626116155398,-4.140681534902884,-14.123585847236429,-4.797473540808442,-13.902812127429106,-4.59492697441401,1.0,6.0,7.783e-05,-3.8810742471742232,-14.095230374093404,-13.609594843519918,-13.82739706879014,-0.6227,-0.0868,-0.381,-0.253,0.0862,0.4041,-0.3123,0.0019,-0.5865,-4.706858516549068,-4.4153296155356525,-13.407712184047869,-4.64762450499948,-13.502735769807732,-4.036448266425904,-4.216053564833747
NS_OBS_257,NS,XMMU J004245.2+41172,NS0046,4.71,-6.780939667551138,-5.400662867007512,-15.190036478285984,-6.108574057152006,-14.190036478285984,-12.843753809602655,-5.2635238179723025,-15.700144185295732,-6.723814025929331,-14.592201339159214,-5.724642568912403,0.0,0.0,0.0,-3.5926090955292684,-14.126388803003533,-13.909741947068687,-14.139661993429007,-1.0,0.1405,-0.9994,0.2642,0.9994,1.0,0.9994,1.0,0.0219,-5.553152289844191,-5.349498205121633,-13.922995673206652,-5.108741383095861,-13.438242897428633,-4.99481948749622,-4.2507662730181845
CV_OBS_64,CV,[HPH2013] 108         ,CV0005,14.3,0.0,0.0,-15.198253380780539,0.0,-14.645507399410565,-12.605373235727791,-6.867740310468956,-14.206364473785571,-6.974148195654031,-13.44405986402652,-6.084318817635999,0.0,0.0,0.0,-5.3720200101700195,0.0,-14.362510270487487,-15.24695343837347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.409938769196255,-6.8110715162391475,-13.192300451488487,-6.566710314804975,-5.807646308570758
CV_OBS_776,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.328549445787505,-4.264241462556261,-12.293623644160311,-3.7162466166674735,-12.254534831329273,-13.576754126063195,-3.677160727313679,-12.701579250800906,-4.180574524562126,-12.644077467440793,-4.128835867197051,0.9572,5.8,2.16814e-05,-3.5451551399914902,-12.876475019057267,-12.409158165218393,-12.908684840302778,-0.1605,0.0481,-0.0587,-0.0518,0.04,0.1293,-0.0187,0.0918,-0.1255,-4.243059763953275,-4.180851057192866,-12.220764368324135,-4.208239195987095,-12.593766488625677,-3.6434005642750287,-3.8555565674058183
CV_OBS_720,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.237021509132257,-4.172824651701308,-12.344861565188618,-3.648203693102976,-12.305482546188845,-13.637329070274331,-3.6088883862971968,-12.75485762734704,-4.12440632852074,-12.701470036638794,-4.072208893464309,0.9572,5.8,2.16814e-05,-3.769040444251431,-12.96417017474717,-12.4294570601181,-13.04138834223512,-0.1255,0.0956,-0.0162,0.0131,0.1074,0.198,0.0912,0.203,-0.0194,-4.210278306019078,-4.180851057192866,-12.271565049025742,-4.1168498003167215,-12.646022253191235,-3.574955125448611,-3.8926068510042566
NS_OBS_206,NS,XMMU J004245.2+41172,NS0044,49.26,-5.415103655862549,-5.1720494716973695,-13.241693818274696,-4.516983579855868,-13.142185222028994,-13.069917366607628,-4.417482116395939,-13.674870365250573,-5.005216682054353,-13.52528851460756,-4.867938927102163,1.0,8.0,7.3510000000000004e-06,-3.8187282284405386,-13.469544156415324,-13.268411234813259,-13.778846678045294,-0.1955,0.2717,0.03,-0.4916,-0.2773,-0.0568,-0.2586,0.0194,-0.5041,-4.817870785947002,-4.822752163744377,-13.061280185217614,-5.0244303421063385,-13.257384830585217,-4.3365817877473205,-4.323172922476817
NS_OBS_319,NS,XMMU J004414.0+41220,NS0047,6.53,0.0,0.0,-12.909389292171593,-4.377993326993195,-12.789949150124862,-12.808269606637143,-4.288192770958808,-13.142751957929097,-4.179338865356405,-13.039243909098227,-4.063707482342438,1.0,7.666666666666668,8.338666666666667e-05,-3.375717904164332,-14.495665088197534,-13.500587874327724,-12.705313375720555,-1.0,-0.955,-0.9994,0.1593,0.9994,1.0,-0.9994,-0.8763,-1.0,-6.002744710179898,-4.2959353205914335,-12.70071066591232,-5.544850478820171,-12.93064719544733,-4.217885852520929,-3.969816801385668
CV_OBS_517,CV,CXOGLB J002406.0-72045,CV0081,25.99,-6.965371543374681,-5.734946211495985,-14.30768195574072,-5.454569170534649,-13.935167780261429,0.0,-5.114695332411032,-14.773980400771215,-6.016076167517936,-14.37931751530136,-5.58838029403677,0.8390000000000001,5.6,2.3292e-06,-5.2661609993028495,-14.478992747591395,-13.976747540366286,-14.076963331329214,-1.0,-0.3442,-0.9994,0.0943,0.9994,1.0,-0.2998,0.158,-0.6952,-5.7759851886271365,-5.254925208417943,-13.746177561291926,-5.460296761052175,-13.997996018664072,-4.926281649653879,-5.25230859338171
CV_OBS_62,CV,[HPH2013] 108         ,CV0005,14.3,0.0,0.0,0.0,0.0,0.0,0.0,-6.827981190575444,-16.358079925586882,0.0,-15.492819022739761,-7.129011186239425,0.0,0.0,0.0,0.0,0.0,-15.22863302914222,-14.93218548883816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.761702932124607,-15.055591361628213,-6.537003387971944,-6.634980257183464
NS_OBS_277,NS,XMMU J004245.2+41172,NS0046,4.71,-7.002395212539547,-6.002395212539547,-14.544850478820171,0.0,-13.523748203992966,-13.226067352532356,-5.896538377905295,-15.24382048315619,-7.701365216875565,-14.222718208328983,-6.344189505504748,0.0,0.0,0.0,-4.05784307153251,-14.727694155597913,-13.363211310965625,-14.684659523372712,-1.0,0.0269,-0.9994,0.2055,0.9994,1.0,0.331,1.0,-0.1393,-6.136439235473758,-5.818728228440539,-13.254847104923101,-5.723538195826756,-13.488654160392842,-5.608535588160897,-4.725235486413387
NS_OBS_315,NS,XMMU J004245.2+41172,NS0046,4.71,0.0,0.0,-15.929223537156565,-7.002569926202528,-14.698970004336019,-12.852632892206213,-5.747389659432629,-16.628193541492585,-7.701539930538548,-15.397940008672034,-6.4463596637686456,0.0,0.0,0.0,-3.6013656754616084,-14.491604966866946,-14.004496429734994,-14.508218224415836,-1.0,0.198,-0.9994,-1.0,-0.9994,0.2892,-0.9994,0.1218,-1.0,-5.80271944187438,-5.642255674819625,-14.410832609453953,-5.8623294627632445,-13.493476026815806,-5.471083299722345,-4.285658502724681
PULSAR_OBS_156,PULSAR,PSR J1231-1411,PL0046,9.99,-5.6416843599178055,-5.461426266193143,-12.867740310468955,-4.339324211661476,-12.81901441921327,0.0,-4.292004253577072,-13.183941075673767,-4.654846903937324,-13.120058729367663,-4.595067979810817,0.0,0.0,0.0,0.0,-13.602407565961885,-13.553929064298995,-12.907981529247206,-0.7202,-0.5928,-0.6596,-0.5553,-0.4035,-0.2467,-0.8407,-0.7864,-0.8888,-5.014124642691606,-4.3568435343802925,-12.77780395369828,-5.340654364253823,-13.066373537504404,-4.251811972993798,-4.544340649676539
CV_OBS_760,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.1529211379342845,-4.098759697926691,-12.131531900979011,-3.5790545940780283,-12.100015437450606,-13.3981572102179,-3.5476001540885584,-12.537152964168325,-4.047207556955908,-12.49490431188354,-4.004979393875242,0.9572,5.8,2.16814e-05,-4.146910470148135,-12.821598658466243,-12.221848749616356,-12.830913642512975,-0.2542,-0.0856,-0.1711,0.1081,0.1861,0.2605,0.015,0.1006,-0.0706,-4.214172080004135,-4.061330198977322,-12.0706321707599,-4.0533021627542585,-12.446534484879207,-3.5181275896893367,-3.91296433519434
PULSAR_OBS_198,PULSAR,PSR J1653-0158,PL0068,16.2,-4.813891620186793,-4.767003889607847,-12.744245213356955,-4.222935845257569,-12.716698771296448,-13.573976984310123,-4.195247397849538,-13.148735534500313,-4.6434769976581745,-13.09977492798965,-4.518844129171965,0.0,0.0,0.0,-4.163296200910269,-13.430158100596238,-12.869988050328095,-13.439973751087107,-0.2205,-0.0706,-0.1474,0.0618,0.1324,0.198,-0.0162,0.0618,-0.0931,-4.842845560093719,-4.7115271994002175,-12.690582774221859,-4.7272304134482415,-13.056584633808331,-4.169218924393639,-4.422692067431356
CV_OBS_381,CV,CXOGLB J002402.1-72054,CV0069,46.73,-5.642446280256919,-5.072578304949581,-12.935916564036406,-4.325690111058523,-12.774690718274135,0.0,-4.1643094285075755,-13.271078353627141,-4.773193950499271,-12.984263125522551,-4.5533812938706815,0.9992,7.6,7.288200000000001e-06,0.0,0.0,-12.712646227285251,-13.32367226611868,-0.268,0.3492,0.0325,-0.6627,-0.3623,-0.0306,-0.3435,0.0406,-0.6727,-4.588380294036769,-4.588885581449095,-12.662940273679476,-4.8344589232776265,-12.815725086002411,-4.0526643240512605,-4.4123170910863925
CV_OBS_679,CV,CXOU J192035.7+374452 ,CV0095,10.9,-5.630413109263656,-5.551139154392558,-13.523893283159806,-4.955852379121278,-13.479778564118039,0.0,-4.913996294381618,-13.841042269059145,-5.427360702957187,-13.779872290664553,-5.371733711588919,0.0,0.0,0.0,-5.5934598195660445,-14.208309350979881,-13.601712694642599,-14.134540677338036,-0.4216,-0.2342,-0.3323,0.0418,0.1549,0.2605,-0.1886,-0.0818,-0.2917,-5.618343517414213,-5.322119418488409,-13.442011851775089,-5.483993769613953,-13.728820791019592,-4.876148359032914,-5.278981230905604
NS_OBS_165,NS,XMMU J004245.2+41172,NS0044,49.26,-5.050219791638,-4.949233688766958,-12.970210529168146,-4.404283380056576,-12.915066425063285,-13.76145211231867,-4.348915910756989,-13.384597104326689,-4.889895354325156,-13.29200765648546,-4.8148036052301375,1.0,8.0,7.3510000000000004e-06,-4.31506491735911,-13.451733454829256,-13.017231422748988,-13.711303739409745,-0.0081,0.2979,0.1412,-0.153,-0.02,0.1118,0.1237,0.2879,-0.0394,-4.856985199745905,-4.959002307576508,-12.865822892423234,-4.867420152340262,-13.215511089241804,-4.299902295386946,-4.562249437179613
CV_OBS_601,CV,CXOGLB J002409.2-72054,CV0088,6.1,-6.391046300724138,-6.232992636050196,-14.369470428573177,-5.749824051916074,-14.290560425867591,-15.559563233894224,-5.672232510097271,-14.793526557982993,-6.211407444079641,-14.673291461302949,-6.078063941932888,0.703,4.2,3.4305999999999995e-07,-6.126853848671744,-14.906578314837766,-14.361211332842602,-14.90031935889075,-0.4254,-0.0731,-0.2536,0.0219,0.2249,0.4129,-0.0325,0.153,-0.2242,-6.308299791709839,-6.1060718734573936,-14.223734781731892,-6.123032032567415,-14.581675502724886,-5.60624935965192,-5.9787279860489635
NS_OBS_428,NS,1WGA J1911.2+0035   ,NS0078,44.36,-3.8138916201867943,-3.789413975094844,-11.678194516142463,-3.0103722292548483,-11.667763584508554,-13.421017157297205,-2.999565922520681,-12.078294800846546,-3.4593890134172733,-12.061420238261624,-3.443863407283175,1.0,8.0,0.000294904,-4.557520230935552,-12.158515390664606,-11.938924676370206,-12.380593589113223,0.0,0.0,0.0,0.0,0.0,0.0,-0.2211,-0.1893,-0.253,0.0,-3.5770820192323383,-11.657379957446652,-3.7659891824128207,-12.045715993292802,-2.989276134608227,-3.4291944614109764
NS_OBS_23,NS,1A 1742-289         ,NS0001,167.36,-7.310779962736166,-5.988429556402723,-14.469160221383481,-7.174314291978241,-13.709520186669328,0.0,-5.852014679316195,-14.640607255828993,-7.413300198375951,-13.88096417380349,-6.090979145788844,0.7596,5.2,0.002257511,0.0,-14.848323769152953,-13.438779321066056,0.0,0.0,0.0,0.0,0.3779,0.9994,1.0,0.0,0.0,0.0,-6.257117828562727,0.0,-13.447940465812115,-5.698102282804793,-13.61096392800022,-5.57218942732401,-5.758187977064452
PULSAR_OBS_323,PULSAR,PSR J1833-0831,PL0098,47.58,-3.626720106722504,-3.6169030700509057,-11.656000930942838,-3.4817493486915,-11.64685345378602,-14.226579276709389,-3.4726279171723884,-12.05051697646298,-3.944857650969832,-12.040879306065685,-3.9349872919167694,0.89825,6.75,8.557235000000001e-05,-4.9771593891234716,-14.146180154143233,-11.631155493174179,-14.827689031478045,0.5753,0.9001,0.7608,0.98,0.9831,0.9863,0.9981,0.9988,0.9963,-5.606600304706899,-6.311491192343478,-11.637706062035768,-3.6078308505102634,-12.030997703067982,-3.4635678241779866,-3.917859658894871
CV_OBS_674,CV,CXOGLB J002416.9-72042,CV0094,38.28,-5.406492410668235,-5.356054087251934,-13.327348077159998,-4.743282254022512,-13.303294219066085,-14.781989957015634,-4.719194071606333,-13.727992603582829,-5.186285608118856,-13.691482539731624,-5.1477762669002285,0.7998000000000001,4.2,1.98642e-06,-5.468138050904192,-13.986320302708807,-13.443938840990468,-14.029188389127484,-0.2167,-0.0993,-0.1574,-0.0131,0.055,0.12300000000000001,-0.1037,-0.0381,-0.1693,-5.365925974512533,-5.230548820597963,-13.280585840297409,-5.313274378925458,-13.65871587221472,-4.6965879294032575,-5.1128217164275656
CV_OBS_212,CV,[HPH2013] 192         ,CV0019,52.93,-6.808269606637143,-5.808269606637143,0.0,0.0,-13.617802789622544,-13.260744196731489,0.0,-15.26889494878408,-7.507239610973163,-13.979804510246804,-6.507239610973163,0.9945,5.5,0.00025103,-4.070223567195098,-14.548827842487462,-13.279840696594045,-14.549750891680636,-1.0,0.0031,-0.9994,0.2742,0.9994,1.0,0.6596,1.0,-0.0993,-6.013138729709955,-5.683819901106548,-13.330683119433887,-5.541060138109673,-13.495648771867275,-5.5377517846450015,-4.72636361705701
PULSAR_OBS_111,PULSAR,PSR J0633+0632,PL0019,14.54,-5.496481687275924,-5.3934036908207155,-13.105407052077046,-4.40749015209932,-13.07504911108439,-13.674279141980588,-4.375614758579736,-13.48225267387575,-4.711746301799326,-13.432004908403044,-4.653056630035798,0.0,0.0,0.0,-4.364315237452778,-14.018453194954764,-13.53895190832934,-13.256333478553787,-0.8089,-0.7277,-0.7708,-0.0431,0.0974,0.2317,-0.7295,-0.6765,-0.7789,-5.397397479579745,-4.552997101533838,-13.046626949273305,-5.310247303860844,-13.38741956784321,-4.34756025241058,-4.601955773157987
CV_OBS_342,CV,2XMM J180507.1-274308 ,CV0060,5.41,-6.283662712110451,-5.928486194904911,-13.844360366240226,-5.043351420794797,-13.755722879198155,-15.094527938075295,-4.9546770212133415,-14.287771330380465,-5.535319726800318,-14.144105466050085,-5.4181185786418125,0.5165,3.5,8.725833333333332e-06,-5.843148098929988,-14.270025714300445,-14.01095084356178,-14.004891542255262,-0.6577,-0.3504,-0.5134,-0.4316,-0.1362,0.153,-0.6209,-0.4354,-0.7776,-5.638461028730721,-5.199282921717615,-13.681936665037238,-5.735418270761922,-14.030459222635246,-4.881074247174222,-5.300283650827827
CV_OBS_437,CV,CXOGLB J002403.7-72042,CV0074,16.15,-5.535808629359001,-5.477555766493679,-13.51088563062108,-4.847711655616943,-13.483068191131988,-14.572351628813069,-4.8198741248359465,-13.905752539941226,-5.2744477072493865,-13.862918199387504,-5.229133266760528,0.9840000000000001,6.2,4.1072e-06,-5.372839047625225,-14.098051534926915,-13.675511766692345,-14.08444188458848,-0.3017,-0.1705,-0.2361,-0.0106,0.0712,0.1493,-0.1686,-0.0956,-0.243,-5.4926839599235855,-5.290306130272207,-13.456925764966467,-5.426200417784259,-13.824378032447825,-4.7939841232366565,-5.1884652084432386
NS_OBS_366,NS,SAXWFC J1734.2-2605.,NS0066,2.56,0.0,0.0,0.0,-8.079720105367052,0.0,0.0,-6.7574585717016165,-16.544089759617258,-8.143234869586896,-15.862804188059455,-7.211266141172294,0.3305,2.0,2.91125e-07,-6.032967117841298,-15.308564847855935,0.0,0.0,0.2267,1.0,0.9994,-1.0,-0.9994,-0.183,0.9994,1.0,-1.0,-6.624153563690844,-7.055813538716313,-15.604324214730065,-7.0193604325562635,-15.431739591454587,-6.466990977504515,-6.471268364015153
NS_OBS_181,NS,XMMU J004245.2+41172,NS0044,49.26,-5.716698771296451,-5.4037328736044845,-13.50017550416042,-4.886390848926972,-13.360912128916265,-13.174054856796152,-4.747389659432627,-13.959714201067507,-5.3965524851853965,-13.749272684509801,-5.199929346888801,1.0,8.0,7.3510000000000004e-06,-3.9226320947158433,-13.789681480173767,-13.40593909872958,-13.946153573147747,-0.3517,0.2517,-0.0687,-0.3579,-0.07,0.2155,-0.1424,0.2042,-0.4516,-5.1738603820640865,-5.128777443240293,-13.255707016877325,-5.231583911783669,-13.421819390372224,-4.64762450499948,-4.489422821023187
PULSAR_OBS_232,PULSAR,PSR J1745-2900,PL0081,107.91,-4.693146251306993,-4.663540266151472,-12.744968836654445,-4.5446982283429245,-12.714892970433187,-14.717151397165356,-4.515700160653214,-13.139463066229279,-5.00823484754309,-13.108393640478988,-4.976801882032864,0.75,5.5,8.803350000000001e-05,-5.466355021201237,-14.77780395369828,-12.682981898951885,-15.173148052179355,0.0506,0.7152,0.3898,0.95,0.9644,0.9763,0.9856,0.9963,0.9738,-6.2644011003018205,-6.5499049241283975,-12.688458041598803,-4.637894680706227,-13.079191113330346,-4.490259984429618,-4.923702613331397
CV_OBS_440,CV,CXOGLB J002403.7-72042,CV0074,16.15,-6.113058294016585,-5.493224463393357,-13.595508382241313,-4.976747540366288,-13.410944468947653,0.0,-4.7966950838615166,-14.008375265465993,-5.523550974070057,-13.6889139827206,-5.2597004852068485,0.9840000000000001,6.2,4.1072e-06,-5.267445420148568,-13.779630367548606,-13.3465945093355,-14.032967117841293,-0.2042,0.4916,0.1499,-0.5315,-0.1524,0.2192,0.005,0.4054,-0.4241,-5.144057053767684,-5.246723429815582,-13.281830594608692,-5.247721014539882,-13.511593837373555,-4.669789215428471,-5.042986862459482
CV_OBS_539,CV,CXOGLB J002407.1-72054,CV0083,18.17,-5.513711239039433,-5.453951133598267,-13.496754228534886,-4.867420152340262,-13.466736483221286,-14.62470226178266,-4.8374355934769815,-13.894033619929314,-5.300717416152137,-13.848893810048823,-5.252262011088607,0.9916,7.4,3.372e-06,-5.441531437476205,-14.120273503360426,-13.623058242853244,-14.120732043175387,-0.2904,-0.1468,-0.2199,0.0406,0.1249,0.2067,-0.0974,-0.0194,-0.1768,-5.5141366704026655,-5.3260580013659125,-13.4386600585411,-5.401428336517858,-13.808174658737919,-4.809668301829708,-5.209475582393868
