obs_id,class,src_n,src_id,significance,photflux_aper_lolim_h,photflux_aper_h,flux_aper_lolim_b,photflux_aper_lolim_b,flux_aper_b,flux_aper_hilim_u,photflux_aper_b,flux_aper_lolim,photflux_aper_lolim,flux_aper,photflux_aper,var_inter_prob,var_inter_index,var_inter_sigma,photflux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_s,hard_ms_lolim,hard_ms_hilim,hard_ms,hard_hm_lolim,hard_hm,hard_hm_hilim,hard_hs,hard_hs_hilim,hard_hs_lolim,photflux_aper_hilim_m,photflux_aper_hilim_s,flux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim,photflux_aper_hilim_b,photflux_aper_hilim
NS_OBS_359,NS,J1824-2452          ,NS0062,92.0,-4.252821328639835,-4.243668232678942,-12.282995592959454,-3.8127613801685216,-12.277201603129097,-13.917573699139226,-3.807153884811158,-12.675467742860675,-4.253843943766066,-12.667238464390195,-4.244529149859919,1.0,8.0,5.6899999999999994e-05,-4.985479461242076,-13.057793457722905,-12.383524486111435,-13.328456914737425,0.0806,0.1131,0.0962,0.2342,0.2473,0.2605,0.336,0.3504,0.3217,-4.454569170534648,-4.536704390037998,-12.27188981589966,-4.235300936201632,-12.659647116413579,-3.8016178699917056,-4.235704284905837
BH_OBS_48,BH,CXOU J100506.7-07443,BH0014,11.41,0.0,0.0,0.0,-7.246110668540165,-15.823619307756731,-15.89859664944467,-6.854803593885817,-16.69924152324571,-7.535570071549156,-16.053547734986928,-6.672886383535031,0.9936,7.6,1.7710400000000001e-06,-5.814174640387037,0.0,-15.680477550934546,-15.485319455875018,-1.0,-0.7189,-0.9994,0.2804,0.9994,1.0,-0.9806,-0.2692,-1.0,-7.722849386036201,-6.737786294523582,-15.522589312092748,-7.170374646641951,-15.618749505533847,-6.65247484000131,-6.3923348505439925
BH_OBS_147,BH,J1745-2900          ,BH0027,337.0,-6.217670731003162,-5.585695311871668,-14.399462705635534,-6.0074464821678655,-13.700492701299513,-13.549135307620233,-5.437588167050271,-14.792796640691972,-6.497900773184713,-14.09388054245444,-5.903298498389997,0.8301999999999999,7.0,0.000481169,-4.297914278564175,-14.773657912836368,-13.444180316938805,-14.799696817018413,-1.0,0.12300000000000001,-0.9994,0.6115,0.9994,1.0,0.9994,1.0,0.4291,-6.182566855888616,-5.96738123914928,-13.453333974929814,-5.338471259868017,-13.687484144336612,-5.199351644636011,-4.899623940066888
PULSAR_OBS_178,PULSAR,PSR J1617-5055,PL0062,85.97,-3.612432220582811,-3.6001532872870774,-11.69015699528393,-3.4528408786725824,-11.677987561417599,-12.650334015903368,-3.4408118109952244,-12.080141559269038,-3.911181276262655,-12.058595414963074,-3.895365963586573,0.8803999999999998,5.6,2.1036320000000002e-05,-5.055369298143722,-13.248259126189101,-11.669789215428471,-14.521433504406154,0.8601,0.9613,0.9144,0.8626,0.8732,0.8838,0.9944,0.9975,0.9913,-4.7342390832823895,-5.915781313260761,-11.666351243485297,-3.5880437620695984,-12.038278089153645,-3.429106963781608,-3.8801129285462768
BH_OBS_17,BH,IGR J17464-3213     ,BH0008,6.9,-5.7559704109699785,-5.630969778190847,-13.882397308309915,-5.57170318601712,-13.771856392402258,-15.361910278015495,-5.460923901207224,-14.283989974963028,-6.019642061470084,-14.162462064059088,-5.894374018807023,0.9803333333333332,7.0,1.5616666666666666e-06,-6.110642263111067,-14.692290076595194,-13.697885623043803,-15.736363931411894,0.6839,1.0,0.9994,0.4603,0.6184,0.7539,0.9994,1.0,0.9126,-6.090657961638692,-6.976747540366287,-13.688034339631633,-5.534022631714177,-14.063394783826787,-5.377268034835281,-5.753934945198813
BH_OBS_82,BH,CXOU J100516.2-07423,BH0020,16.78,-7.119472221801195,-6.656985502849232,-14.793984123236655,-6.009749967072184,-14.64646844092224,-14.879755204453636,-5.867740310468956,-15.235838817763096,-6.458700391934241,-14.969716096188655,-6.216582416643587,0.465,2.4,2.9786e-07,-5.926281649653879,-15.1307095957906,-14.792096469613949,-14.927750102386485,-0.7189,-0.2192,-0.4947,-0.2542,0.1512,0.5053,-0.396,-0.0868,-0.6652,-6.527389802403955,-6.1428484973125075,-14.536554968229574,-6.4381833356810425,-14.809046725078607,-5.761201437286083,-6.065582355246925
CV_OBS_468,CV,CXOGLB J002404.9-72045,CV0077,19.64,-7.574791948861343,-6.7295540919820365,-14.420330706445279,-5.8236193077567275,-14.27531461176264,-15.051684859310653,-5.688458041598805,-14.896107377462561,-6.295057146888998,-14.66606529953058,-6.124083729140224,0.5824,4.0,2.51842e-06,-5.4990777608097,-15.502932063601493,-14.398918272215974,-14.397289055042444,-0.9838,-0.7964,-0.9069,0.0443,0.5334,0.8613,-0.7758,-0.589,-0.9176,-6.812479279163537,-5.725380380908762,-14.166852888087215,-6.472112434047295,-14.49460851253804,-5.585360853262991,-5.788334928951813
NS_OBS_419,NS,1WGA J0748.5-6745   ,NS0076,6.77,0.0,0.0,-15.485585079419632,-6.498256270372004,-15.093449480898547,0.0,-6.197226274708023,-15.355758414156272,-6.9708598202356775,-15.0314236648245,-6.678733060425211,0.7164999999999999,3.75,7.310000000000002e-07,-5.893129455521346,-14.808828544271442,0.0,0.0,0.6002,1.0,0.9994,-1.0,-0.9994,-0.5753,0.9994,1.0,-1.0,-6.215953584191888,-6.985899678480378,-14.898252926053633,-6.964970717797632,-14.851243148678208,-6.021135015652343,-6.214470862440527
CV_OBS_383,CV,CXOGLB J002402.1-72054,CV0069,46.73,-5.234629519708352,-5.076548730360349,-13.177308989223945,-4.583026827396964,-13.09231997575758,-14.398700689805665,-4.498256270372005,-13.60174741181612,-5.069601185972512,-13.481249236805198,-4.859391408374949,0.9992,7.6,7.288200000000001e-06,-4.533280628318401,-13.6985359268567,-13.160710543993853,-13.702239488900867,-0.2917,0.12300000000000001,-0.0912,-0.0481,0.1487,0.3354,0.0612,0.273,-0.1518,-5.085445301482366,-5.0085081110898395,-13.021317434843054,-4.966576244513051,-13.380608194505932,-4.427360702957187,-4.719012110995354
CV_OBS_397,CV,CXOGLB J002402.5-72051,CV0070,22.52,-5.562249437179612,-5.501965276312973,-13.552531869050245,-4.972650392225243,-13.520280764560427,-14.429223631205252,-4.940436582098731,-13.940391148261027,-5.3701013304830925,-13.892030679247394,-5.31787298198422,0.9994,7.6,3.1642e-06,-5.3007694971165895,-14.248259126189101,-13.638649975647732,-14.225045310919864,-0.3304,-0.1743,-0.2536,0.1443,0.2299,0.3129,-0.025,0.0568,-0.1081,-5.651889931519762,-5.434388275097941,-13.490125714995283,-5.449038247701823,-13.84983325034178,-4.910448117113546,-5.2715488170554226
