obs_id,src_n,src_id,significance,class,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_s,photflux_aper_lolim_u,photflux_aper_h,photflux_aper_hilim_u,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_b,photflux_aper_u,photflux_aper_lolim_b,photflux_aper_hilim_h,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_lolim_m,flux_aper_u,photflux_aper_hilim,flux_aper_hilim_m,flux_aper_b,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim_s,flux_aper_h,flux_aper_hilim,flux_aper_lolim_u,flux_aper_lolim,flux_aper_s,photflux_aper_lolim,flux_aper,photflux_aper,flux_aper_hilim_u,flux_aper_lolim_b,flux_aper_lolim_s,var_inter_index,var_max,var_inter_sigma,var_index,var_min,var_prob,ks_prob,var_mean,var_inter_prob,var_sigma,kp_prob,hard_hs_lolim,hard_ms_lolim,hard_ms,hard_hs,hard_hs_hilim,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_ms_hilim
TUC_OBS_575,CXOGLB J002409.2-720543,TC0054,6.1,TUC,0.4516510221780769,0.11561430600552039,-0.7834614886304752,-0.2600644367977933,0.11071148189682584,0.6870065889312756,0.6452995080637522,0.30774288724990995,0.29608465643746257,0.5064242987016035,0.6767119369266472,0.3464659087979784,0.30257198960386295,0.20732132878751142,0.6865662594868218,0.4751841566906704,0.4419146581632069,-0.22378221103248008,0.4603017106035712,0.36166757145638584,0.32909549716263153,0.39107093948043514,0.10146518600604096,0.3006367904820927,0.22065385452700406,0.3661461022333118,0.3436693118419089,0.7126190186526062,-0.02014702701320148,0.04178208587112058,-0.045054718132399384,0.03800414136755675,0.14939485739855332,0.4126584497660446,0.30788887201144144,-0.8248760202879774,0.7706308414956987,1.1869902469222284,-0.22719716611516294,0.5321761280579089,0.0010756538022531838,0.5872709315098941,0.6723996425890048,0.9128886808153754,0.9455383226061207,1.1832508666264032,0.9769361964187825,-0.1581643315334934,0.19314980307218693,0.6128647559253271,0.6944216737465899,0.9356633120034604,0.27153357536752076,0.5343103517505392,-0.37601293597881047,0.9611929549854342
TUC_OBS_592,CXOGLB J002410.6-720516,TC0056,6.98,TUC,-0.08887496829740978,-0.6181247690159728,0.4824890075160171,-1.334401196686529,0.3142931152702896,0.6051631759385926,-0.4645188076556926,0.22941825106571828,0.2867439900404126,-1.1171068584506476,-0.9915349278384943,-0.06922142970746573,0.19433950648467724,0.11081607967831775,-0.25599110960080546,0.49441408445279206,-0.4336946364502642,-1.327970031691808,0.04273501678701085,-0.03787417742297736,-1.1778592189716905,0.4921879824846769,-0.5886901968679208,-1.200849253070308,1.1590526566517196,-0.5634331755049412,0.528647713597465,0.4134474723725149,0.6849996106276928,1.1425427395140422,0.07761463225172566,0.5634447863424112,-0.13953927891589624,0.05320684162178253,0.5868594250256767,1.0920183949363869,-0.014028647866276054,-0.8475794836188999,-0.24754014891734558,-1.0626924301678005,-0.3252306800356485,-0.8833308443622518,-0.7742365563938235,-0.9013590638406682,0.06830661249334155,-0.8497495451371215,-1.1190393711573574,-0.6731893321418324,-1.0307553568333345,-1.132479369546787,-0.5324754422778657,-0.8580703765418506,1.323830214477909,1.2679239977814614,1.4335957826957604,-1.691847374876632
TUC_OBS_12,CXOGLB J002400.9-720453,TC0002,61.02,TUC,3.26344420379334,2.3794260602486954,3.0847910424175478,2.9070663351331123,3.4954576340780656,2.4547833064126965,2.450181033284539,2.3224760007940444,3.3851693097952023,3.283579835762349,3.1046277503516246,3.2864538149533638,2.620890356756421,2.9617103489318075,2.2047073396102808,2.5822521745496925,1.846713056888282,2.890442609743643,2.703252102850859,3.0222153632587174,3.0757061568543267,2.655147259736196,2.165128865018666,3.1931026778595077,3.282058550107373,2.0765596807096656,2.599139110574822,2.4855376765893364,2.5429414532821792,3.3857342071241256,2.951256723469798,2.5836329767028,3.1870799264753504,2.4860479231697736,2.402261203135681,3.0326567577404053,2.524575582422466,-0.7570823532635489,9.004055038805108,5.375199712922334,-0.12504464010810937,2.7759017349774084,1.9205557046312682,2.922686380629353,2.0144114216973845,-0.5685324914131469,1.862739194793161,-0.3719695483214696,0.7455053414332585,0.06958458338547283,-0.6160532364304894,-1.4614531824709454,-0.8473036996738075,-2.0578788455451025,-0.4261277690070335,-0.7531427304181519
TUC_OBS_924,CXOGLB J002404.3-720501,TC0095,12.45,TUC,0.3634647961619473,0.5422438317752983,0.34962949992571785,0.8591006590452408,0.1973025560986677,1.2003532975174291,0.22219230787615185,1.2716478201778065,0.18832305594602416,0.5953683560649273,0.5492633903432245,0.4180893701146082,1.2748175349338708,0.5890920211933235,0.2702139071931135,0.39009327362320856,0.24878389900776376,0.8692867020189836,1.1909556378405715,0.7680615396406864,0.5724256629015866,0.4465949993203605,0.5415264057508304,0.6169832365159958,0.34837270464541836,0.227066978963863,0.38354511464832397,1.1057674156433572,0.5821239431862648,0.3477659274506784,0.8724358659728717,0.47125339014641193,0.9270448759282702,1.201851611183091,0.6353420331317904,0.4577217605761614,-0.4294366128226156,-0.8471655018093979,-0.0891744192822173,-1.0626924301678005,-0.2715630126947041,-1.052870577767951,0.9047410087057599,-0.8771444471639605,-0.2658511896973115,-0.8495046630517189,0.24650966236422983,0.030407814358536223,0.8201883509466538,0.6349029230113334,0.11684775549633569,0.05870168537480726,-0.35274112502254024,-0.631846107083561,-0.3025252186391053,0.49998345583442505
TUC_OBS_1171,CXOGLB J002413.4-720451,TC0118,7.83,TUC,0.550259834649649,0.05973263807079771,-0.4790587534734766,-0.18531278885921051,0.30955687503890295,0.980379572123832,0.32931859701377153,1.3669811581715297,0.46463942134503794,0.6850688711656506,0.8621530167060839,0.38614373726383844,1.4163607841948196,0.0088081025936428,0.4055869656591489,0.42718243099533143,0.6018723088890678,0.03684275184582912,1.3614019946528517,0.9156175633060788,1.2634627247977972,0.29623312035485866,0.025339270796732212,1.0642521548330195,0.32658253721223607,0.5255373608250024,0.49602048015886113,0.9298307505656127,-0.16520501477920135,0.21471728321464775,-0.248148057889424,0.33813074517084907,0.08663123541077183,1.4208121127597508,0.00409651875740821,-0.4758326577345208,0.6783179603942898,1.1748324685195308,-0.17565538104508102,0.43706074240218534,0.09512525995170155,0.5679339830275646,-0.0019332452428911457,0.8941034320454808,0.6972142692818878,1.179962915499592,-0.17731849588051232,-0.8504967142410288,0.08142402084014765,0.4505300430150121,-0.9699748451885271,0.05870168537480726,-1.4821069816985109,-0.9931749309500457,-1.3204038020778852,1.3355456746353118
TUC_OBS_75,CXOGLB J002403.7-720456,TC0009,8.83,TUC,0.5208880022044162,0.12497771353532264,-0.36204080610053746,0.7356165622340879,0.29252350383661374,0.655414337881551,0.6155868140571438,0.547457032962528,0.45547658125298834,1.073703108016759,1.200976598682155,0.31634316837538345,0.6236406618884087,-0.5948179622295837,0.6730042205738739,0.04917451323705326,0.28884977088453984,0.7476397274627907,0.512329308585826,0.558122037887839,1.2224494195892637,-0.07426556370809725,0.027502030873591186,1.0835553575494496,0.398139626222468,0.19655053334904232,0.3281976068259915,0.7239722234794747,-0.276472762738498,0.16255569069292783,-0.38434508681299134,0.07654169361607677,0.15488217513324004,0.4895841215795001,-0.2711416843422452,-0.3985255648924426,0.21675355488724593,1.1748177406398492,-0.18542660508761788,0.45900471504269413,0.10539847050860439,0.5620805452411172,-0.023959321393407007,0.8600403949795988,0.3229287396337686,1.1784900724809473,-0.2560861690191524,-0.8504967142410288,1.8726213210094198,2.1834776995012475,-0.9699748451885271,0.4241652548196655,-1.4821069816985109,-1.1353837888574734,-1.3204038020778852,2.2251762386756524
TUC_OBS_16,CXOGLB J002400.9-720453,TC0002,61.02,TUC,2.3373082991753185,1.9458162308348683,1.6568152464670942,2.523300250666736,1.7653248848879857,0.8715117144825928,2.0349326605015743,0.3222757733357528,1.7442753600403933,2.8182538644443094,2.708537961742985,2.3464812913464157,0.40439432330568853,2.1712059711907745,1.953327710742156,1.951392875640331,1.7520297957688307,2.5072986977231224,0.8637467402033837,1.9991745998422077,2.682066657477098,1.994598622930083,1.8463047680635436,2.7411898996350477,1.6478325622647307,1.8356040198696972,2.018897000774053,1.0448879409600924,1.9844134745857387,1.6677560023917049,2.079754656778692,1.994616933683896,2.166733645741799,0.7769376575690835,1.8588540696733336,1.5967642920836331,2.524575582422466,-0.8153507978068222,9.004055038805108,1.284455747000478,0.7913750998842181,0.8933042786182978,0.1672772829519801,0.1158360578747908,2.0144114216973845,-0.7905742853790141,0.09148356435574045,0.7452697246517381,2.8987658717234708,1.7238245002788284,0.4824422405326729,0.26379146337509685,-0.7911512642890481,-1.7129840191255472,-0.5760511350410448,1.3192600284788496
TUC_OBS_1921,CXOGLB J002406.1-720451,TC0211,4.79,TUC,-0.7010074637538481,-1.0149813092082127,-0.39176106878463784,-0.9541248259294045,-0.7007273338253778,-0.4565084153263323,-0.9561603874773392,-0.47488100025923574,-0.6762827953231739,-0.9093705911086978,-0.807376907309417,-0.7062197336304684,-0.610070389424426,-0.5229294481119916,-0.865080767145893,-1.1069051757128663,-1.0751705340563473,-1.2642174148117402,-0.7754950891556739,-0.3775355063869346,-1.0427508788415485,-1.2088491015874359,-1.0158219582895902,-1.1387251202442414,-0.6902430295427874,-1.043704905385172,-1.0305557132252896,-0.9713694038478736,-0.8901075196179705,-0.7102122155316538,-0.0039060676736266137,-0.8694347891163003,-0.1252796767311519,-0.6658234303976608,-1.814545197139676,-0.47456779359853035,0.06289875305156453,1.1748641775067152,-0.24519019216712265,0.48780385061334636,0.035942409124501924,0.6430542132374056,-0.5526166929847173,1.042741443035,0.18377129912357013,1.182278173754947,-0.6555804829279474,0.4953481731754318,-0.10354687402878908,0.2616904987967949,0.7576756933124414,1.0135823336396697,0.04914513058491237,0.15512398105827782,-0.5253010929947489,0.34100225424854586
TUC_OBS_1312,CXOGLB J002348.9-720719,TC0135,2.13,TUC,-1.092957968246452,-0.8481985981570596,-0.9691393290422926,-1.319647926565174,-1.0129176719112434,-1.239454054907157,-0.7371520921629161,-0.738669864171414,-0.9402375188415768,-1.1935212243954763,-1.160191752844653,-1.1864446264357238,-0.9692574656454728,-1.444342808652583,-0.5577203956475767,-0.055148853073984615,0.21614596244086517,-1.2933779206705147,0.17088587963218782,-1.0281285301031973,-1.0638698596380234,-0.15965266908223444,-0.08752714295124026,-1.1744748652758148,-1.0315816259520054,0.07013132203732397,-0.2205031830734091,-0.03822363616640391,-0.8863446294575775,-1.1105564663734835,-1.4141764280865015,-0.3154827430141534,-1.335437383997905,0.21130791673053226,-0.3948294202710632,-1.2831128467164152,-0.7063752561268419,1.1935425244910287,-0.24586296243318637,0.790101633304511,-0.06667185365388613,1.0360339718668736,1.0939790062622226,1.071419234305456,-0.6787649054180893,1.1913202689471996,1.275019742416783,-0.20885576860124322,-1.0307553568333345,-1.132479369546787,0.544697580683603,0.662084491303902,1.323830214477909,1.2679239977814614,1.070579093029137,-0.628503251834028
TUC_OBS_1078,CXOGLB J002407.8-720524,TC0109,4.72,TUC,-0.9247327947435029,-1.0017994878472314,-0.8377747027643598,-0.4733854748740707,-1.0496584514466123,-1.2438102660290358,-0.9508275157517434,-1.3287221879249946,-1.0105308551845018,-0.7654727542748265,-0.6969410932582282,-0.8908259340832518,-1.0353330576712907,-0.6029969138073137,-0.8225115491644747,-0.8208616209741972,-0.9184370934490895,-0.5980336623402963,-1.1600855474191019,-1.1486102429029839,-0.7645143704744397,-0.8224387111231531,-1.0022497191588426,-0.8095714819961058,-1.0254120336471841,-1.0424280421446732,-1.035548456487519,-1.1741985942001347,-0.8157774729971095,-1.0625301661079791,-0.7461774807956916,-1.023278764820587,-1.0424571637172866,-1.2569073130552122,-0.5376317017710579,-0.8603831720802237,-0.8217663575036029,1.175087422189953,-0.20248301422517836,0.6357486984154931,0.019422907495613567,0.7806058804615531,-0.7755512995774149,1.028254325161249,-1.0608480502672109,1.1859174359936988,-0.7618954018856007,-0.8504967142410288,0.02526239768607462,0.32774596925011934,-0.24672343098509625,-0.054314668831424065,-0.007263266317808955,0.05246554660657321,-0.6628045434764559,0.4782692609591422
