angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,name,ra,dec
0.787977,5.6635220173247,-72.0430974488858,0.003,0.002,90,4.68964187818489E+018,5.66359824706,0.0894,-72.04311014763,0.0725,0.285,0.0905,5.458,0.187,-2.949,0.138,0,2006.76,2.32479,17.432129,1361.33,18.9026,17.516483,1604.21,22.3846,16.748764,0.767719,,,0,,,,,,0.001258,0.015076,0.01515,2CXO J002239.1-720234,5.66329221105423,-72.0428903503337
0.406977,5.6702516201784,-72.156247174711,0.002,0.001,90,4.68963720096427E+018,5.67032776015,0.0464,-72.15625711406,0.0419,0.2044,0.051,5.419,0.101,-2.308,0.079,0,4614.11,21.5074,16.528145,2345.19,79.0693,16.925943,4081.99,61.5885,15.73474,1.191203,,,0,4885,,,,,0.005061,0.036606,0.016381,2CXO J002240.9-720922,5.67041923654904,-72.156146466574
0.850231,5.6818214941616,-72.1607777460135,0.02,0.017,90,4.68963720526097E+018,5.68191628955,0.6125,-72.16078719599,0.5661,1.292,0.651,6.745,1.268,-2.195,1.079,0,186.847,1.17702,20.009651,282.825,38.3742,19.222591,311.299,10.3892,18.528975,0.693617,,,0,,,,,,0.006839,0.147314,0.036235,2CXO J002243.5-720939,5.68144057403555,-72.1609830785117
0.878479,5.6819290970216,-72.1611758220565,0.027,0.024,0,4.68963720525387E+018,5.68202959214,0.745,-72.16120222957,0.8029,-2.119,0.8542,7.15,1.545,-6.133,1.757,0,111.525,1.22482,20.569937,,,,,,,,,,0,,,,,,0.011924,,,2CXO J002243.5-720939,5.68144057403555,-72.1609830785117
0.824192,5.6924121403754,-72.0217805995922,0.01,0.009,90,4.68964266417803E+018,5.69248905956,0.3607,-72.0217956513,0.3539,0.3687,0.4312,5.514,0.661,-3.496,0.58,0,250.335,1.15706,19.69206,269.234,29.7446,19.276064,444.422,10.3249,18.142431,1.133633,,,0,,,,,,0.005018,0.119951,0.025224,2CXO J002246.1-720119,5.69249770945521,-72.0220080132323
0.620966,5.7284927356934,-72.1238379202835,0.016,0.011,90,4.68963751022202E+018,5.7286014874,0.4827,-72.12385091222,0.3485,-0.0841,0.402,7.753,1.057,-3.017,0.692,0,353.717,1.79069,19.316725,299.895,55.4502,19.158966,397.157,3.52432,18.264515,0.894451,,,0,,,,,,0.005497,0.200751,0.009635,2CXO J002254.9-720726,5.7289451204831,-72.1239402423722
0.665716,5.7789357123696,-72.0982789853216,0.027,0.011,90,4.68963864836244E+018,5.77924092688,0.4746,-72.09830634871,0.6036,5.2866,0.6995,21.79,1.72,-6.355,0.706,0,504.846,3.59534,18.93047,,,,,,,,,,0,,,,,,0.007732,,,2CXO J002306.9-720554,5.7787827261314,-72.0984578272613
0.788641,5.8051725804652,-72.1424221138971,0.016,0.012,90,4.68963754885863E+018,5.80526284579,0.3328,-72.1424299707,0.4487,1.4049,0.3919,6.429,1.009,-1.825,0.792,0,353.311,1.8469,19.317972,430.657,20.6485,18.76606,698.821,175.155,17.651005,1.115055,,,0,,,,,,0.005676,0.052057,0.272132,2CXO J002313.3-720832,5.80561266397433,-72.1422495510071
0.655247,5.8360290724337,-72.0044180355322,0.009,0.008,0,4.68964232485537E+018,5.83607286431,0.2261,-72.00442737332,0.1949,0.1044,0.2359,3.142,0.512,-2.169,0.574,0,518.867,1.4972,18.900726,453.343,24.4449,18.710321,597.587,12.4632,17.820917,0.889404,,,0,,,,,,0.003133,0.058545,0.022644,2CXO J002320.5-720015,5.8358202926492,-72.0042478347773
0.39207,5.857074439692,-71.957811578896,0.048,0.028,0,4.68964345872401E+018,5.85716811623,0.6322,-71.95783186439,0.8961,1.0795,0.9905,6.739,1.798,-4.711,3.069,0,196.137,1.34319,19.956966,,,,,,,,,,0,,,,,,0.007435,,,2CXO J002325.6-715728,5.85684396576136,-71.9578938328007
