#ra,dec
5.66329221105423,-72.0428903503337
5.67041923654904,-72.156146466574
5.68144057403555,-72.1609830785117
5.68144057403555,-72.1609830785117
5.69249770945521,-72.0220080132323
5.69287646315183,-72.1725478371534
5.7289451204831,-72.1239402423722
5.7787827261314,-72.0984578272613
5.80561266397433,-72.1422495510071
5.8358202926492,-72.0042478347773
5.85684396576136,-71.9578938328007
5.87816973463322,-72.3454265436232
5.89276171515212,-72.1422877905115
5.90109404893337,-72.0676754100641
5.90431133470963,-72.0121310403221
5.91423563896979,-72.1172762166
5.91480482876057,-72.0279404826122
5.91480482876057,-72.0279404826122
5.91526431453389,-72.0675829840067
5.91569696246819,-71.9796737782739
5.91569696246819,-71.9796737782739
5.92065983237103,-72.1393103203457
5.92238355418783,-72.1177605886171
5.94256900209172,-72.1207660432167
5.94313009775919,-72.0672089954348
5.95521056129996,-72.0939341077
5.96582037503561,-72.099840678091
5.96777632483952,-72.1232571626284
5.96777632483952,-72.1232571626284
5.97224787614152,-72.1957724963029
5.97749783139392,-72.0655383659148
5.9898100984085,-72.1315089290702
5.99040222450486,-72.0839140111045
5.99053113183601,-72.0706095128324
5.99689909723674,-71.9788197954651
6.00191358997745,-72.0800196533997
6.0057786104428,-72.0793737551755
6.00581022040234,-72.1139209791984
6.00861150188462,-72.0259557019974
6.02076352881443,-72.0816853031033
6.02120458534461,-72.0840951855112
6.02332835938245,-71.9445039853878
6.02368438357996,-72.0845066780803
6.02509200697779,-72.0628654147544
6.0301969897962,-72.0818254886148
6.03233807262996,-72.0753806151369
6.03467542173269,-72.0766177872057
6.03472025786681,-72.0754165121844
6.04097234730426,-72.063312518797
6.04711281344925,-72.0808950061615
6.05749890102277,-72.0595751889461
6.05757603686425,-72.0506295600332
6.06000155040601,-71.9802665701067
6.06057851931098,-72.1149073580898
6.06426003030498,-72.1130091142806
6.07079115335375,-72.0742343713089
6.0718849663657,-72.0507887742477
6.07544390481417,-72.1053209772561
6.0779903119863,-72.0404748451038
6.0779903119863,-72.0404748451038
6.08087053074274,-72.0754373131646
6.08506989800691,-72.2027115960643
6.0872090295216,-72.0886090404489
6.09689028348964,-72.1229862009939
6.09808022970094,-72.1418333677715
6.10111295100688,-72.1290349684293
6.10492005507251,-72.0853672575519
6.10775731198066,-72.1176685350779
6.12486533692476,-72.1120540304582
6.12718960865834,-72.0922409492134
6.12718960865834,-72.0922409492134
6.13262918526726,-72.158198661415
6.14242599231568,-72.0593168577402
6.14402484737229,-72.0597819035068
6.14550837837112,-72.0112800227105
6.14740726793525,-72.2458145092722
6.15488571982621,-72.0880207507703
6.15751433680327,-72.0234890013195
6.16206992437117,-72.0129328179769
6.17225016631943,-72.1032478502222
6.1771981424742,-71.9898568710763
6.1782487953858,-72.1057921976668
6.19529444180608,-72.2097552821398
6.21807242701095,-72.0491808029999
6.23742645788536,-72.1362371457631
6.27586501729849,-72.1352471891314
6.27586501729849,-72.1352471891314
6.32539835034913,-72.0519234376805
6.34646911377746,-72.0542430135441
6.34653189027716,-72.0492466277482
6.3722243489633,-72.0902736547004
6.40817855730734,-72.2565026889705
6.45032357890631,-72.0659691265449
6.45808702864741,-72.0389697500212
