,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
32,BH,BH0033,CJ0422+32____________,65.427856,32.907516,XRBCAT__________,_____________,2CXO_J042142.7+325426_,65.428058,32.907468,1,0.011
33,NS,NS0001,1A_1742-289__________,266.404167,-29.018611,INTREFCAT_______,INTEGRAL_____,2CXO_J174536.7-290107_,266.403262,-29.018745,97,0.048
34,NS,NS0002,1A_1742-294__________,266.522917,-29.515278,INTREFCAT_______,INTEGRAL_____,2CXO_J174605.2-293053_,266.52171,-29.514876,0,0.067
35,NS,NS0003,1A_1743-288__________,266.760833,-28.883056,INTREFCAT_______,INTEGRAL_____,2CXO_J174702.5-285259_,266.760784,-28.883084,2,0.003
36,NS,NS0004,1A_1744-361__________,267.08,-36.121389,INTREFCAT_______,INTEGRAL_____,2CXO_J174819.2-360716_,267.080098,-36.121268,1,0.009
37,NS,NS0005,1H_0512-401__________,78.5275,-40.043611,INTREFCAT_______,INTEGRAL_____,2CXO_J051406.4-400238_,78.526849,-40.043909,2,0.035
38,NS,NS0006,1H_1715-321__________,259.6975,-32.177778,INTREFCAT_______,INTEGRAL_____,2CXO_J171847.4-321032_,259.697892,-32.17561,1,0.132
39,NS,NS0007,1H_1746-370__________,267.552917,-37.052222,INTREFCAT_______,INTEGRAL_____,2CXO_J175012.7-370306_,267.552922,-37.051758,2,0.028
40,NS,NS0008,1RXS_J171824.2-40293_,259.600417,-40.491667,INTREFCAT_______,INTEGRAL_____,2CXO_J171824.1-402933_,259.600626,-40.492545,3,0.054
41,NS,NS0009,2E_1613.5-5053_______,244.40125,-51.040278,INTREFCAT_______,INTEGRAL_____,2CXO_J161736.2-510224_,244.400927,-51.04022,20,0.013
42,NS,NS0010,3A_1954+319__________,298.92625,32.096944,INTREFCAT_______,INTEGRAL_____,2CXO_J195542.3+320549_,298.92637,32.096958,0,0.006
43,NS,NS0011,3A_2129+470__________,322.859167,47.29,INTREFCAT_______,INTEGRAL_____,2CXO_J213126.2+471724_,322.859213,47.290151,4,0.009
44,NS,NS0012,4U_1708-40___________,258.099167,-40.842778,INTREFCAT_______,INTEGRAL_____,2CXO_J171223.7-405034_,258.099163,-40.842823,1,0.003
45,NS,NS0013,4U_1730-335__________,263.350417,-33.387778,INTREFCAT_______,INTEGRAL_____,2CXO_J173324.5-332320_,263.352479,-33.388921,0,0.124
46,NS,NS0014,4U_1812-12___________,273.775833,-12.096389,INTREFCAT_______,INTEGRAL_____,2CXO_J181506.2-120545_,273.775986,-12.095957,1,0.027
47,NS,NS0015,4U_2129+12___________,322.492917,12.1675,INTREFCAT_______,INTEGRAL_____,2CXO_J212958.1+121002_,322.492171,12.167285,8,0.046
48,NS,NS0016,CEN_X-4______________,224.591667,-31.668889,INTREFCAT_______,INTEGRAL_____,2CXO_J145821.9-314007_,224.591322,-31.668837,2,0.018
49,NS,NS0017,CIR_X-1______________,230.170417,-57.166944,INTREFCAT_______,INTEGRAL_____,2CXO_J152040.8-571000_,230.1702,-57.166675,1,0.018
50,NS,NS0018,CYG_X-2______________,326.171667,38.321667,INTREFCAT_______,INTEGRAL_____,2CXO_J214441.1+381917_,326.171509,38.321474,6,0.014
51,NS,NS0019,EXO_0748-676_________,117.140833,-67.7525,INTREFCAT_______,INTEGRAL_____,2CXO_J074833.7-674507_,117.140456,-67.752074,9,0.027
52,NS,NS0020,EXO_1745-248_________,267.021667,-24.780556,INTREFCAT_______,INTEGRAL_____,2CXO_J174805.2-244651_,267.02194,-24.781027,30,0.032
53,NS,NS0021,GRS_1741.9-2853______,266.259583,-28.913889,INTREFCAT_______,INTEGRAL_____,2CXO_J174502.3-285449_,266.259684,-28.913859,34,0.006
54,NS,NS0022,GX_13+1______________,273.631667,-17.1575,INTREFCAT_______,INTEGRAL_____,2CXO_J181431.0-170925_,273.629472,-17.157138,1,0.128
55,NS,NS0023,H_1608-522___________,243.179167,-52.423056,INTREFCAT_______,INTEGRAL_____,2CXO_J161243.0-522523_,243.179378,-52.423114,4,0.008
56,NS,NS0024,H_1658-298___________,255.52625,-29.945833,INTREFCAT_______,INTEGRAL_____,2CXO_J170206.5-295644_,255.527181,-29.945609,8,0.05
57,NS,NS0025,H_1702-429___________,256.56375,-43.035833,INTREFCAT_______,INTEGRAL_____,2CXO_J170615.3-430208_,256.563917,-43.035801,0,0.008
58,NS,NS0026,HD_22468_____________,54.197083,0.587778,INTREFCAT_______,INTEGRAL_____,2CXO_J033647.2+003515_,54.197048,0.587742,0,0.003
59,NS,NS0027,HER_X-1______________,254.4575,35.3425,INTREFCAT_______,INTEGRAL_____,2CXO_J165749.7+352033_,254.457353,35.342512,1,0.007
60,NS,NS0028,IGR_J00291+5934______,7.262917,59.571944,INTREFCAT_______,INTEGRAL_____,2CXO_J002903.0+593419_,7.262675,59.571945,5,0.007
61,NS,NS0029,IGR_J17254-3257______,261.353333,-32.954167,INTREFCAT_______,INTEGRAL_____,2CXO_J172524.9-325714_,261.354147,-32.954104,0,0.041
62,NS,NS0030,IGR_J17464-2811______,266.8175,-28.18,INTREFCAT_______,INTEGRAL_____,2CXO_J174716.1-281048_,266.817333,-28.180017,1,0.009
63,NS,NS0031,IGR_J17473-2721______,266.825417,-27.344167,INTREFCAT_______,INTEGRAL_____,2CXO_J174718.0-272038_,266.825156,-27.344152,0,0.014
