index,class,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,PULSAR,9939.9,4.57,97.72061,2013-08-25T17:07:54,,,,0.0023960500000000003,0.001197925,0.0013401,0.0002111525,0.64375,0.68925,0.485,0.25,13.67445868200224,13.935954037135517,13.783431670795,7.192000000000001e-06,4.0412e-06,5.65125e-06,0.1387,-0.6408,-0.7083,,,,,,,,,,,,,,,,,0.4191,-0.1643,-0.4666,-0.7789,-0.5578,-0.8239,,,,,,,,,,,,,,,,,,,,
0,PULSAR,33398.4,11.04,477.2194,2006-09-16T08:43:16,3.4655350000000003e-07,0.45674999999999993,2.75,0.003188525,0.0014767,0.001616275,0.00023271600000000003,0.6112500000000001,0.52975,0.5115,1.0,13.633380207221586,13.81371793712833,13.755190174521022,4.0425799999999995e-06,2.9379600000000002e-06,3.3942599999999996e-06,0.5996,0.8695,0.5597,,,,,,,,,,,,,,,,,0.6765,0.5166,0.9238,0.8064,0.7239,0.3816,,,,,,,,,,,,,,,,,,,,
1,PULSAR,58387.1,11.04,477.2194,2007-11-10T13:53:44,3.4655350000000003e-07,0.45674999999999993,2.75,0.0016891999999999999,0.0013800499999999999,0.0014119750000000002,4.78355e-05,0.33875,0.49599999999999994,0.28675,0.0,13.678469090282041,13.782090918557051,13.733725017176623,5.03394e-06,3.25118e-06,3.66086e-06,0.4847,0.8507,0.6171,13.420559402860203,1.537,109.9,1.104e-05,0.414,13.442974277613617,13.383839687152417,13.538801711377507,1.131,24.38,2.845e-06,0.682,13.396855627379818,13.58,104.1,0.42,0.5565,0.4091,0.9126,0.7801,0.7614,0.4616,13.364616795952502,13.527389802403956,1.937,1.175,155.2,73.47,1.942e-05,6.588e-06,1.783e-06,4.574e-06,13.480434499119491,13.335264031481294,795.1,6.586,124.3,71.94,1.297,0.9934,48.07,5.328
0,PULSAR,56793.4,19.93,1782.775,2002-03-31T08:13:40,9.348539999999999e-07,0.6044,2.8,0.00416175,0.002621525,0.0028147999999999997,0.00024166825,0.5800000000000001,0.63525,0.42674999999999996,1.5,13.738256698491963,13.817343100505333,13.775472634794793,5.99452e-06,5.04086e-06,5.52268e-06,-0.05,0.6071,0.6371,13.42712839779952,3.095,121.8,6.225e-05,1.273,13.503762454833264,13.460798400705873,13.579879151914296,0.5644,49.68,4.698e-05,2.282,13.44490555142168,1.828,89.53,1.533,0.0156,-0.1156,0.6727,0.5328,0.6952,0.5703,13.390725827595412,13.471211808225103,3.396,2.822,137.9,107.5,8.498e-05,4.652e-05,3.164e-05,7.224e-05,13.50626319772316,13.4071573168689,2.223,1.518,100.7,79.63,0.6162,0.5142,60.8,39.98
1,PULSAR,60538.8,19.93,1782.775,2004-10-31T08:56:55,9.348539999999999e-07,0.6044,2.8,0.00397775,0.0031915000000000003,0.0032683249999999994,0.0001069225,0.5565,0.719,0.299,0.5,13.66524877860353,13.735900300399914,13.698566298162136,6.9292e-06,5.7917200000000005e-06,6.3708999999999994e-06,-0.0512,0.6034,0.6334,13.37716452047848,3.059,120.1,6.741e-05,1.228,13.481486060122112,13.439495584804943,13.594312213327223,0.5335,51.77,6.565e-05,2.417,13.392866795608434,1.891,86.36,1.572,0.0106,-0.1143,0.6677,0.5365,0.6927,0.5753,13.338187314462738,13.4185054577091,3.372,2.778,137.2,105.2,9.345e-05,4.987e-05,4.12e-05,0.0001107,13.442853857681637,13.359021942641668,2.328,1.551,97.64,76.46,0.5907,0.4792,64.98,40.62
2,PULSAR,18896.8,19.93,1782.775,2004-11-02T20:13:59,9.348539999999999e-07,0.6044,2.8,0.0041119749999999995,0.0022857999999999997,0.00252395,0.00031228,0.436,0.42874999999999996,0.419,0.5,13.672573627471541,13.816758635577633,13.739656666566221,5.81084e-06,4.11772e-06,4.883999999999999e-06,-0.015,0.5347,0.5422,,,,,,,,,,,,,,,,,0.1118,-0.1468,0.669,0.3904,0.6702,0.4116,,,,,,,,,,,,,,,,,,,,
0,PULSAR,19952.1,10.27,855.8119,2012-07-10T06:07:51,,,,0.00346688,0.0018236200000000002,0.00263258,0.00066909,0.6559999999999999,0.6479999999999999,0.6910000000000001,3.0,13.521145032471336,13.66199397182798,13.585173668888853,1.1825000000000001e-05,7.6086e-06,9.7566e-06,0.1162,-0.1537,-0.2636,,,,,,,,,,,,,,,,,0.2355,-0.0094,-0.0356,-0.2692,-0.1543,-0.3679,,,,,,,,,,,,,,,,,,,,
0,PULSAR,43607.1,144.29,62909.28,2000-03-11T00:36:25,9.7122e-06,0.7828,5.0,0.045308,0.0450704,0.045112,4.6872e-05,0.5404,0.4518,0.1224,0.0,12.46845415567127,12.490022892678821,12.479087232293459,9.610539999999999e-05,9.116580000000001e-05,9.36418e-05,0.1936,0.3273,0.1424,12.115204636051018,1.754,38.61,0.0002123,0.866,12.175028538876306,12.165579296318468,12.187554597127244,0.7978,1.583,0.0001656,1.765,12.120216219909585,7.416,31.6,0.904,0.213,0.173,0.3492,0.3054,0.1668,0.1193,12.104577453960593,12.12528631124222,1.809,1.701,40.87,36.43,0.0002249,0.0002005,0.000153,0.0001794,12.132532512140948,12.11069829749369,8.433,6.592,33.29,29.97,0.8162,0.7796,2.985,0.2428
1,PULSAR,159127.1,144.29,62909.28,2006-10-16T18:09:38,9.7122e-06,0.7828,5.0,0.03449386,0.03445524,0.034461900000000004,1.003988e-05,0.5702,0.4998,0.1032,0.0,12.479697297173635,12.497747725564466,12.488563189617079,9.623e-05,9.025e-05,9.3242e-05,0.1711,0.3798,0.2236,12.132886220168023,2.005,55.4,0.0002895,1.242,12.174054856796152,12.169090700453557,12.17966715510059,0.8047,3.18e-05,0.0001593,2.586,12.136142038116027,5.313,40.5,1.357,0.183,0.1593,0.3979,0.3616,0.2442,0.203,12.127435856909349,12.139242876918457,2.046,1.964,58.11,52.77,0.0003042,0.0002757,0.0001547,0.0001668,12.142607189079099,12.130005999878259,5.666,4.999,42.42,38.61,0.8135,0.7947,1.159,
2,PULSAR,44298.4,144.29,62909.28,2006-10-02T05:51:55,9.7122e-06,0.7828,5.0,0.0421475,0.041977499999999994,0.042065,8.487325e-05,0.5702499999999999,0.5395,0.07075000000000001,0.0,12.452611779468947,12.498472445513404,12.474918895239774,9.572199999999999e-05,8.4748e-05,9.023399999999999e-05,0.1849,0.401,0.2336,12.144299169164563,1.98,60.92,0.0002823,1.013,12.183294816333484,12.171404543628297,12.198664904325453,0.831,2.622,0.0001401,1.722,12.146788665496683,5.67,45.61,1.081,0.2067,0.1605,0.4366,0.3666,0.2755,0.1943,12.132709330145117,12.156082361993608,2.061,1.901,66.57,55.61,0.0003115,0.0002564,0.000126,0.000156,12.16045910703103,12.135845043997975,6.466,5.009,49.72,41.82,0.8547,0.8079,5.805,
