index,class,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,CV,25237.8,198.4,49780.85,2005-06-05T14:16:15,0.00011684120000000002,0.46319999999999995,2.6,0.32027500000000003,0.289936,0.3078705,0.012985,0.903,0.8175,0.5415,3.5,10.148010694645848,10.212820171792822,10.179134138224123,0.003913399999999999,0.0036232,0.0037685999999999996,0.3073,0.1861,-0.1287,10.65462626944091,1.124,1.701,0.002472,1.117,10.750801642608888,10.747146969020108,10.754240644032723,0.8918,1.981e-07,0.002848,7.407,10.67100914455057,100.0,5.807,1.242,0.3142,0.3017,0.193,0.178,-0.1205,-0.138,10.651695136951838,10.65777477063921,1.141,1.108,2.558,0.859,0.002523,0.002423,0.002832,0.002867,10.67366413907125,10.668775218979267,,98.33,6.341,5.276,0.8978,0.8873,0.01307,
1,CV,11318.0,198.4,49780.85,2005-06-06T19:17:52,0.00011684120000000002,0.46319999999999995,2.6,0.747,0.6378666666666667,0.7124666666666667,0.03224059533333334,1.0,0.997,0.5593333333333333,2.3333333333333335,9.94344119823979,10.03699176967086,9.986268123173256,0.0041078,0.0036490000000000003,0.0038848,0.3011,0.1786,-0.1287,10.690582774221859,1.192,4.335,0.002499,1.129,10.781989957015636,10.777543663320753,10.787279845582157,0.8787,2.959e-07,0.0028,4.196,10.697885623043799,100.0,5.559,1.14,0.3104,0.2917,0.1905,0.1668,-0.1156,-0.1418,10.685922008220787,10.695078838099109,1.218,1.166,5.675,3.027,0.002578,0.002423,0.002776,0.002825,10.701802132890185,10.693360558975739,,92.22,6.355,4.781,0.8879,0.8715,0.03071,
0,CV,30178.9,27.61,5192.965,2014-01-11T05:14:05,,,,0.01571986,0.00791548,0.01233914,0.003091268,0.8051999999999999,0.8492000000000001,0.7562,4.6,12.826212548008979,12.8686829446506,12.846972149913952,4.251e-05,3.573400000000001e-05,3.9144e-05,0.2811,0.2386,-0.0462,12.497709472085226,1.09,2.935,3.474e-05,0.926,12.592439150513638,12.57202728639179,12.618163200001657,0.8987,3.269e-07,4.046e-05,2.473,12.512578788640525,100.0,7.018,0.977,0.3179,0.243,0.2829,0.1955,0.0031,-0.0931,12.479516467259208,12.517126416391246,1.185,0.998,6.851,,3.868e-05,3.126e-05,3.775e-05,4.608e-05,12.533725678210708,12.495529137505581,,68.99,9.602,4.625,0.9401,0.8608,0.3465,
0,CV,10152.4,21.74,3548.791,2004-05-09T17:38:35,4.513200000000001e-05,1.0,8.0,0.029949999999999997,0.0226178,0.0252306,0.00199679798,0.8545999999999999,0.6706000000000001,0.371,1.0,12.660978096477628,12.724320169897297,12.690936488033667,7.884999999999999e-05,6.7714e-05,7.3316e-05,0.1974,0.0012,-0.1961,12.363712747901486,1.492,5.856,7.399e-05,0.91,12.482012796974923,12.455435902503957,12.515557792357592,0.671,5.408e-07,0.0001645,2.49,12.376647318462007,13.22,3.258,0.863,0.2517,0.143,0.0531,-0.0531,-0.1443,-0.248,12.337998120610083,12.388701637703571,1.619,1.371,10.09,1.87,8.442e-05,6.486e-05,0.0001573,0.0001954,12.400772137226204,12.356646038023136,23.67,8.884,6.409,0.3455,0.7074,0.6349,0.359,
1,CV,9932.4,21.74,3548.791,2003-11-11T16:47:17,4.513200000000001e-05,1.0,8.0,0.0181426,0.007040199999999999,0.011212399999999999,0.0036127400000000006,0.9642,0.8846,0.7814,3.6,13.01161051345463,13.098694280637098,13.052536868647215,2.537e-05,1.862e-05,2.20275e-05,0.1212,-0.0387,-0.1599,12.7281583934635,1.595,9.921,3.703e-05,1.484,12.857923538926714,12.814457845145625,12.914352711703144,0.6497,1.841e-07,8.166e-05,2.935,12.738023808602188,9.657,6.065,1.395,0.203,0.0394,0.0418,-0.1205,-0.0831,-0.2367,12.68782264356022,12.769551078621726,1.804,1.401,17.73,2.911,4.634e-05,2.971e-05,7.623e-05,9.932e-05,12.810790510417695,12.701146923590294,20.21,6.032,11.66,1.027,0.7107,0.5918,0.8847,
2,CV,9441.0,21.74,3548.791,2005-01-10T09:07:52,4.513200000000001e-05,1.0,8.0,0.014107,0.0100548,0.0110124,0.0009992039999999998,0.44320000000000004,0.48019999999999996,0.27840000000000004,1.2,12.940474447261309,13.040233797887396,12.987238678050351,5.2844000000000004e-05,4.2104e-05,4.7508e-05,0.0637,-0.2161,-0.2761,12.828273546346768,1.602,7.255e-07,2.633e-05,1.264,13.111259039317108,13.05863766428824,13.190305641283077,0.4538,1.918e-06,0.0002031,4.175,12.857297754262385,7.366,1.569e-06,1.502,0.1618,-0.0356,-0.1243,-0.3067,-0.193,-0.3542,12.784626847216579,12.870632404277014,1.746,1.473,2.886,,2.94e-05,2.41e-05,0.0001437,0.0003133,12.942714355581785,12.813891620186794,12.52,4.912,1.433,,0.5013,0.401,1.124,
0,CV,3592.3,10.66,521.3167,2003-05-26T01:15:21,,,,0.028652499999999997,0.0131235,0.0203475,0.0054382499999999995,0.89525,0.97875,0.69425,2.25,11.604884076656694,12.296715501848418,11.817811970295853,0.000156794,6.9258e-05,0.000114122,0.4272,0.0762,-0.3648,,,,,,,,,,,,,,,,,0.5191,0.3292,0.1893,-0.0356,-0.248,-0.4753,,,,,,,,,,,,,,,,,,,,
0,CV,22618.5,83.34,51042.26,2002-08-29T09:12:18,7.971342e-05,0.7786,5.8,0.1076478,0.0281582,0.06263960000000002,0.019397902,0.9648,0.9372,0.7894,6.6,11.988834014908928,12.00943473165889,11.998764887282393,0.000193256,0.00018274000000000003,0.000188058,0.6184,0.3998,-0.2911,11.691008970999835,0.499,1.637e-07,0.0001033,2.588,11.733533104559758,11.723078867934227,11.746904414150968,1.411,1.809e-07,6.026e-05,4.48,11.90204892900585,100.0,7.944,4.734,0.634,0.604,0.4166,0.3816,-0.2667,-0.3154,11.679023322657176,11.702677285794698,0.517,0.475,0.08666,,0.0001065,9.959e-05,5.917e-05,6.135e-05,11.912928794093464,11.892450870255313,,97.89,9.312,6.654,1.448,1.372,0.07771,
1,CV,22211.5,83.34,51042.26,2002-08-30T09:02:10,7.971342e-05,0.7786,5.8,0.25789419999999996,0.032418,0.09001599999999998,0.042282788,0.9014,0.8560000000000001,0.8138,7.4,11.772891610797682,11.789308088610754,11.780880926376572,0.000274698,0.000262338,0.00026862,0.6808,0.5909,-0.1512,11.451610581867081,0.176,3.215e-07,0.0001152,2.136,11.487315603782836,11.47638358094563,11.496617936526267,1.714,2.161e-07,5.97e-05,3.041,11.543026986364183,100.0,126.7,5.417,0.6914,0.6702,0.6027,0.5778,-0.1268,-0.1743,11.442974277613617,11.460046158343603,0.19,0.163,0.09744,,0.0001183,0.0001136,5.883e-05,6.167e-05,11.552997101533837,11.533428927613645,,96.97,133.6,120.0,1.725,1.677,0.07444,
0,CV,15933.9,65.57,33682.25,2006-12-16T20:01:17,,,,0.17076600000000003,0.13572,0.14829799999999999,0.009988029999999998,0.9251999999999999,0.8322,0.5388,2.4,11.91125455408784,11.934980785863745,11.922806574405586,0.0005510199999999999,0.00052074,0.0005363200000000001,-0.0275,-0.4447,-0.4222,11.66054855869356,2.307,8.877,0.0007321,1.726,11.865185629679539,11.858863909879261,11.873543886568196,0.3226,1.645e-07,0.01356,5.917,11.676541633150531,2.678,5.934e-06,2.029,-0.0056,-0.0493,-0.4291,-0.4603,-0.4079,-0.4354,11.652474840001311,11.668572703479256,2.362,2.253,10.1,7.681,0.0007644,0.0007012,0.01336,0.01433,11.684659523372712,11.668775218979267,2.762,2.599,0.1924,,0.3238,0.3214,0.05353,
