index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,NS,NS0001,1A 1742-289         ,35796.9,167.36,21.89294,2000-10-26T22:18:33,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.977252108942997,inf,inf,5.5835e-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,8.506e-07,6.996e-07,2.658e-07,,4.174e-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.45e-15,1.336e-15,8.065e-16,,6.226e-16,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.0806,1.0,-0.1443,0.1755,-1.0,,,,,,,,,,,,,,,,,,,,
1,NS,NS0001,1A 1742-289         ,13506.7,167.36,21.89294,2001-07-14T02:05:23,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.619849081155621,inf,inf,8.512333333333334e-07,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.219e-06,9.247e-07,4.1e-07,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,3.022e-15,3.03e-15,1.147e-15,,,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.0244,,,,,,,,,,,,,,,,,,,,,,,,
2,NS,NS0001,1A 1742-289         ,37677.7,167.36,21.89294,2002-05-22T23:20:43,0.0022575110000000002,0.7596,5.2,,,,,,,,,15.071348153346305,inf,inf,7.035699999999999e-07,0.0,2.7379999999999998e-08,0.0,1.369e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.415e-07,2.662e-07,6.405e-08,2.737e-06,1.091e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059e-15,1.046e-15,2.098e-16,1.765e-15,1.627e-16,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.4116,1.0,0.1805,0.1493,-1.0,,,,,,,,,,,,,,,,,,,,
3,NS,NS0001,1A 1742-289         ,12369.5,167.36,21.89294,2002-02-19T14:43:23,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.81528728075898,inf,inf,3.2170000000000003e-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4.569e-07,2.546e-07,1.944e-07,,3.809e-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.745e-15,2.273e-15,5.694e-16,,5.329e-16,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2492,0.2017,-1.0,0.0581,-1.0,,,,,,,,,,,,,,,,,,,,
4,NS,NS0001,1A 1742-289         ,11855.5,167.36,21.89294,2002-03-23T12:42:56,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.432209289466464,inf,inf,4.22975e-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.411e-07,4.582e-07,1.943e-07,,3.983e-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.899e-15,6.753e-15,5.767e-16,,5.573e-16,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.0406,1.0,-0.2929,0.0344,-1.0,,,,,,,,,,,,,,,,,,,,
5,NS,NS0001,1A 1742-289         ,11589.4,167.36,21.89294,2002-04-19T10:59:51,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.610475991798722,inf,inf,2.10548e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.909e-07,2.859e-07,2.08e-07,9.133e-06,4.096e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95e-15,2.53e-15,6.132e-16,5.609e-15,5.579e-16,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2242,0.188,-1.0,0.0406,-1.0,,,,,,,,,,,,,,,,,,,,
6,NS,NS0001,1A 1742-289         ,12452.1,167.36,21.89294,2002-05-07T09:39:15,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.723906008240784,inf,inf,3.0553333333333333e-07,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,4.565e-07,2.653e-07,1.948e-07,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2.743e-15,2.348e-15,5.742e-16,,,0.9994,,,,,,,,,,,,,,,,,,,1.0,-0.2405,,,,,,,,,,,,,,,,,,,,,,,,
7,NS,NS0001,1A 1742-289         ,166689.2,167.36,21.89294,2002-05-25T15:34:27,0.0022575110000000002,0.7596,5.2,,,,,,,,,15.307743699800076,inf,15.633250277415105,4.971e-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,9.587e-08,6.465e-08,1.437e-08,,2.395e-08,4.584e-16,4.723e-16,0.0,,0.0,0.0,0.0,0.0,,0.0,9.168e-16,9.695e-16,4.354e-17,,3.948e-17,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.3554,1.0,0.0943,0.1305,-1.0,,,,,,,,,,,,,,,,,,,,
8,NS,NS0001,1A 1742-289         ,158025.6,167.36,21.89294,2002-05-28T05:53:07,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.862618666942005,15.234483437656833,15.030685683430812,3.6141e-07,9.096539999999999e-08,1.46886e-07,4.225e-07,2.623e-07,0.0,0.0,4.963e-08,2.79e-07,1.659e-07,0.0,0.0,9.927e-09,5.581e-07,3.532e-07,2.781e-08,7.786e-07,8.934e-08,2.292e-15,2.292e-15,0.0,0.0,7.491e-17,1.467e-15,1.432e-15,0.0,0.0,1.498e-17,3.072e-15,3.151e-15,6.973e-17,4.366e-16,1.311e-16,0.9994,0.6833,-0.9994,,,,,,,,,,,,,,,,,1.0,0.8051,0.8738,0.4379,-0.3329,-1.0,,,,,,,,,,,,,,,,,,,,
9,NS,NS0001,1A 1742-289         ,24788.0,167.36,21.89294,2003-06-19T18:46:37,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.44290202164774,16.030351159519274,15.07727454200674,3.6795750000000003e-06,8.575000000000001e-08,4.1095e-07,9.458e-07,6.98e-07,0.0,0.0,,1.819e-07,1.611e-07,0.0,0.0,,1.673e-06,1.235e-06,2.103e-07,1.16e-05,,1.613e-15,1.735e-15,0.0,0.0,,1.467e-16,2.263e-16,0.0,0.0,,3.08e-15,3.244e-15,6.244e-16,7.478e-15,,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.564,,,,,,,,,,,,,,,,,,,,,,,,
10,NS,NS0001,1A 1742-289         ,37958.3,167.36,21.89294,2002-05-24T12:12:01,0.0022575110000000002,0.7596,5.2,,,,,,,,,15.073976702103023,inf,inf,6.63508e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.739e-07,1.311e-07,6.424e-08,2.844e-06,1.043e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04e-15,1.076e-15,1.894e-16,1.747e-15,1.645e-16,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.0006,1.0,-0.2617,0.1268,-1.0,,,,,,,,,,,,,,,,,,,,
11,NS,NS0001,1A 1742-289         ,89924.7,167.36,21.89294,2002-06-03T01:41:29,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.929536548586848,15.857297754262385,15.240030142445693,3.65432e-07,2.7782e-09,4.4148e-08,1.22e-07,9.874e-08,0.0,0.0,0.0,5.305e-09,8.586e-09,0.0,0.0,0.0,2.387e-07,1.889e-07,2.783e-08,1.327e-06,4.473e-08,1.422e-15,1.455e-15,0.0,0.0,0.0,3.432e-16,3.513e-16,0.0,0.0,0.0,2.452e-15,2.509e-15,8.106e-17,7.683e-16,7.04e-17,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.6102,1.0,0.4279,0.1355,-1.0,,,,,,,,,,,,,,,,,,,,
12,NS,NS0001,1A 1742-289         ,49521.0,167.36,21.89294,2004-07-05T22:47:16,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.570890757915516,inf,inf,3.32032e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.888e-07,2.784e-07,2.075e-07,1.53e-05,4.269e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.899e-15,2.463e-15,6.297e-16,6.857e-15,5.814e-16,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2467,0.1593,-1.0,0.0356,-1.0,,,,,,,,,,,,,,,,,,,,
13,NS,NS0001,1A 1742-289         ,49527.1,167.36,21.89294,2004-07-06T22:43:47,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.607721718467594,inf,inf,3.3436799999999997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.998e-07,5.715e-07,2.392e-07,1.481e-05,3.979e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-15,8.727e-16,6.912e-16,9.095e-15,6.192e-16,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.0843,1.0,-0.1868,0.1255,-1.0,,,,,,,,,,,,,,,,,,,,
14,NS,NS0001,1A 1742-289         ,5106.3,167.36,21.89294,2004-08-28T12:19:59,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.667763584508556,inf,inf,3.0305e-06,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,3.725e-06,2.336e-06,,,,0.0,0.0,,,,0.0,0.0,,,,2.304e-14,1.994e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NS,NS0001,1A 1742-289         ,48532.8,167.36,21.89294,2005-07-24T20:13:41,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.236328719926284,inf,inf,1.342175e-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.728e-06,1.295e-06,8.527e-07,,1.493e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.038e-14,8.781e-15,2.107e-15,,1.945e-15,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.1718,0.2942,-1.0,0.0993,-1.0,,,,,,,,,,,,,,,,,,,,
16,NS,NS0001,1A 1742-289         ,44589.1,167.36,21.89294,2005-07-27T19:32:01,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.077835283830158,inf,inf,1.3959460000000001e-05,0.0,4.3236000000000004e-07,1.246e-06,9.158e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.561e-06,1.933e-06,8.173e-07,6.294e-05,1.546e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.469e-15,1.504e-15,1.505e-15,3.53e-14,2.018e-15,0.9994,0.4822,-0.9994,,,,,,,,,,,,,,,,,1.0,0.173,1.0,-0.138,0.0631,-1.0,,,,,,,,,,,,,,,,,,,,
17,NS,NS0001,1A 1742-289         ,45323.3,167.36,21.89294,2005-07-29T20:08:00,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.092588639225413,inf,inf,1.23098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721e-06,1.244e-06,6.73e-07,5.642e-05,1.491e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034e-14,9.303e-15,1.484e-15,1.733e-14,1.943e-15,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.0831,0.273,-1.0,-0.0131,-1.0,,,,,,,,,,,,,,,,,,,,
18,NS,NS0001,1A 1742-289         ,45338.4,167.36,21.89294,2005-07-30T20:09:08,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.972069682391288,inf,inf,1.25576e-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.492e-06,8.731e-07,6.753e-07,4.719e-05,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,8.962e-15,8.012e-15,1.893e-15,2.379e-14,,0.9994,,,,,,,,,,,,,,,,,,,1.0,-0.2442,,,,,,,,,,,,,,,,,,,,,,,,
19,NS,NS0001,1A 1742-289         ,17849.1,167.36,21.89294,2005-08-01T20:16:38,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.825068406471557,inf,inf,2.508666666666667e-06,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.563e-06,1.947e-06,,,3.016e-06,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.181e-14,1.944e-14,,,3.63e-15,,-0.9994,,,,,,,,,,,,,,,,,,,,0.1593,-1.0,,,,,,,,,,,,,,,,,,,,,,
20,NS,NS0001,1A 1742-289         ,4855.4,167.36,21.89294,2005-02-27T06:52:55,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.183327934454667,inf,inf,1.00215e-06,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.112e-06,8.923e-07,,,,0.0,0.0,,,,0.0,0.0,,,,6.68e-15,6.433e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NS,NS0001,1A 1742-289         ,29759.7,167.36,21.89294,2006-07-17T04:15:24,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.91523312708454,inf,inf,2.1176666666666667e-06,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,2.79e-06,2.009e-06,1.554e-06,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.607e-14,1.671e-14,3.686e-15,,,0.9994,,,,,,,,,,,,,,,,,,,1.0,-0.2555,,,,,,,,,,,,,,,,,,,,,,,,
22,NS,NS0001,1A 1742-289         ,4490.4,167.36,21.89294,2006-04-11T05:48:19,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.968036397760878,inf,inf,1.1356325e-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.205e-06,7.729e-07,6.274e-07,4.282e-05,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,7.241e-15,6.586e-15,1.608e-15,2.762e-14,,0.9994,,,,,,,,,,,,,,,,,,,1.0,-0.253,,,,,,,,,,,,,,,,,,,,,,,,
23,NS,NS0001,1A 1742-289         ,5097.1,167.36,21.89294,2006-05-03T22:42:45,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.610963928000219,14.640607255828991,13.88096417380349,1.7450666666666668e-06,3.861e-08,8.11e-07,1.406e-06,1.027e-06,0.0,,,6.694e-08,4.889e-08,0.0,,,2.678e-06,2.004e-06,5.532e-07,,,1.952e-14,1.994e-14,0.0,,,3.395e-15,3.468e-15,0.0,,,3.565e-14,3.641e-14,1.418e-15,,,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.3779,,,,,,,,,,,,,,,,,,,,,,,,
24,NS,NS0001,1A 1742-289         ,5060.4,167.36,21.89294,2006-06-01T16:24:57,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.537626962271279,inf,14.079702712368315,1.1523e-06,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.547e-06,1.354e-06,5.559e-07,,,2.497e-14,0.0,0.0,,,0.0,0.0,0.0,,,4.847e-14,3.71e-14,1.425e-15,,,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.1006,,,,,,,,,,,,,,,,,,,,,,,,
25,NS,NS0001,1A 1742-289         ,5109.4,167.36,21.89294,2006-07-04T11:20:29,0.0022575110000000002,0.7596,5.2,,,,,,,,,13.696487160011776,inf,inf,3.883e-06,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,4.099e-06,3.5e-06,,,4.05e-06,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.915e-14,2.489e-14,,,6.304e-15,,-0.9994,,,,,,,,,,,,,,,,,,,,0.2892,-1.0,,,,,,,,,,,,,,,,,,,,,,
