,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,Gaia21cvx,2021,13.79,14:09:17.28,-62:27:20.88,0,known_CV
1,Gaia21cxl,2021,16.52,01:51:37.632,+45:39:16.2,0,Candidate
2,Gaia21cxy,2021,15.83,14:08:10.56,-45:26:50.64,0,Candidate
3,Gaia21cym,2021,15.45,17:55:45.12,-70:46:34.32,0,known_CV
4,Gaia21dcj,2021,17.41,15:10:54,-42:39:01.8,0,Candidate
5,Gaia21ddd,2021,14.0,14:47:03.84,-48:09:09.72,0,Candidate
6,Gaia21ddn,2021,14.28,17:02:13.2,+32:29:53.88,0,known_CV
7,Gaia21del,2021,13.68,19:49:10.56,+58:31:59.16,0,known_CV
8,Gaia21dfk,2021,16.34,00:14:36.252,+50:32:39.84,0,Candidate
9,Gaia21dfn,2021,17.08,23:19:30.48,+51:50:17.52,0,Candidate
10,Gaia21dgm,2021,12.75,00:50:55.872,+35:58:55.56,0,known_CV
11,Gaia21dgn,2021,14.06,19:48:23.28,+36:26:22.92,0,known_CV
12,Gaia21dgs,2021,17.5,01:16:12.528,+32:38:39.12,0,Candidate
13,Gaia21dgy,2021,17.88,20:32:25.92,+33:33:48.6,0,Candidate
14,Gaia21dhr,2021,15.69,13:16:39.6,-20:07:08.76,0,Candidate
15,Gaia21dhs,2021,16.97,09:56:53.52,-30:33:37.44,0,Candidate
16,Gaia21dhu,2021,15.71,21:21:12.72,+30:41:03.84,0,Candidate
17,Gaia21dij,2021,16.53,23:08:13.68,+25:43:41.16,0,Candidate
18,Gaia21dit,2021,15.25,11:32:18.96,-21:39:42.84,0,Candidate
19,Gaia21djh,2021,12.69,11:03:36.48,-21:37:45.84,0,known_CV
20,Gaia21dji,2021,15.52,09:51:19.92,-24:09:47.88,0,Candidate
21,Gaia21dkf,2021,16.28,02:59:19.464,-09:27:22.572,0,Candidate
22,Gaia21dkg,2021,18.04,17:19:57.84,+20:02:37.32,0,Candidate
23,Gaia21dkh,2021,14.75,16:53:59.04,+20:10:10.2,0,known_CV
24,Gaia21dmt,2021,16.98,12:43:46.08,+16:05:03.84,0,Candidate
25,Gaia21dmx,2021,16.69,19:49:36,+36:44:38.04,0,known_CV
26,Gaia21dns,2021,15.47,19:30:11.52,+46:59:28.32,0,Candidate
27,Gaia21dpr,2021,14.14,10:58:56.4,-29:14:40.56,0,known_CV
28,Gaia21dqq,2021,15.86,23:19:36,+36:46:59.52,0,known_CV
29,Gaia21drc,2021,15.67,23:50:24.48,+58:31:18.12,0,known_CV
30,Gaia21drr,2021,16.76,00:42:45.336,+41:52:22.8,0,N
31,Gaia21drz,2021,17.18,12:50:49.2,-81:02:55.68,0,Candidate
32,Gaia21dsb,2021,17.28,13:32:00.96,-83:10:18.12,0,Candidate
33,Gaia21dsg,2021,18.92,07:26:37.2,+83:32:18.6,0,known_CV
34,Gaia21dso,2021,17.26,01:52:13.056,+67:01:27.12,0,known_CV
35,Gaia21dsw,2021,16.59,14:38:09.6,-64:42:37.08,0,Candidate
36,Gaia21dun,2021,17.64,16:14:30.24,-59:40:24.96,0,Candidate
37,Gaia21duq,2021,16.17,14:18:49.68,-24:33:05.4,0,Candidate
38,Gaia21dur,2021,14.96,14:07:53.52,-16:18:24.84,0,Candidate
39,Gaia21dus,2021,18.47,15:25:58.08,-52:20:27.24,0,known_CV
40,Gaia21dvb,2021,18.29,17:26:31.44,-61:40:40.8,0,Candidate
41,Gaia21dvf,2021,17.59,17:43:37.68,-62:16:38.28,0,Candidate
42,Gaia21dvg,2021,18.01,05:53:12.816,+59:55:48.36,0,Candidate
43,Gaia21dvm,2021,17.54,08:03:16.56,+66:11:09.96,0,Candidate
44,Gaia21dwh,2021,17.84,18:10:53.28,-56:39:46.8,0,Candidate
45,Gaia21dwi,2021,15.67,18:39:28.8,-58:16:46.2,0,Candidate
46,Gaia21dwx,2021,18.03,15:35:22.8,-10:03:00.36,0,known_CV
47,Gaia21dyv,2021,15.82,05:21:15.84,+25:13:31.08,0,Candidate
48,Gaia21dyz,2021,16.99,06:48:04.56,+41:47:01.68,0,known_CV
49,Gaia21dza,2021,16.55,17:24:16.08,-24:36:50.04,0,known_CV
50,Gaia21dzv,2021,18.08,05:14:57.744,+08:35:02.4,0,Candidate
51,Gaia21ebk,2021,18.51,23:37:37.44,-60:43:58.44,0,known_CV
52,Gaia21ebl,2021,17.08,07:53:31.92,+37:58:00.84,0,known_CV
53,Gaia21ebn,2021,15.62,15:27:24.48,+49:39:08.64,0,Candidate
54,Gaia21ebo,2021,17.69,07:45:00.48,+33:28:59.52,0,known_CV
55,Gaia21ecd,2021,17.36,19:16:37.44,-18:33:06.48,0,Candidate
56,Gaia21ech,2021,17.02,19:16:40.32,-21:13:09.48,0,Candidate
57,Gaia21ecq,2021,14.11,07:54:14.4,+31:32:15.72,0,Candidate
58,Gaia21ecw,2021,16.89,18:27:27.6,+37:41:45.96,0,known_CV
59,Gaia21eda,2021,15.32,07:13:30,-04:22:08.724,0,Candidate
60,Gaia21edi,2021,18.12,20:03:58.32,-24:41:46.32,0,known_CV
61,Gaia21edk,2021,18.26,06:52:58.56,-24:14:49.2,0,Candidate
62,Gaia21edo,2021,16.18,19:09:24.72,+30:41:30.48,0,known_CV
63,Gaia21edw,2021,17.45,07:27:37.2,-25:38:53.88,0,Candidate
64,Gaia21edy,2021,17.17,19:40:40.8,+14:35:05.64,0,Candidate
65,Gaia21eel,2021,15.95,20:03:57.12,-18:32:11.04,0,known_CV
66,Gaia21eem,2021,15.25,18:53:09.6,+59:45:07.2,0,known_CV
67,Gaia21een,2021,17.82,07:33:00.72,-31:58:59.52,0,Candidate
68,Gaia21efc,2021,16.72,20:19:37.2,+55:35:18.24,0,known_CV
69,Gaia21efe,2021,16.22,19:52:10.32,-61:41:04.56,0,Candidate
70,Gaia21egc,2021,16.76,08:28:50.88,-11:27:09.36,0,Candidate
71,Gaia21egd,2021,15.66,22:16:22.08,+70:54:15.84,0,known_CV
72,Gaia21egg,2021,15.98,06:47:38.16,+56:08:40.56,0,Candidate
73,Gaia21ehf,2021,17.81,07:08:23.52,+29:25:40.08,0,Candidate
74,Gaia21ehi,2021,16.22,17:43:46.8,-48:50:57.84,0,Candidate
75,Gaia21ehu,2021,16.62,22:26:42.24,+43:23:36.96,0,Candidate
76,Gaia21eij,2021,15.37,07:03:14.88,+20:21:33.48,0,Candidate
77,Gaia21ejh,2021,17.22,12:22:55.92,-49:42:29.88,0,Candidate
78,Gaia21ejj,2021,16.11,00:17:09.5208,+48:53:49.56,0,known_CV
79,Gaia21ejk,2021,15.48,16:16:15.12,-42:58:25.32,0,known_CV
80,Gaia21ejt,2021,17.35,20:22:54.48,+18:42:45.72,0,Candidate
81,Gaia21ekv,2021,17.1,13:51:43.44,-44:30:20.16,0,Candidate
82,Gaia21elb,2021,18.01,07:25:34.56,-14:39:40.32,0,Candidate
83,Gaia21elj,2021,18.81,22:44:05.76,+43:45:32.4,0,known_CV
84,Gaia21ell,2021,18.71,18:37:32.16,+10:21:36,0,known_CV
85,Gaia21eln,2021,14.68,21:38:49.68,+42:12:23.4,0,Candidate
86,Gaia21elo,2021,18.23,22:05:41.04,+42:21:14.04,0,Candidate
87,Gaia21elp,2021,14.7,20:42:12.72,+36:57:40.32,0,Candidate
88,Gaia21elq,2021,17.54,06:15:20.64,-06:02:56.112,0,Candidate
89,Gaia21elr,2021,15.57,05:29:12.744,+02:23:24.828,0,Candidate
90,Gaia21emf,2021,16.98,10:25:59.28,-46:15:41.04,0,Candidate
91,Gaia21enj,2021,16.18,09:10:45.36,-54:19:42.24,0,Candidate
92,Gaia21enm,2021,15.72,17:48:16.32,+50:17:22.92,0,known_CV
93,Gaia21enu,2021,14.06,18:31:44.64,+65:11:30.48,0,known_CV
94,Gaia21eow,2021,16.8,02:13:15.48,+53:38:22.92,0,Candidate
95,Gaia21eoy,2021,18.31,16:58:37.68,+18:47:27.96,0,known_CV
96,Gaia21epa,2021,17.29,01:48:00.816,+53:40:58.08,0,known_CV
97,Gaia21epx,2021,18.6,15:53:49.68,-55:18:21.24,0,Candidate
98,Gaia21eqq,2021,18.08,15:18:22.32,-46:36:10.8,0,Candidate
99,Gaia21eqr,2021,15.33,03:33:52.872,+33:20:44.16,0,Candidate
100,Gaia21eqt,2021,17.79,04:08:54.936,+26:18:56.52,0,Candidate
101,Gaia21eqz,2021,17.22,16:33:43.92,-42:05:06.36,0,Candidate
102,Gaia21erp,2021,15.76,17:06:06.72,-37:16:55.92,0,Candidate
103,Gaia21ery,2021,14.51,00:54:44.64,-59:19:17.76,0,known_CV
104,Gaia21erz,2021,15.51,17:39:44.64,-36:16:40.44,0,N
105,Gaia21esb,2021,11.47,08:12:28.32,+62:36:21.96,0,known_CV
106,Gaia21esj,2021,17.3,07:45:50.4,+56:15:28.08,0,known_CV
107,Gaia21esu,2021,15.64,15:43:57.6,+20:39:41.76,0,Candidate
108,Gaia21eti,2021,16.96,16:44:13.2,+05:41:57.804,0,Candidate
109,Gaia21etm,2021,17.91,21:16:56.88,-43:25:01.56,0,Candidate
110,Gaia21etu,2021,20.42,05:22:31.968,+05:35:01.428,0,Candidate
111,Gaia21euf,2021,13.61,22:02:18.96,-43:05:18.96,0,known_CV
112,Gaia21euv,2021,16.33,06:07:21.192,+00:17:52.98,0,Candidate
