,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,M31N_1997-11l,,,00:42:56.63,+41:12:55.8,0,N
1,M31N_1997-11m,,,00:43:02.92,+41:23:02.0,0,N
2,M31N_1997-11n,,,00:43:14.87,+41:24:20.4,0,N
3,M31N_1998-06a,,,00:43:28.76,+41:21:42.6,0,N
4,M31N_1998-07a,,,00:42:30.37,+41:16:34.2,0,N
5,M31N_1998-07b,,,00:42:45.16,+41:15:31.6,216,N
6,M31N_1998-07c,,,00:43:06.80,+41:17:58.1,5,N
7,M31N_1998-07e,,,00:43:18.63,+41:13:35.1,0,N
8,M31N_1998-07f,,,00:43:23.60,+41:15:44.7,0,N
9,M31N_1998-07g,,,00:42:20.65,+41:10:37.6,0,N
10,M31N_1998-07h,,,00:42:38.41,+41:13:58.4,0,N
11,M31N_1998-07i,,,00:42:41.92,+41:16:40.2,162,N
12,M31N_1998-07j,,,00:42:44.19,+41:17:07.7,21,N
13,M31N_1998-07k,,,00:42:46.73,+41:18:14.4,0,N
14,M31N_1998-07l,,,00:42:47.76,+41:16:54.7,1,N
15,M31N_1998-07m,,,00:43:04.89,+41:18:41.4,0,N
16,M31N_1998-08a,,,00:42:13.44,+41:07:45.0,0,N
17,M31N_1998-09a,,,00:42:40.36,+41:18:10.2,0,N
18,M31N_1998-09b,,,00:42:52.31,+41:16:21.9,0,N
19,M31N_1998-09c,,,00:43:32.06,+41:11:50.9,0,N
20,M31N_1998-10a,,,00:42:22.17,+41:11:31.7,0,N
21,M31N_1998-10b,,,00:42:37.37,+41:20:52.9,0,N
22,M31N_1999-01a,,,00:42:43.82,+41:11:31.5,106,N
23,M31N_1999-01b,,,00:42:11.45,+41:17:32.6,0,N
24,M31N_1999-01c,,,00:43:06.12,+41:13:41.3,0,N
25,M31N_1999-01d,,,00:43:35.55,+41:20:39.5,0,N
26,M31N_1999-02a,,,00:42:49.64,+41:16:06.5,165,N
27,M31N_1999-06b,,,00:43:01.85,+41:15:38.4,0,N
28,M31N_1999-07a,,,00:42:41.21,+41:12:00.4,0,N
29,M31N_1999-07b,,,00:43:04.41,+41:19:35.9,0,N
30,M31N_1999-08e,,,00:42:22.30,+41:13:26.0,94,N
31,M31N_1999-10a,,,00:42:49.70,+41:16:32.0,130,N
32,M31N_2000-06a,,,00:42:30.11,+41:15:27.3,0,N
33,M31N_2000-08a,,,00:42:47.45,+41:15:07.7,11,N
34,M31N_2000-08b,,,00:42:46.75,+41:12:51.9,0,N
35,M31N_2000-08e,,,00:43:08.90,+41:29:16.6,0,N
36,M31N_2000-11a,,,00:43:56.08,+41:28:09.3,0,N
37,M31N_2001-01a,,,00:42:21.49,+41:07:47.4,0,N
38,M31N_2001-01b,,,00:43:05.26,+41:19:08.2,0,N
39,M31N_2001-01c,,,00:42:42.82,+41:15:55.2,371,N
40,M31N_2001-02a,,,00:42:54.8651,+41:16:09.000,108,N
41,M31N_2001-07c,,,00:42:38.76,+41:14:44.4,0,N
42,M31N_2001-08a,,,00:42:18.52,+41:12:39.3,0,N
43,M31N_2001-08c,,,00:42:40.60,+41:07:59.9,0,N
44,M31N_2001-08d,,,00:42:34.62,+41:18:13.1,17,N
45,M31N_2001-10a,,,00:43:03.31,+41:12:11.5,102,N
46,M31N_2001-10b,,,00:44:32.50,+41:25:21.9,0,N
47,M31N_2001-10c,,,00:42:47.21,+41:16:18.7,572,N
48,M31N_2002-02a,,,00:42:30.74,+41:19:05.9,103,N
49,M31N_2002-07b,,,00:42:39.74,+41:17:03.2,67,N
50,M31N_2002-08b,,,00:42:48.68,+41:16:26.4,0,N
51,M31N_2003-01b,,,00:42:48.90,+41:16:05.3,155,N
52,M31N_2003-06c,,,00:42:45.12,+41:17:54.0,135,N
53,M31N_2003-07a,,,00:42:02.93,+41:05:01.5,0,N
54,M31N_2003-09a,,,00:42:59.84,+41:03:33.9,0,N
55,M31N_2003-09b,,,00:42:46.74,+41:19:47.4,0,N
56,M31N_2003-10a,,,00:42:46.45,+41:15:55.6,134,N
57,M31N_2003-11a,,,00:42:53.78,+41:18:46.2,0,N
58,M31N_2003-11b,,,00:43:00.76,+41:11:26.9,0,N
59,M31N_2003-12a,,,00:43:04.73,+41:12:21.9,0,N
60,M31N_2003-12b,,,00:42:54.14,+41:15:12.2,0,N
61,M31N_2003-12c,,,00:42:53.24,+41:22:35.9,0,N
62,M31N_2004-01a,,,00:43:08.65,+41:15:35.4,20,N
63,M31N_2004-01b,,,00:42:41.19,+41:15:45.0,139,N
64,M31N_2004-02a,,,00:42:47.27,+41:16:21.4,0,N
65,M31N_2004-03a,,,00:42:36.21,+41:15:37.9,0,N
66,M31N_2004-03b,,,00:43:06.72,+41:11:58.5,0,N
67,M31N_2004-05a,,,00:42:37.55,+41:10:16.4,0,N
68,M31N_2004-05b,,,00:42:37.04,+41:14:28.5,33,N
69,M31N_2004-05c,,,00:43:04.04,+41:23:42.6,0,N
