,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,near_gc,near_gc_dist
0,CV0001,[DSH2013] 24           ,204.08308300000002,-29.852333,M83XMM          ,XMM-NEWTON   ,2CXO J133620.0-295106 ,204.08348700000002,-29.851709999999997,0.043,no_cluster,
1,CV0002,[HPH2013] 100          ,10.65449,41.24118,M31CFCXO        ,CHANDRA      ,2CXO J004237.0+411428 ,10.654579,41.24113,0.005,no_cluster,
2,CV0003,[HPH2013] 101          ,10.65535,41.28613,M31CFCXO        ,CHANDRA      ,2CXO J004237.3+411709 ,10.655445,41.286063,0.006,no_cluster,
3,CV0004,[HPH2013] 103          ,10.65972,41.27525,M31CFCXO        ,CHANDRA      ,2CXO J004238.3+411630 ,10.659825999999999,41.275199,0.006,no_cluster,
4,CV0005,[HPH2013] 108          ,10.66259,41.22381,M31CFCXO        ,CHANDRA      ,2CXO J004239.0+411325 ,10.662678,41.223760999999996,0.005,no_cluster,
5,CV0006,[HPH2013] 123          ,10.67158,41.26253,M31CFCXO        ,CHANDRA      ,2CXO J004241.1+411544 ,10.671664999999999,41.262484,0.005,no_cluster,
6,CV0007,[HPH2013] 124          ,10.671619999999999,41.27113,M31CFCXO        ,CHANDRA      ,2CXO J004241.2+411615 ,10.671723,41.271083000000004,0.005,no_cluster,
7,CV0008,[HPH2013] 125          ,10.67172,41.28372,M31CFCXO        ,CHANDRA      ,2CXO J004241.2+411701 ,10.67181,41.2837,0.004,no_cluster,
8,CV0009,[HPH2013] 131          ,10.67555,41.253,M31CFCXO        ,CHANDRA      ,2CXO J004242.1+411510 ,10.675659,41.252951,0.006,no_cluster,
9,CV0010,[HPH2013] 142          ,10.67815,41.26247,M31CFCXO        ,CHANDRA      ,2CXO J004242.7+411544 ,10.678272999999999,41.262421999999994,0.006,no_cluster,
10,CV0011,[HPH2013] 143          ,10.67817,41.270790000000005,M31CFCXO        ,CHANDRA      ,2CXO J004242.7+411614 ,10.678239,41.270734000000004,0.005,no_cluster,
11,CV0012,[HPH2013] 145          ,10.67915,41.25285,M31CFCXO        ,CHANDRA      ,2CXO J004243.0+411510 ,10.679267999999999,41.252825,0.006,no_cluster,
12,CV0013,[HPH2013] 146          ,10.67963,41.26783,M31CFCXO        ,CHANDRA      ,2CXO J004243.1+411603 ,10.679678,41.267771,0.004,no_cluster,
13,CV0014,[HPH2013] 150          ,10.68213,41.211940000000006,M31CFCXO        ,CHANDRA      ,2CXO J004243.7+411242 ,10.682241000000001,41.211877,0.006,no_cluster,
14,CV0015,[HPH2013] 157          ,10.682780000000001,41.29307,M31CFCXO        ,CHANDRA      ,2CXO J004243.8+411734 ,10.682872999999999,41.293036,0.005,no_cluster,
15,CV0016,[HPH2013] 160          ,10.68316,41.298759999999994,M31CFCXO        ,CHANDRA      ,2CXO J004243.9+411755 ,10.683206,41.298743,0.002,no_cluster,
16,CV0017,[HPH2013] 169          ,10.68497,41.26952,M31CFCXO        ,CHANDRA      ,2CXO J004244.3+411608 ,10.684755000000001,41.269,0.033,no_cluster,
17,CV0018,[HPH2013] 176          ,10.687660000000001,41.25587,M31CFCXO        ,CHANDRA      ,2CXO J004245.0+411520 ,10.687728,41.255815999999996,0.004,no_cluster,
18,CV0019,[HPH2013] 192          ,10.69645,41.2722,M31CFCXO        ,CHANDRA      ,2CXO J004247.1+411619 ,10.696541,41.272151,0.005,no_cluster,
19,CV0020,[HPH2013] 196          ,10.69766,41.2522,M31CFCXO        ,CHANDRA      ,2CXO J004247.4+411507 ,10.697724000000001,41.252111,0.006,no_cluster,
20,CV0021,[HPH2013] 205          ,10.7029,41.27406,M31CFCXO        ,CHANDRA      ,2CXO J004248.7+411626 ,10.702983999999999,41.274021999999995,0.004,no_cluster,
21,CV0022,[HPH2013] 213          ,10.70738,41.27595,M31CFCXO        ,CHANDRA      ,2CXO J004249.7+411633 ,10.707449,41.275895,0.005,no_cluster,
22,CV0023,[HPH2013] 223          ,10.71595,41.27171,M31CFCXO        ,CHANDRA      ,2CXO J004251.8+411618 ,10.716006,41.271726,0.003,no_cluster,
23,CV0024,[HPH2013] 228          ,10.71865,41.300129999999996,M31CFCXO        ,CHANDRA      ,2CXO J004252.5+411800 ,10.718775,41.300103,0.006,no_cluster,
24,CV0025,[HPH2013] 232          ,10.71987,41.24142,M31CFCXO        ,CHANDRA      ,2CXO J004252.7+411428 ,10.71999,41.241346,0.006999999999999999,no_cluster,
25,CV0026,[HPH2013] 233          ,10.72001,41.27751,M31CFCXO        ,CHANDRA      ,2CXO J004252.8+411638 ,10.720158,41.277456,0.006999999999999999,no_cluster,
26,CV0027,[HPH2013] 236          ,10.724,41.31293,M31CFCXO        ,CHANDRA      ,2CXO J004253.7+411846 ,10.724144,41.312881,0.006999999999999999,no_cluster,
27,CV0028,[HPH2013] 239          ,10.73018,41.34608,M31CFCXO        ,CHANDRA      ,2CXO J004255.2+412046 ,10.73028,41.34616,0.006999999999999999,no_cluster,
28,CV0029,[HPH2013] 243          ,10.732280000000001,41.297990000000006,M31CFCXO        ,CHANDRA      ,2CXO J004255.7+411752 ,10.732368,41.297931,0.005,no_cluster,
29,CV0030,[HPH2013] 245          ,10.73683,41.19788,M31CFCXO        ,CHANDRA      ,2CXO J004256.8+411152 ,10.736955,41.197853,0.006,no_cluster,
30,CV0031,[HPH2013] 248          ,10.74057,41.13697,M31CFCXO        ,CHANDRA      ,2CXO J004257.7+410812 ,10.740611999999999,41.136835,0.008,no_cluster,
