,A_NAME,A_RA,A_DEC,B_NAME,B_RA,B_DEC,B_ID,OFFSET
0,2XMM J054010.8-691954,85.04516,-69.33173,PSR J0540-6919 ,85.045294,-69.331887,PL0017,0.5902892970351682
1,2XMM J053746.7-691017,84.44443,-69.17141,PSR J0537-6910 ,84.447521,-69.17218199999999,PL0015,4.835152764293074
2,2XMM J110145.0-610140,165.43771,-61.02787,PSR J1101-6101 ,165.437062,-61.027389,PL0036,2.067678176655515
0,1RXS J121000.9-522629,182.50375,-52.44139,PSR J1210-5226 ,182.503605,-52.441219999999994,PL0044,0.6897779906829061
1,2XMM J105759.0-522656,164.49596,-52.44903,PSR J1057-5226 ,164.49576100000002,-52.4491,PL0035,0.5041255554787211
2,2XMM J121000.8-522628,182.50368,-52.44123,PSR J1210-5226 ,182.503605,-52.441219999999994,PL0044,0.1684764065338702
3,2XMM J161729.3-505512,244.37231,-50.92022,PSR J1617-5055 ,244.37230899999997,-50.920227000000004,PL0062,0.025301983898265143
4,J1227-4853,186.99458,-48.89528,PSR J1227-4853 ,186.994816,-48.89537,PL0045,0.6457269654086404
5,XMMSL2 J122758.6-485340,186.9947,-48.8944,PSR J1227-4853 ,186.994816,-48.89537,PL0045,3.502776127800327
6,1RXS J083520.6-451035,128.83583,-45.17639,PSR J0835-4510 ,128.835887,-45.176291,PL0026,0.3846360449447404
7,2XMM J170942.6-442905,257.42758,-44.48495,PSR J1709-4429 ,257.42801000000003,-44.485678,PL0072,2.843988290762446
0,2XMM J073751.4-303940,114.46381,-30.66116,PSR J0737-3039A,114.463516,-30.661306,PL0024,1.0512581493403002
1,CXOGC J174540.0-290031,266.41679,-29.00861,PSR J1745-2900 ,266.41684300000003,-29.007799,PL0081,2.924364515371652
2,PSR B0628-28,97.70625,-28.57889,PSR J0630-2834 ,97.705913,-28.578623999999998,PL0018,1.4324947591385506
0,J1824-2452,276.13542,-24.86889,PSR J1824-2452I,276.135398,-24.868928,PL0095,0.15452352720851667
1,2XMM J161436.5-223031,243.65234,-22.50877,PSR J1614-2230 ,243.65211299999999,-22.508628,PL0061,0.9117402090577997
2,2XMMI J180351.4-213708,270.96439,-21.61891,PSR J1803-2137 ,270.964349,-21.618674,PL0083,0.8606095018845041
3,XTE J1810-197,272.46292,-19.73111,PSR J1809-1943 ,272.462855,-19.731092999999998,PL0085,0.22860547089687897
4,2XMM J181129.1-192525,272.87146,-19.42371,PSR J1811-1925 ,272.871889,-19.424222,PL0089,2.3492070448798996
5,2XMM J181335.0-174958,273.39603,-17.83281,PSR J1813-1749 ,273.39656099999996,-17.832534,PL0091,2.0733443010234787
6,2XMM J182613.0-133448,276.55441,-13.58004,PSR J1826-1334 ,276.554876,-13.579607999999999,PL0097,2.2534044089288914
7,2EG J1825-1307,276.555,-13.57972,PSR J1826-1334 ,276.554876,-13.579607999999999,PL0097,0.5923321231132969
0,AX J1841.3-0455,280.33058,-4.93644,PSR J1841-0456 ,280.330517,-4.936374,PL0103,0.32788888399803545
1,2XMM J102347.6+003841,155.94878,0.64469,PSR J1023+0038 ,155.94868200000002,0.644712,PL0030,0.36155873881982253
2,AY SEX,155.94875,0.64472,PSR J1023+0038 ,155.94868200000002,0.644712,PL0030,0.24647290417579926
3,PSR J1023+0038,155.94833,0.645,PSR J1023+0038 ,155.94868200000002,0.644712,PL0030,1.6372375147156049
4,2XMM J185238.5+004020,283.16037,0.67218,PSR J1852+0040 ,283.160731,0.67213,PL0107,1.3119175772505272
0,2XMMI J174025.9+100006,265.10794,10.00168,PSR J1740+1000 ,265.108131,10.001684,PL0078,0.6773034005440717
1,2XMM J193213.7+105933,293.05746,10.99256,PSR J1932+1059 ,293.058323,10.992422999999999,PL0113,3.089418705863664
2,2XMM J063354.2+174614,98.47625,17.77069,PSR J0633+1746 ,98.475897,17.770521,PL0020,1.354492638713785
3,1RXS J063354.1+174612,98.47542,17.77,PSR J0633+1746 ,98.475897,17.770521,PL0020,2.488368853862467
4,2XMMI J202105.4+365104,305.27252,36.85126,PSR J2021+3651,305.27279500000003,36.851285,PL0120,0.7972890494361727
5,E2259+587,345.28267,58.87944,PSR J2301+5852 ,345.284506,58.878949,PL0137,3.8463461260462912
6,1WGA J2301.1+5852,345.28458,58.87994,PSR J2301+5852 ,345.284506,58.878949,PL0137,3.5702559122825357
7,4U0142+614,26.59214,61.75205,PSR J0146+6145 ,26.593348,61.750834,PL0005,4.837342502810833
8,4U 0142+614,26.59338,61.75089,PSR J0146+6145 ,26.593348,61.750834,PL0005,0.20884330152129138
