index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,36978.6,2001-06-14T10:51:54,-1.0,0.000267,1.874475e-05,8.6,1.35856e-15,1.93108e-15,7.7252e-16,2.388
1,40580.4,2010-01-27T01:02:52,-0.6350063532401524,0.0002919,4.385e-05,5.0,5.2514e-16,9.095399999999998e-16,2.24874e-16,1.7240000000000002
2,75682.2,2010-01-29T14:46:35,-1.9740259740259742,0.0002067,9.528e-05,6.8,1.7107800000000002e-15,2.83724e-15,5.7685e-16,1.916
3,171955.9,2012-01-18T14:26:38,-3.537109375,0.000120505,6.8025e-06,12.6,3.5005999999999996e-16,4.96706e-16,2.0911800000000002e-16,2.524
7,160215.7,2012-01-21T08:54:47,6.15605749486653,0.000147675,1.9253e-05,20.2,4.4814800000000004e-15,6.6132999999999996e-15,2.3449399999999998e-15,3.3920000000000003
4,75554.3,2012-01-26T22:21:59,1.7013729977116703,0.0001633,9.8665e-06,7.2,4.8628e-16,7.246379999999999e-16,2.5376e-16,1.986
5,184208.0,2012-01-31T15:24:33,-1.910677618069815,0.0001607375,6.75775e-06,24.6,1.20116e-15,1.4776519999999999e-15,9.218000000000001e-16,3.776
6,158013.8,2012-02-03T10:00:00,-0.2868353933686482,0.0001249075,6.84775e-06,16.4,8.779799999999999e-16,1.119288e-15,6.375e-16,3.022
8,119479.4,2012-04-04T03:00:56,-0.6287576964867801,0.000173625,2.2043749999999997e-05,17.2,1.4972749999999999e-15,1.883e-15,1.103775e-15,3.2020000000000004
10,46281.0,2012-04-05T19:03:53,-0.9481865284974093,0.00024725,3.608e-05,6.2,1.432025e-15,2.003025e-15,8.454000000000001e-16,1.9299999999999997
9,69689.2,2012-04-06T18:15:48,-7.119999999999999,0.00017936666666666667,1.0401666666666666e-05,8.4,8.637399999999999e-16,1.2588400000000002e-15,5.42224e-16,2.1719999999999997
