index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_significance,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,BH,BH0001,1A 0620-00          ,41932.7,23.63,3822.529,2000-02-29T04:03:25,1.18358e-05,0.9964000000000001,7.8,0.0025371399999999994,0.00118278,0.00125702,0.00012125599999999999,0.49779999999999996,0.5988,0.4218,1.0,14.10226627227136,14.232231357465015,14.161932082639916,3.5346199999999997e-06,2.6721000000000002e-06,3.10766e-06,6.106,8.939e-06,1.852e-06,1.534e-06,5.733e-07,2.64e-06,8.083e-06,1.466e-06,1.269e-06,2.565e-07,2.286e-06,9.794e-06,2.212e-06,1.798e-06,8.751e-07,2.994e-06,1.7e-14,9.337e-15,3.847e-15,3.49e-16,3.905e-15,1.529e-14,7.312e-15,3.163e-15,1.653e-16,3.361e-15,1.871e-14,1.136e-14,4.488e-15,5.327e-16,4.419e-15,0.0974,-0.1761,-0.2673,,,,,,,,,,,,,,,,,0.2255,-0.0381,-0.0606,-0.2954,-0.1655,-0.3679,,,,,,,,,,,,,,,,,,,,
1,BH,BH0001,1A 0620-00          ,39623.0,23.63,3822.529,2005-08-20T09:03:34,1.18358e-05,0.9964000000000001,7.8,0.00335796,0.0032610800000000004,0.00330598,3.4747e-05,0.4264,0.46719999999999995,0.18380000000000002,0.0,13.6773094413256,13.763468784416245,13.717297243156692,9.4052e-06,7.601999999999999e-06,8.517e-06,8.824000000000002,2.35e-05,4.127e-06,5.416e-06,2.091e-06,7.451e-06,2.189e-05,3.484e-06,4.866e-06,1.019e-06,6.751e-06,2.501e-05,4.735e-06,5.966e-06,3.164e-06,8.151e-06,4.741e-14,2.361e-14,1.238e-14,9.478e-16,1.152e-14,4.418e-14,2.004e-14,1.112e-14,4.288e-16,1.043e-14,5.045e-14,2.697e-14,1.364e-14,1.444e-15,1.261e-14,-0.1324,-0.2898,-0.1624,13.369267107182804,2.451,23.29,1.971e-05,0.836,13.489186989487504,13.450751443145943,13.537302591898284,0.4657,1.986e-06,7.262e-05,1.936,13.385313657717987,2.481,11.05,0.859,-0.0468,-0.2217,-0.2105,-0.3691,-0.0956,-0.228,13.331334584545507,13.406935568341282,2.686,2.239,29.79,17.38,2.405e-05,1.625e-05,6.822e-05,9.334e-05,13.433798281145087,13.353400248279627,3.134,2.0,15.48,6.992,0.5002,0.4332,1.035,
2,BH,BH0001,1A 0620-00          ,29673.9,23.63,3822.529,2013-12-09T01:11:41,1.18358e-05,0.9964000000000001,7.8,0.007894179999999999,0.004828519999999999,0.005101260000000001,0.00042634179999999995,0.42919999999999997,0.5602,0.35459999999999997,0.4,13.339159176967849,13.413232714189364,13.376213344258261,1.8542000000000003e-05,1.4035999999999999e-05,1.6290200000000002e-05,9.848,3.845e-05,1.015e-05,9.311e-06,1.143e-05,1.211e-05,3.62e-05,9.14e-06,8.422e-06,5.568e-06,1.085e-05,4.069e-05,1.116e-05,1.02e-05,1.729e-05,1.337e-05,1.048e-13,6.2e-14,2.281e-14,0.0,2.065e-14,9.878e-14,5.518e-14,2.061e-14,0.0,1.851e-14,1.108e-13,6.842e-14,2.5e-14,1.967e-15,2.28e-14,0.04,-0.0912,-0.1299,13.030770520137358,2.193,23.98,3.559e-05,0.846,13.114469166811908,13.079720105367052,13.147154181985004,0.592,1.225e-07,6.391e-05,1.743,13.044167989767578,3.44,13.14,0.814,0.1068,-0.0281,-0.0194,-0.1618,-0.0618,-0.1968,13.00256992620253,13.063787955679752,2.379,2.02,30.6,17.94,4.25e-05,2.99e-05,6.046e-05,7.81e-05,13.083177715404087,13.01399006814674,4.313,2.799,17.89,8.83,0.6263,0.5576,0.8602,
0,BH,BH0002,1E 1740.7-2942      ,11611.1,166.94,151803.0,2001-07-21T04:45:23,0.0039601224,0.9928000000000001,7.2,2.903,2.891,2.897,0.006242,0.942,0.987,0.154,0.0,10.015742798294584,10.021180613267157,10.018453194954764,0.008574,0.008467,0.00852,158.52,,0.00852,,,,,0.008467,,,,,0.008574,,,,,9.584e-11,,,,,9.524e-11,,,,,9.644e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BH,BH0002,1E 1740.7-2942      ,11611.1,166.94,151803.0,2001-07-21T11:42:23,0.0039601224,0.9928000000000001,7.2,3.219,3.219,3.219,0.0002681,0.965,0.974,0.013,0.0,9.825358807339551,9.83061950468805,9.827981190575443,0.01362,0.01346,0.01354,166.39,,0.01354,,,,,0.01346,,,,,0.01362,,,,,1.486e-10,,,,,1.477e-10,,,,,1.495e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BH,BH0002,1E 1740.7-2942      ,5023.0,166.94,151803.0,2002-08-17T13:17:17,0.0039601224,0.9928000000000001,7.2,0.5615887500000001,0.56067325,0.5609745,0.000289975,0.3425,0.45575,0.1555,0.0,10.986952433754338,10.99991723135935,10.993434274005377,0.0013218724,0.00128002744,0.0013008650000000002,29.572000000000003,0.003429,0.00304,1.955e-05,4.195e-06,1.158e-05,0.003379,0.002995,1.657e-05,5.472e-07,9.02e-06,0.003479,0.003086,2.252e-05,7.842e-06,1.4e-05,2.514e-11,2.555e-11,5.321e-14,0.0,1.844e-14,2.477e-11,2.518e-11,4.516e-14,0.0,1.437e-14,2.551e-11,2.593e-11,6.127e-14,1.379e-15,2.23e-14,0.9869,0.9919,0.2586,10.694648630553376,4.625,1561.0,1.822,1.591,10.715794932298206,10.70818731253288,10.728623128105925,0.7512,1020.0,0.02714,2.033,10.702677285794698,1.601,1254.0,1.797,0.9888,0.985,0.9938,0.9913,0.3779,0.138,10.685922008220787,10.709075440617246,4.76,4.465,1609.0,1510.0,2.383,1.401,0.02307,0.03205,10.713992877920525,10.694433686484697,1.686,1.523,1290.0,1219.0,0.7705,0.7323,1055.0,987.1
3,BH,BH0002,1E 1740.7-2942      ,11611.1,166.94,151803.0,2001-07-20T18:19:53,0.0039601224,0.9928000000000001,7.2,4.403,0.8292,2.571,1.033,1.0,0.999,1.0,10.0,10.268491816403975,10.275970027064401,10.272214825817095,0.007958,0.007822,0.00789,116.76,,0.00789,,,,,0.007822,,,,,0.007958,,,,,5.343e-11,,,,,5.297e-11,,,,,5.389e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BH,BH0002,1E 1740.7-2942      ,14448.3,166.94,151803.0,2006-06-27T16:57:50,0.0039601224,0.9928000000000001,7.2,0.9659863333333333,0.08422000000000002,0.42913500000000004,0.1491486,0.8206666666666665,0.932,0.8569999999999999,5.333333333333333,11.427458308190074,11.47556513718065,11.46738199305328,0.001155072,0.0010592768000000001,0.0011071817999999999,23.618,0.0031,0.002213,9.988e-06,0.0002057,7.221e-06,0.003043,0.002173,7.566e-06,6.858e-05,4.238e-06,0.003156,0.002254,1.241e-05,0.0003429,1.005e-05,8.468e-12,8.558e-12,1.065e-14,0.0,7.997e-15,8.313e-12,8.401e-12,8.028e-15,0.0,4.464e-15,8.623e-12,8.715e-12,1.327e-14,1.323e-12,1.153e-14,0.9906,0.9931,0.1399,11.105850153232078,1.406,1271.0,0.004179,0.836,11.102537861986937,11.091568601033993,11.123493495734118,1.775,922.8,0.0002464,0.849,11.095663207797505,46.27,1247.0,0.836,0.9925,0.9888,0.9963,0.9913,0.3654,-0.0743,11.090818524022147,11.136617651559213,1.59,1.227,1362.0,1185.0,0.005822,0.003032,0.0002016,0.0003013,11.119701008574248,11.085921414610889,268.6,21.71,1319.0,1184.0,1.886,1.675,982.4,866.5
5,BH,BH0002,1E 1740.7-2942      ,9952.4,166.94,151803.0,2006-06-28T16:40:11,0.0039601224,0.9928000000000001,7.2,0.667027,0.097963,0.36643400000000004,0.12243745,0.62225,0.79075,0.7072499999999999,3.75,11.358994545728235,11.412896664140247,11.38514362221754,0.001321702,0.0012003486,0.0012610724,21.146,0.00354,0.002525,1.649e-05,0.0002148,9.072e-06,0.003468,0.002473,1.273e-05,4.295e-05,5.063e-06,0.003613,0.002576,2.004e-05,0.0003866,1.287e-05,9.72e-12,9.825e-12,1.67e-14,1.027e-12,9.363e-15,9.52e-12,9.623e-12,1.283e-14,1.622e-13,4.916e-15,9.92e-12,1.003e-11,2.057e-14,1.892e-12,1.381e-14,0.9869,0.9931,0.2661,11.050414848673348,1.479,1359.0,0.005561,1.181,11.05134256785868,11.037062711569998,11.0768596439748,1.744,987.3,0.0003039,1.187,11.045275209020938,32.08,1327.0,1.18,0.99,0.985,0.995,0.99,0.4803,0.0556,11.03574036980315,11.104301273040694,1.697,1.268,1471.0,1254.0,0.00824,0.003791,0.0002395,0.0003859,11.068237111518823,11.03390522055383,144.0,16.29,1415.0,1242.0,1.872,1.632,1062.0,917.6
6,BH,BH0002,1E 1740.7-2942      ,15241.3,166.94,151803.0,2006-07-01T14:10:58,0.0039601224,0.9928000000000001,7.2,1.037799,0.135922,0.5249803333333333,0.19481839666666667,0.13999999999999999,0.22066666666666665,0.7126666666666667,6.0,11.363877425696336,11.378792321323429,11.371495777514802,0.001445716,0.0013304255999999999,0.0013880772,27.068,0.003845,0.002747,1.343e-05,0.0003272,7.756e-06,0.003784,0.002703,1.068e-05,0.0001496,4.848e-06,0.003906,0.002791,1.602e-05,0.0005049,1.066e-05,1.056e-11,1.068e-11,1.304e-14,0.0,2.602e-15,1.039e-11,1.05e-11,1.031e-14,0.0,1.201e-15,1.073e-11,1.085e-11,1.577e-14,3.209e-14,3.936e-15,0.9906,0.9944,0.2511,11.004452550524862,1.144,1116.0,0.003168,0.88,11.005111204635089,10.99610883376309,11.020451625295905,1.922,822.3,0.0002302,0.899,10.99956592252068,100.0,1172.0,0.885,0.9925,0.9888,0.9963,0.9925,0.4441,0.0631,10.993962045002682,11.029420694285148,1.299,0.993,1190.0,1046.0,0.004188,0.002423,0.0001935,0.0002741,11.014977917890464,10.99012436628784,,59.62,1205.0,1143.0,2.036,1.821,870.1,777.3
0,BH,BH0004,GRO J1655-40        ,42550.7,13.83,1116.716,2000-07-01T19:24:36,9.601775000000002e-06,0.996,7.5,0.001568425,0.00069005,0.0007425,0.00011483049999999999,0.51725,0.6884999999999999,0.5465,0.5,14.121556338576593,14.27899939431219,14.193898749025447,1.8602e-06,1.25062e-06,1.5264e-06,3.754,4.309e-06,2.055e-06,9.948e-07,0.0,2.732e-07,3.695e-06,1.644e-06,7.67e-07,0.0,1.471e-07,4.923e-06,2.441e-06,1.222e-06,3.227e-07,3.923e-07,1.573e-14,1.336e-14,2.481e-15,0.0,4.232e-16,1.348e-14,1.068e-14,1.913e-15,0.0,2.279e-16,1.798e-14,1.603e-14,3.048e-15,1.275e-16,6.077e-16,0.3548,0.7708,0.5709,,,,,,,,,,,,,,,,,0.4766,0.2217,0.8601,0.6627,0.7239,0.3966,,,,,,,,,,,,,,,,,,,,
1,BH,BH0004,GRO J1655-40        ,18207.1,13.83,1116.716,2009-06-08T02:44:36,9.601775000000002e-06,0.996,7.5,0.005442499999999999,0.0039033000000000006,0.004341575,0.00041522499999999997,0.9534999999999999,0.828,0.46099999999999997,0.75,13.246813501989156,13.341137552424945,13.291483497611306,1.05442e-05,8.17832e-06,9.234e-06,5.854,2.59e-05,1.262e-05,6.419e-06,0.0,1.231e-06,2.348e-05,1.111e-05,5.523e-06,0.0,7.786e-07,2.818e-05,1.412e-05,7.315e-06,1.423e-06,1.683e-06,1.01e-13,8.447e-14,1.683e-14,,2.145e-15,9.216e-14,7.436e-14,1.448e-14,,1.357e-15,1.099e-13,9.458e-14,1.918e-14,,2.933e-15,0.3273,0.8232,0.6771,13.105794740857917,2.741,176.6,0.0001146,0.536,13.118615343229427,13.062883489232947,13.214100971615617,0.758,66.0,3.24e-05,0.409,13.104798525221106,2.593,138.3,0.417,0.4066,0.2442,0.8801,0.7589,0.7739,0.569,13.047304400413083,13.19873352951038,3.158,2.364,219.2,141.1,0.0001973,6.962e-05,2.132e-05,5.044e-05,13.196065150136159,13.052468254304406,3.55,1.982,168.6,113.2,0.8334,0.6885,89.6,46.56
0,BH,BH0009,SAX J1819.3-2525    ,25256.9,26.51,4017.937,2002-10-21T03:50:49,9.3956e-05,0.9972,7.6,0.0002818,0.0001919,0.0001955,1.049e-05,0.167,0.221,0.483,0.0,14.849312623057155,15.5002318383225,15.074378545209171,5.15125e-07,1.0383299999999999e-07,2.6006e-07,1.16,5.919e-07,3.51e-07,,0.0,9.734e-08,2.795e-07,1.316e-07,,0.0,4.232e-09,8.878e-07,5.594e-07,,4.228e-07,1.905e-07,1.692e-15,1.535e-15,,0.0,1.434e-16,7.464e-16,5.116e-16,,0.0,6.236e-18,2.587e-15,2.507e-15,,2.845e-16,2.806e-16,,0.6184,,,,,,,,,,,,,,,,,,,,0.8876,0.2242,,,,,,,,,,,,,,,,,,,,,,
1,BH,BH0009,SAX J1819.3-2525    ,4256.0,26.51,4017.937,2002-08-05T04:22:47,9.3956e-05,0.9972,7.6,,,,,,,,,13.705168855284203,14.452753905281478,13.944178425172945,2.1096e-06,2.39274e-07,8.442600000000001e-07,0.796,2.223e-06,1.423e-06,5.753e-07,0.0,0.0,8.337e-07,3.387e-07,2.397e-08,0.0,0.0,3.612e-06,2.506e-06,1.103e-06,2.788e-06,5.39e-07,2.773e-14,2.795e-14,1.178e-15,0.0,0.0,1.092e-14,6.655e-15,5.353e-17,0.0,0.0,4.453e-14,4.924e-14,2.302e-15,1.637e-15,8.738e-16,0.5172,0.9994,0.9994,,,,,,,,,,,,,,,,,0.8389,0.0568,1.0,0.4666,1.0,0.0956,,,,,,,,,,,,,,,,,,,,
2,BH,BH0009,SAX J1819.3-2525    ,9209.3,26.51,4017.937,2004-07-17T11:09:06,9.3956e-05,0.9972,7.6,0.264078,0.00278298,0.032785180000000004,0.04829642000000001,0.9992000000000001,0.9994,0.9853999999999999,9.0,12.144919236551658,12.189238449130158,12.166137179232033,0.00010252000000000001,9.04156e-05,9.656000000000001e-05,13.482000000000003,0.0002604,0.0001276,3.273e-05,1.451e-05,4.756e-05,0.0002493,0.0001205,2.966e-05,9.178e-06,4.344e-05,0.0002709,0.0001348,3.562e-05,1.984e-05,5.144e-05,1.687e-12,1.573e-12,7.377e-14,6.626e-15,7.022e-14,1.615e-12,1.484e-12,6.685e-14,3.947e-15,6.414e-14,1.755e-12,1.661e-12,8.028e-14,9.163e-15,7.594e-14,0.5921,0.4572,-0.1861,12.151934104596009,0.708,8.235e-07,4.679e-05,4.783,11.976747540366288,11.737074530668169,12.409827168403686,2.758,6.682e-07,4.957e-06,7.757,12.278849156250315,100.0,7.336,5.352,0.6252,0.5578,0.4953,0.4179,-0.1268,-0.243,12.12366667091362,12.177962751927415,0.76,0.619,0.7168,,5.033e-05,4.33e-05,6.114e-09,7.097e-06,12.302683458267616,12.25515960321462,,81.32,9.731,5.142,3.964,2.682,1.439,
3,BH,BH0009,SAX J1819.3-2525    ,18284.8,26.51,4017.937,2004-07-30T18:26:28,9.3956e-05,0.9972,7.6,0.0010571,0.00057025,0.0006409499999999999,8.5415e-05,0.287,0.4665,0.45599999999999996,0.5,14.235979374366819,14.554937835486493,14.370847383508647,1.7660399999999997e-06,6.614200000000001e-07,1.2166e-06,2.19,2.807e-06,1.344e-06,4.546e-07,9.309e-07,5.465e-07,2.025e-06,8.332e-07,2.078e-07,0.0,2.411e-07,3.589e-06,1.855e-06,6.884e-07,1.862e-06,8.358e-07,1.026e-14,9.317e-15,9.198e-16,0.0,7.906e-16,7.401e-15,5.777e-15,4.058e-16,0.0,3.488e-16,1.312e-14,1.286e-14,1.407e-15,4.436e-16,1.209e-15,0.5209,0.4347,-0.1212,,,,,,,,,,,,,,,,,0.7289,0.2667,0.669,0.1605,0.2305,-0.4491,,,,,,,,,,,,,,,,,,,,
4,BH,BH0009,SAX J1819.3-2525    ,36445.9,26.51,4017.937,2004-08-10T04:39:07,9.3956e-05,0.9972,7.6,0.00036035,0.00022737499999999998,0.00024437499999999996,2.4655e-05,0.45925,0.5702499999999999,0.44375,0.25,14.516541084905786,14.83929142770757,14.65261143207097,8.853399999999999e-07,3.7234e-07,5.749e-07,2.068,1.585e-06,6.632e-07,2.805e-07,0.0,3.458e-07,1.151e-06,4.06e-07,1.365e-07,0.0,1.682e-07,1.994e-06,9.203e-07,4.17e-07,5.813e-07,5.141e-07,5.443e-15,4.442e-15,6.473e-16,0.0,5.942e-16,3.951e-15,2.684e-15,3.149e-16,0.0,2.891e-16,6.848e-15,6.201e-15,9.622e-16,3.26e-16,8.833e-16,0.4297,0.331,-0.1199,,,,,,,,,,,,,,,,,0.654,0.1618,0.5815,0.0481,0.208,-0.4279,,,,,,,,,,,,,,,,,,,,
0,BH,BH0010,XTE J1550-564       ,26118.5,29.24,7025.511,2002-03-11T15:11:44,3.0538660000000003e-05,0.8478,6.4,0.023982499999999997,0.01943525,0.02057575,0.00114106625,0.9600000000000001,0.89325,0.37775,0.5,12.77394267021398,12.812169179556001,12.792263331019852,4.504418e-05,4.1144e-05,4.3115099999999997e-05,16.29,0.0001236,4.78e-05,3.053e-05,3.955e-07,1.325e-05,0.0001193,4.536e-05,2.891e-05,0.0,1.215e-05,0.0001278,5.024e-05,3.204e-05,7.909e-07,1.435e-05,3.996e-13,3.103e-13,7.637e-14,0.0,2.042e-14,3.855e-13,2.94e-13,7.232e-14,0.0,1.873e-14,4.129e-13,3.256e-13,8.041e-14,4.281e-16,2.211e-14,0.2211,0.5671,0.3948,12.453210648368742,2.135,75.62,0.0001748,1.057,12.501138311007116,12.483993769613953,12.520568662802264,0.7425,24.1,0.000118,1.484,12.463694127648967,4.008,61.9,1.053,0.2542,0.1868,0.599,0.534,0.4366,0.3554,12.436163081335454,12.472885888360196,2.248,2.026,82.09,69.65,0.0001987,0.0001542,0.0001024,0.0001363,12.485053994691995,12.446481059851031,4.629,3.501,66.62,57.58,0.7703,0.7154,27.86,20.64
